timestamp_berlin,LSA9_west_count,LSA9_south_count,LSA9_east_count,LSA9_north_west_count,date,time,hour,weekday
2026-03-01 00:15:00+00:00,31,1,18,3,2026-03-01,00:15,0,Sunday
2026-03-01 00:30:00+00:00,36,0,39,3,2026-03-01,00:30,0,Sunday
2026-03-01 00:45:00+00:00,33,0,30,9,2026-03-01,00:45,0,Sunday
2026-03-01 01:00:00+00:00,25,0,20,5,2026-03-01,01:00,1,Sunday
2026-03-01 01:15:00+00:00,12,0,22,6,2026-03-01,01:15,1,Sunday
2026-03-01 01:30:00+00:00,22,0,21,9,2026-03-01,01:30,1,Sunday
2026-03-01 01:45:00+00:00,29,0,18,4,2026-03-01,01:45,1,Sunday
2026-03-01 02:00:00+00:00,21,0,17,4,2026-03-01,02:00,2,Sunday
2026-03-01 02:15:00+00:00,14,0,9,3,2026-03-01,02:15,2,Sunday
2026-03-01 02:30:00+00:00,22,0,14,1,2026-03-01,02:30,2,Sunday
2026-03-01 02:45:00+00:00,12,0,20,4,2026-03-01,02:45,2,Sunday
2026-03-01 03:00:00+00:00,12,0,10,1,2026-03-01,03:00,3,Sunday
2026-03-01 03:15:00+00:00,17,0,9,1,2026-03-01,03:15,3,Sunday
2026-03-01 03:30:00+00:00,13,0,7,1,2026-03-01,03:30,3,Sunday
2026-03-01 03:45:00+00:00,11,0,16,0,2026-03-01,03:45,3,Sunday
2026-03-01 04:00:00+00:00,2,0,3,0,2026-03-01,04:00,4,Sunday
2026-03-01 04:15:00+00:00,3,0,12,0,2026-03-01,04:15,4,Sunday
2026-03-01 04:30:00+00:00,13,0,5,4,2026-03-01,04:30,4,Sunday
2026-03-01 04:45:00+00:00,18,0,17,7,2026-03-01,04:45,4,Sunday
2026-03-01 05:00:00+00:00,12,0,3,1,2026-03-01,05:00,5,Sunday
2026-03-01 05:15:00+00:00,18,0,7,2,2026-03-01,05:15,5,Sunday
2026-03-01 05:30:00+00:00,28,0,10,4,2026-03-01,05:30,5,Sunday
2026-03-01 05:45:00+00:00,16,0,7,1,2026-03-01,05:45,5,Sunday
2026-03-01 06:00:00+00:00,18,1,11,3,2026-03-01,06:00,6,Sunday
2026-03-01 06:15:00+00:00,31,1,7,1,2026-03-01,06:15,6,Sunday
2026-03-01 06:30:00+00:00,25,0,14,4,2026-03-01,06:30,6,Sunday
2026-03-01 06:45:00+00:00,16,0,10,2,2026-03-01,06:45,6,Sunday
2026-03-01 07:00:00+00:00,23,0,14,5,2026-03-01,07:00,7,Sunday
2026-03-01 07:15:00+00:00,26,1,29,3,2026-03-01,07:15,7,Sunday
2026-03-01 07:30:00+00:00,44,0,25,2,2026-03-01,07:30,7,Sunday
2026-03-01 07:45:00+00:00,64,0,35,8,2026-03-01,07:45,7,Sunday
2026-03-01 08:00:00+00:00,73,0,37,11,2026-03-01,08:00,8,Sunday
2026-03-01 08:15:00+00:00,58,0,35,10,2026-03-01,08:15,8,Sunday
2026-03-01 08:30:00+00:00,100,1,47,13,2026-03-01,08:30,8,Sunday
2026-03-01 08:45:00+00:00,116,2,51,9,2026-03-01,08:45,8,Sunday
2026-03-01 09:00:00+00:00,137,2,69,8,2026-03-01,09:00,9,Sunday
2026-03-01 09:15:00+00:00,150,3,79,14,2026-03-01,09:15,9,Sunday
2026-03-01 09:30:00+00:00,176,2,95,17,2026-03-01,09:30,9,Sunday
2026-03-01 09:45:00+00:00,153,1,67,26,2026-03-01,09:45,9,Sunday
2026-03-01 10:00:00+00:00,156,1,116,20,2026-03-01,10:00,10,Sunday
2026-03-01 10:15:00+00:00,140,0,78,16,2026-03-01,10:15,10,Sunday
2026-03-01 10:30:00+00:00,101,1,100,13,2026-03-01,10:30,10,Sunday
2026-03-01 10:45:00+00:00,139,1,80,16,2026-03-01,10:45,10,Sunday
2026-03-01 11:00:00+00:00,148,1,117,18,2026-03-01,11:00,11,Sunday
2026-03-01 11:15:00+00:00,122,0,112,21,2026-03-01,11:15,11,Sunday
2026-03-01 11:30:00+00:00,136,1,128,23,2026-03-01,11:30,11,Sunday
2026-03-01 11:45:00+00:00,103,2,126,29,2026-03-01,11:45,11,Sunday
2026-03-01 12:00:00+00:00,119,0,108,23,2026-03-01,12:00,12,Sunday
2026-03-01 12:15:00+00:00,160,0,141,23,2026-03-01,12:15,12,Sunday
2026-03-01 12:30:00+00:00,118,1,101,24,2026-03-01,12:30,12,Sunday
2026-03-01 12:45:00+00:00,139,2,146,25,2026-03-01,12:45,12,Sunday
2026-03-01 13:00:00+00:00,150,3,132,23,2026-03-01,13:00,13,Sunday
2026-03-01 13:15:00+00:00,189,4,128,22,2026-03-01,13:15,13,Sunday
2026-03-01 13:30:00+00:00,148,1,130,30,2026-03-01,13:30,13,Sunday
2026-03-01 13:45:00+00:00,131,1,120,25,2026-03-01,13:45,13,Sunday
2026-03-01 14:00:00+00:00,142,2,139,24,2026-03-01,14:00,14,Sunday
2026-03-01 14:15:00+00:00,140,2,117,23,2026-03-01,14:15,14,Sunday
2026-03-01 14:30:00+00:00,134,0,125,20,2026-03-01,14:30,14,Sunday
2026-03-01 14:45:00+00:00,187,0,127,20,2026-03-01,14:45,14,Sunday
