timestamp_berlin,LD-LSA16_west_count,LD-LSA16_south_count,LD-LSA16_east_count,LD-LSA16_north_count,LD-LSA10_west_count,LD-LSA10_south_count,LD-LSA10_east_count,LD-LSA10_north_west_count,LD-LSA10_north_east_count,LD-LSA9_west_count,LD-LSA9_south_count,LD-LSA9_east_count,LD-LSA9_north_west_count,LD-LSA1_west_count,LD-LSA1_east_count,LD-LSA1_north_count,date,time,hour,weekday
2026-03-01 01:15:00+01:00,,,,,10.0,1.0,15.0,1.0,8.0,31.0,1.0,18.0,3.0,3.0,11.0,3.0,2026-03-01,01:15,1,Sunday
2026-03-01 01:30:00+01:00,,,,,10.0,0.0,24.0,0.0,8.0,36.0,0.0,39.0,3.0,3.0,17.0,4.0,2026-03-01,01:30,1,Sunday
2026-03-01 01:45:00+01:00,,,,,9.0,2.0,18.0,0.0,12.0,33.0,0.0,30.0,9.0,5.0,13.0,5.0,2026-03-01,01:45,1,Sunday
2026-03-01 02:00:00+01:00,,,,,7.0,1.0,15.0,1.0,12.0,25.0,0.0,20.0,5.0,5.0,16.0,5.0,2026-03-01,02:00,2,Sunday
2026-03-01 02:15:00+01:00,,,,,5.0,1.0,13.0,0.0,5.0,12.0,0.0,22.0,6.0,3.0,17.0,1.0,2026-03-01,02:15,2,Sunday
2026-03-01 02:30:00+01:00,,,,,10.0,0.0,17.0,0.0,6.0,22.0,0.0,21.0,9.0,7.0,7.0,5.0,2026-03-01,02:30,2,Sunday
2026-03-01 02:45:00+01:00,,,,,8.0,2.0,10.0,0.0,8.0,29.0,0.0,18.0,4.0,0.0,5.0,2.0,2026-03-01,02:45,2,Sunday
2026-03-01 03:00:00+01:00,,,,,6.0,2.0,12.0,0.0,8.0,21.0,0.0,17.0,4.0,3.0,4.0,2.0,2026-03-01,03:00,3,Sunday
2026-03-01 03:15:00+01:00,,,,,3.0,1.0,14.0,0.0,5.0,14.0,0.0,9.0,3.0,8.0,12.0,1.0,2026-03-01,03:15,3,Sunday
2026-03-01 03:30:00+01:00,,,,,4.0,0.0,6.0,0.0,8.0,22.0,0.0,14.0,1.0,2.0,5.0,3.0,2026-03-01,03:30,3,Sunday
2026-03-01 03:45:00+01:00,,,,,4.0,0.0,17.0,0.0,7.0,12.0,0.0,20.0,4.0,7.0,0.0,1.0,2026-03-01,03:45,3,Sunday
2026-03-01 04:00:00+01:00,,,,,5.0,0.0,7.0,2.0,2.0,12.0,0.0,10.0,1.0,6.0,6.0,1.0,2026-03-01,04:00,4,Sunday
2026-03-01 04:15:00+01:00,,,,,3.0,0.0,11.0,1.0,7.0,17.0,0.0,9.0,1.0,5.0,7.0,4.0,2026-03-01,04:15,4,Sunday
2026-03-01 04:30:00+01:00,,,,,2.0,1.0,3.0,1.0,6.0,13.0,0.0,7.0,1.0,13.0,12.0,8.0,2026-03-01,04:30,4,Sunday
2026-03-01 04:45:00+01:00,,,,,3.0,0.0,7.0,0.0,0.0,11.0,0.0,16.0,0.0,23.0,8.0,8.0,2026-03-01,04:45,4,Sunday
2026-03-01 05:00:00+01:00,,,,,2.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,17.0,16.0,14.0,2026-03-01,05:00,5,Sunday
2026-03-01 05:15:00+01:00,,,,,2.0,1.0,8.0,0.0,2.0,3.0,0.0,12.0,0.0,27.0,21.0,11.0,2026-03-01,05:15,5,Sunday
2026-03-01 05:30:00+01:00,,,,,5.0,1.0,3.0,0.0,2.0,13.0,0.0,5.0,4.0,41.0,15.0,21.0,2026-03-01,05:30,5,Sunday
2026-03-01 05:45:00+01:00,,,,,7.0,1.0,10.0,0.0,3.0,18.0,0.0,17.0,7.0,73.0,54.0,38.0,2026-03-01,05:45,5,Sunday
2026-03-01 06:00:00+01:00,,,,,6.0,2.0,7.0,0.0,2.0,12.0,0.0,3.0,1.0,92.0,74.0,29.0,2026-03-01,06:00,6,Sunday
2026-03-01 06:15:00+01:00,,,,,11.0,1.0,6.0,0.0,4.0,18.0,0.0,7.0,2.0,78.0,63.0,31.0,2026-03-01,06:15,6,Sunday
2026-03-01 06:30:00+01:00,,,,,13.0,0.0,7.0,3.0,5.0,28.0,0.0,10.0,4.0,98.0,73.0,37.0,2026-03-01,06:30,6,Sunday
2026-03-01 06:45:00+01:00,,,,,4.0,2.0,7.0,0.0,4.0,16.0,0.0,7.0,1.0,151.0,97.0,56.0,2026-03-01,06:45,6,Sunday
2026-03-01 07:00:00+01:00,,,,,10.0,4.0,4.0,0.0,3.0,18.0,1.0,11.0,3.0,187.0,157.0,54.0,2026-03-01,07:00,7,Sunday
2026-03-01 07:15:00+01:00,,,,,7.0,0.0,3.0,1.0,3.0,31.0,1.0,7.0,1.0,210.0,202.0,88.0,2026-03-01,07:15,7,Sunday
2026-03-01 07:30:00+01:00,,,,,10.0,0.0,6.0,0.0,4.0,25.0,0.0,14.0,4.0,220.0,219.0,80.0,2026-03-01,07:30,7,Sunday
2026-03-01 07:45:00+01:00,,,,,7.0,2.0,10.0,0.0,4.0,16.0,0.0,10.0,2.0,224.0,331.0,126.0,2026-03-01,07:45,7,Sunday
