lsa,approach,street_name,detector_ids
LD-LSA16,west,Schloßstraße,"4, 3"
LD-LSA16,south,Weißenburger Straße,"33, 2, 1"
LD-LSA16,east,Schloßstraße,"10, 11"
LD-LSA16,north,Xylanderstraße,"6, 7"
LD-LSA10,west,Schloßstraße,1
LD-LSA10,south,Bismarckstraße,31
LD-LSA10,east,Marienring,"3, 4"
LD-LSA10,north_west,Karl-Sauer-Straße,29
LD-LSA10,north_east,Südring,"27, 26"
LD-LSA9,west,Marienring,"2, 1"
LD-LSA9,south,Moltkestraße,10
LD-LSA9,east,Rheinstraße,"8, 9"
LD-LSA9,north_west,Ostring,"4, 5"
LD-LSA1,west,Rheinstraße,"7, 9"
LD-LSA1,east,Rheinstraße,"14, 24, 26"
LD-LSA1,north,Maximilianstraße,"40, 28, 30"
