lsa,date_str,day_status,coverage_ratio,max_continuous_bins_with_data,max_continuous_hours_with_data,model_usability
LD-LSA1,2026-03-01,partial_day,0.9479166666666666,91.0,22.75,usable_partial
LD-LSA1,2026-03-02,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-03,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-04,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-05,partial_day,0.7083333333333334,64.0,16.0,usable_partial
LD-LSA1,2026-03-06,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-07,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-08,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-09,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-10,partial_day,0.9270833333333334,81.0,20.25,usable_partial
LD-LSA1,2026-03-11,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-12,partial_day,0.9583333333333334,76.0,19.0,usable_partial
LD-LSA1,2026-03-13,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-14,partial_day,0.9375,86.0,21.5,usable_partial
LD-LSA1,2026-03-16,partial_day,0.9479166666666666,91.0,22.75,usable_partial
LD-LSA1,2026-03-17,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-18,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-19,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-22,partial_day,0.9479166666666666,91.0,22.75,usable_partial
LD-LSA1,2026-03-23,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-24,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-26,partial_day,0.34375,33.0,8.25,usable_partial
LD-LSA1,2026-03-27,partial_day,0.9479166666666666,91.0,22.75,usable_partial
LD-LSA1,2026-03-28,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA1,2026-03-29,partial_day,0.9479166666666666,91.0,22.75,usable_partial
LD-LSA1,2026-03-30,partial_day,0.5,48.0,12.0,usable_partial
LD-LSA1,2026-04-03,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-04,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-05,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-06,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-07,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-08,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-09,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-10,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-11,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-12,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-13,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-14,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-15,full_day,1.0,96.0,24.0,usable
LD-LSA1,2026-04-16,partial_day,0.375,36.0,9.0,usable_partial
LD-LSA10,2026-03-01,partial_day,0.9479166666666666,91.0,22.75,usable_partial
LD-LSA10,2026-03-02,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-03,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-04,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-05,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-06,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-07,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-08,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-09,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-10,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-11,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-12,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-13,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-14,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-15,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-16,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-17,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-18,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-19,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-20,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-21,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-22,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-23,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-24,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-25,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-26,partial_day,0.96875,51.0,12.75,usable_partial
LD-LSA10,2026-03-27,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-28,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-29,partial_day,0.9479166666666666,91.0,22.75,usable_partial
LD-LSA10,2026-03-30,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-03-31,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-04-01,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA10,2026-04-02,partial_day,0.9791666666666666,72.0,18.0,usable_partial
LD-LSA10,2026-04-03,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-04,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-05,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-06,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-07,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-08,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-09,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-10,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-11,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-12,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-13,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-14,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-15,full_day,1.0,96.0,24.0,usable
LD-LSA10,2026-04-16,partial_day,0.375,36.0,9.0,usable_partial
LD-LSA16,2026-03-05,partial_day,0.3541666666666667,34.0,8.5,usable_partial
LD-LSA16,2026-03-06,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-07,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-08,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-09,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-10,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-11,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-12,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-13,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-14,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-15,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-16,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-17,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-18,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-19,partial_day,0.9791666666666666,58.0,14.5,usable_partial
LD-LSA16,2026-03-20,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-21,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-22,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-23,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-24,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-25,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-26,partial_day,0.9895833333333334,95.0,23.75,usable_partial
LD-LSA16,2026-03-27,partial_day,0.9895833333333334,95.0,23.75,usable_partial
