group_name,date_str
ALL_5_LSAS,2026-03-09
ALL_5_LSAS,2026-03-10
ALL_5_LSAS,2026-03-30
ALL_5_LSAS,2026-04-03
MEASURED_4_LSAS,2026-03-05
MEASURED_4_LSAS,2026-03-06
MEASURED_4_LSAS,2026-03-07
MEASURED_4_LSAS,2026-03-08
MEASURED_4_LSAS,2026-03-09
MEASURED_4_LSAS,2026-03-10
MEASURED_4_LSAS,2026-03-11
MEASURED_4_LSAS,2026-03-12
MEASURED_4_LSAS,2026-03-13
MEASURED_4_LSAS,2026-03-14
MEASURED_4_LSAS,2026-03-16
MEASURED_4_LSAS,2026-03-17
MEASURED_4_LSAS,2026-03-18
MEASURED_4_LSAS,2026-03-19
MEASURED_4_LSAS,2026-03-22
MEASURED_4_LSAS,2026-03-23
MEASURED_4_LSAS,2026-03-24
MEASURED_4_LSAS,2026-03-26
MEASURED_4_LSAS,2026-03-27
MEASURED_4_LSAS,2026-03-28
MEASURED_4_LSAS,2026-03-29
MEASURED_4_LSAS,2026-03-30
MEASURED_4_LSAS,2026-04-03
MEASURED_4_LSAS,2026-04-04
MEASURED_4_LSAS,2026-04-05
MEASURED_4_LSAS,2026-04-06
MEASURED_4_LSAS,2026-04-07
MEASURED_4_LSAS,2026-04-08
MEASURED_4_LSAS,2026-04-09
MEASURED_4_LSAS,2026-04-10
MEASURED_4_LSAS,2026-04-11
MEASURED_4_LSAS,2026-04-12
MEASURED_4_LSAS,2026-04-13
MEASURED_4_LSAS,2026-04-14
MEASURED_4_LSAS,2026-04-15
MEASURED_4_LSAS,2026-04-16
