detector_id,bin,count_real,count_sim,begin,end,GEH
1,0,57,57.0,0,900,0.0
1,1,63,63.0,900,1800,0.0
1,2,71,71.0,1800,2700,0.0
1,3,66,66.0,2700,3600,0.0
2,0,13,40.0,0,900,5.244943656729227
2,1,19,45.0,900,1800,4.596194077712559
2,2,17,42.0,1800,2700,4.6028730894916166
2,3,25,39.0,2700,3600,2.4748737341529163
3,0,64,64.0,0,900,0.0
3,1,84,83.0,900,1800,0.10943513103291656
3,2,65,65.0,1800,2700,0.0
3,3,56,57.0,2700,3600,0.13303802104754786
4,0,10,10.0,0,900,0.0
4,1,6,6.0,900,1800,0.0
4,2,12,12.0,1800,2700,0.0
4,3,4,4.0,2700,3600,0.0
5,0,60,64.0,0,900,0.508000508000762
5,1,66,84.0,900,1800,2.078460969082653
5,2,57,65.0,1800,2700,1.0242950394631678
5,3,36,56.0,2700,3600,2.9488391230979425
6,0,6,6.0,0,900,0.0
6,1,5,5.0,900,1800,0.0
6,2,15,15.0,1800,2700,0.0
6,3,13,13.0,2700,3600,0.0
7,0,25,25.0,0,900,0.0
7,1,32,32.0,900,1800,0.0
7,2,22,22.0,1800,2700,0.0
7,3,22,22.0,2700,3600,0.0
10,0,36,36.0,0,900,0.0
10,1,53,53.0,900,1800,0.0
10,2,63,63.0,1800,2700,0.0
10,3,74,74.0,2700,3600,0.0
11,0,55,55.0,0,900,0.0
11,1,71,63.0,900,1800,0.9773555548504418
11,2,101,71.0,1800,2700,3.2349831961031525
11,3,67,105.0,2700,3600,4.09764538173066
33,0,27,0.0,0,900,7.3484692283495345
33,1,38,12.0,900,1800,5.2
33,2,30,5.0,1800,2700,5.976143046671968
33,3,29,15.0,2700,3600,2.9848100289785457
