intersection,timestamp,detector_id,count,occupancy,velocity
LDLSA16,2025-09-01 00:00:00+00:00,1,3,0,0
LDLSA16,2025-09-01 00:00:00+00:00,2,3,0,0
LDLSA16,2025-09-01 00:00:00+00:00,3,3,8,0
LDLSA16,2025-09-01 00:00:00+00:00,4,1,6,0
LDLSA16,2025-09-01 00:00:00+00:00,5,2,0,0
LDLSA16,2025-09-01 00:00:00+00:00,6,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,7,2,0,0
LDLSA16,2025-09-01 00:00:00+00:00,8,2,0,0
LDLSA16,2025-09-01 00:00:00+00:00,9,1,7,0
LDLSA16,2025-09-01 00:00:00+00:00,10,2,0,0
LDLSA16,2025-09-01 00:00:00+00:00,11,1,0,0
LDLSA16,2025-09-01 00:00:00+00:00,12,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,13,5,0,0
LDLSA16,2025-09-01 00:00:00+00:00,14,5,0,0
LDLSA16,2025-09-01 00:00:00+00:00,15,2,0,0
LDLSA16,2025-09-01 00:00:00+00:00,16,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,17,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,18,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,19,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,20,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,21,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,22,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,23,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,24,0,100,0
LDLSA16,2025-09-01 00:00:00+00:00,25,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,26,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,27,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,28,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,29,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,30,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,31,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,32,0,0,0
LDLSA16,2025-09-01 00:00:00+00:00,33,1,0,0
LDLSA16,2025-09-01 00:15:00+00:00,1,1,0,0
LDLSA16,2025-09-01 00:15:00+00:00,2,0,0,0
LDLSA16,2025-09-01 00:15:00+00:00,3,1,14,0
LDLSA16,2025-09-01 00:15:00+00:00,4,1,5,0
LDLSA16,2025-09-01 00:15:00+00:00,5,1,0,0
LDLSA16,2025-09-01 00:15:00+00:00,6,0,0,0
LDLSA16,2025-09-01 00:15:00+00:00,7,1,0,0
LDLSA16,2025-09-01 00:15:00+00:00,8,1,3,0
LDLSA16,2025-09-01 00:15:00+00:00,9,1,0,0
