timestamp,west_left,west_straight,west_right,west_total,east_total,north_total,south_total,corridor_out
2025-09-01 00:00:00+00:00,1,3,0,4,3,2,7,5
2025-09-01 00:15:00+00:00,1,1,0,2,1,1,1,2
2025-09-01 00:30:00+00:00,0,0,0,0,2,2,7,2
2025-09-01 00:45:00+00:00,0,2,0,2,1,1,3,2
2025-09-01 01:00:00+00:00,0,1,0,1,3,1,2,1
2025-09-01 01:15:00+00:00,0,1,0,1,4,3,4,2
2025-09-01 01:30:00+00:00,0,0,0,0,3,1,3,1
2025-09-01 01:45:00+00:00,0,3,0,3,0,2,3,4
2025-09-01 02:00:00+00:00,0,4,0,4,4,1,1,2
2025-09-01 02:15:00+00:00,0,4,1,5,6,1,3,6
2025-09-01 02:30:00+00:00,0,3,1,4,10,1,11,11
2025-09-01 02:45:00+00:00,0,6,2,8,4,4,7,12
2025-09-01 03:00:00+00:00,1,8,1,10,12,3,10,15
2025-09-01 03:15:00+00:00,2,23,5,30,12,10,22,43
2025-09-01 03:30:00+00:00,2,19,1,22,24,10,31,38
2025-09-01 03:45:00+00:00,4,29,3,36,27,4,41,66
2025-09-01 04:00:00+00:00,4,23,4,31,128,11,20,51
2025-09-01 04:15:00+00:00,5,19,2,26,28,15,43,65
2025-09-01 04:30:00+00:00,8,32,16,56,57,17,63,94
2025-09-01 04:45:00+00:00,7,57,0,64,73,22,72,121
2025-09-01 05:00:00+00:00,13,70,0,83,75,24,69,115
2025-09-01 05:15:00+00:00,9,43,37,89,87,26,113,143
2025-09-01 05:30:00+00:00,7,63,0,70,139,43,112,149
2025-09-01 05:45:00+00:00,11,57,16,84,162,42,109,152
2025-09-01 06:00:00+00:00,7,53,0,60,101,39,103,129
2025-09-01 06:15:00+00:00,9,64,0,73,100,32,91,130
2025-09-01 06:30:00+00:00,13,72,0,85,104,34,101,133
2025-09-01 06:45:00+00:00,12,57,0,69,104,50,121,136
2025-09-01 07:00:00+00:00,11,67,0,78,109,50,122,140
2025-09-01 07:15:00+00:00,11,57,0,68,134,41,107,136
2025-09-01 07:30:00+00:00,8,68,2,78,98,29,113,128
2025-09-01 07:45:00+00:00,14,57,0,71,121,53,102,133
2025-09-01 08:00:00+00:00,12,61,0,73,132,42,122,144
2025-09-01 08:15:00+00:00,10,63,8,81,111,40,105,133
2025-09-01 08:30:00+00:00,7,41,4,52,145,49,109,125
2025-09-01 08:45:00+00:00,13,65,0,78,167,43,132,144
2025-09-01 09:00:00+00:00,12,52,0,64,172,42,131,126
2025-09-01 09:15:00+00:00,15,70,0,85,140,62,107,142
2025-09-01 09:30:00+00:00,7,50,0,57,149,43,103,119
2025-09-01 09:45:00+00:00,5,51,0,56,177,64,107,122
2025-09-01 10:00:00+00:00,9,43,3,55,161,54,125,104
2025-09-01 10:15:00+00:00,9,53,4,66,156,49,118,115
2025-09-01 10:30:00+00:00,6,55,0,61,141,58,104,127
2025-09-01 10:45:00+00:00,10,67,0,77,144,48,109,119
2025-09-01 11:00:00+00:00,5,57,0,62,172,65,115,127
2025-09-01 11:15:00+00:00,10,49,0,59,124,48,93,110
2025-09-01 11:30:00+00:00,10,69,0,79,150,49,112,135
2025-09-01 11:45:00+00:00,10,83,0,93,142,39,101,146
2025-09-01 12:00:00+00:00,15,9,42,66,155,44,114,123
2025-09-01 12:15:00+00:00,10,80,0,90,140,49,109,151
2025-09-01 12:30:00+00:00,8,77,0,85,165,52,112,143
2025-09-01 12:45:00+00:00,9,63,0,72,123,55,119,130
2025-09-01 13:00:00+00:00,12,63,4,79,191,43,100,132
2025-09-01 13:15:00+00:00,10,60,8,78,170,43,99,132
2025-09-01 13:30:00+00:00,6,59,0,65,153,48,136,128
2025-09-01 13:45:00+00:00,7,27,0,34,158,24,135,126
2025-09-01 14:00:00+00:00,7,51,0,58,196,17,140,137
2025-09-01 14:15:00+00:00,9,46,0,55,186,24,112,120
2025-09-01 14:30:00+00:00,8,49,0,57,164,23,144,153
2025-09-01 14:45:00+00:00,6,67,0,73,194,23,122,126
2025-09-01 15:00:00+00:00,13,80,0,93,221,53,134,148
2025-09-01 15:15:00+00:00,8,68,0,76,154,42,120,130
2025-09-01 15:30:00+00:00,11,76,0,87,184,50,115,156
2025-09-01 15:45:00+00:00,7,54,0,61,144,45,120,121
2025-09-01 16:00:00+00:00,8,59,0,67,147,53,94,114
2025-09-01 16:15:00+00:00,6,60,0,66,148,51,100,128
2025-09-01 16:30:00+00:00,6,52,0,58,127,53,72,97
2025-09-01 16:45:00+00:00,11,60,0,71,142,43,84,100
2025-09-01 17:00:00+00:00,7,32,0,39,118,40,83,91
2025-09-01 17:15:00+00:00,8,46,0,54,107,35,80,83
2025-09-01 17:30:00+00:00,1,22,3,26,82,32,65,56
2025-09-01 17:45:00+00:00,9,43,0,52,96,37,101,89
2025-09-01 18:00:00+00:00,7,36,0,43,97,31,77,76
2025-09-01 18:15:00+00:00,8,23,2,33,67,21,70,65
2025-09-01 18:30:00+00:00,4,29,3,36,78,28,53,65
2025-09-01 18:45:00+00:00,1,27,0,28,69,16,42,54
2025-09-01 19:00:00+00:00,4,20,4,28,60,23,43,44
2025-09-01 19:15:00+00:00,3,27,0,30,51,28,53,47
2025-09-01 19:30:00+00:00,2,22,11,35,58,17,66,60
2025-09-01 19:45:00+00:00,6,9,0,15,52,23,38,27
2025-09-01 20:00:00+00:00,1,10,2,13,49,24,54,30
2025-09-01 20:15:00+00:00,2,6,0,8,44,7,29,15
2025-09-01 20:30:00+00:00,0,16,0,16,38,12,25,25
2025-09-01 20:45:00+00:00,4,7,0,11,26,11,16,13
2025-09-01 21:00:00+00:00,2,6,0,8,25,7,19,15
2025-09-01 21:15:00+00:00,0,5,3,8,22,3,16,14
2025-09-01 21:30:00+00:00,2,5,1,8,17,4,16,12
2025-09-01 21:45:00+00:00,0,9,0,9,8,9,12,15
2025-09-01 22:00:00+00:00,0,3,0,3,9,0,10,11
2025-09-01 22:15:00+00:00,2,7,1,10,10,2,9,7
2025-09-01 22:30:00+00:00,1,3,3,7,5,5,4,6
2025-09-01 22:45:00+00:00,3,0,1,4,9,3,7,3
2025-09-01 23:00:00+00:00,1,1,0,2,6,1,15,7
2025-09-01 23:15:00+00:00,0,1,0,1,6,3,7,2
2025-09-01 23:30:00+00:00,0,4,0,4,5,1,2,5
2025-09-01 23:45:00+00:00,0,1,0,1,10,1,7,2
2025-09-02 00:00:00+00:00,0,0,0,0,8,1,6,3
2025-09-02 00:15:00+00:00,0,0,0,0,3,1,6,1
2025-09-02 00:30:00+00:00,0,0,0,0,1,0,4,3
2025-09-02 00:45:00+00:00,0,1,0,1,1,0,1,1
2025-09-02 01:00:00+00:00,1,1,0,2,2,1,4,2
2025-09-02 01:15:00+00:00,0,0,0,0,4,1,10,4
