timestamp,west_left,west_straight,west_right,west_total,east_total,north_total,south_total,corridor_out
2025-09-13 00:00:00+00:00,2,1,0,3,8,8,12,4
2025-09-13 00:15:00+00:00,1,1,1,3,4,5,16,4
2025-09-13 00:30:00+00:00,2,2,0,4,7,4,9,4
2025-09-13 00:45:00+00:00,3,1,1,5,1,3,4,3
2025-09-13 01:00:00+00:00,2,2,0,4,10,4,7,6
2025-09-13 01:15:00+00:00,1,3,0,4,4,3,5,8
2025-09-13 01:30:00+00:00,1,0,0,1,8,4,16,3
2025-09-13 01:45:00+00:00,0,2,1,3,2,2,11,7
2025-09-13 02:00:00+00:00,2,1,0,3,9,3,6,2
2025-09-13 02:15:00+00:00,0,1,1,2,5,4,11,4
2025-09-13 02:30:00+00:00,2,1,4,7,3,4,14,8
2025-09-13 02:45:00+00:00,0,3,2,5,3,1,6,6
2025-09-13 03:00:00+00:00,0,6,3,9,9,3,17,18
2025-09-13 03:15:00+00:00,0,4,0,4,6,3,15,13
2025-09-13 03:30:00+00:00,1,11,1,13,14,5,27,26
2025-09-13 03:45:00+00:00,2,4,1,7,15,2,27,15
2025-09-13 04:00:00+00:00,1,7,0,8,16,3,19,22
2025-09-13 04:15:00+00:00,0,7,0,7,10,4,29,21
2025-09-13 04:30:00+00:00,1,7,2,10,8,6,33,30
2025-09-13 04:45:00+00:00,4,23,1,28,20,13,29,39
2025-09-13 05:00:00+00:00,3,23,0,26,24,10,34,39
2025-09-13 05:15:00+00:00,3,15,4,22,31,15,43,49
2025-09-13 05:30:00+00:00,3,20,5,28,34,14,47,55
2025-09-13 05:45:00+00:00,3,25,7,35,30,9,65,69
2025-09-13 06:00:00+00:00,4,22,5,31,46,22,46,56
2025-09-13 06:15:00+00:00,6,28,7,41,54,18,82,81
2025-09-13 06:30:00+00:00,7,25,0,32,49,32,64,68
2025-09-13 06:45:00+00:00,6,56,0,62,90,34,90,110
2025-09-13 07:00:00+00:00,5,48,2,55,79,32,72,107
2025-09-13 07:15:00+00:00,9,60,0,69,79,19,98,126
2025-09-13 07:30:00+00:00,13,53,4,70,90,38,113,122
2025-09-13 07:45:00+00:00,11,63,0,74,108,29,98,140
2025-09-13 08:00:00+00:00,9,50,0,59,115,35,111,125
2025-09-13 08:15:00+00:00,11,73,0,84,99,44,107,138
2025-09-13 08:30:00+00:00,7,77,0,84,130,40,109,143
2025-09-13 08:45:00+00:00,7,78,0,85,174,36,100,136
2025-09-13 09:00:00+00:00,10,56,0,66,153,37,108,134
2025-09-13 09:15:00+00:00,10,74,0,84,172,50,128,148
2025-09-13 09:30:00+00:00,6,61,0,67,150,44,109,125
2025-09-13 09:45:00+00:00,16,76,0,92,177,46,144,164
2025-09-13 10:00:00+00:00,8,74,0,82,137,54,126,150
2025-09-13 10:15:00+00:00,7,48,2,57,155,49,114,129
2025-09-13 10:30:00+00:00,7,68,0,75,134,61,93,132
2025-09-13 10:45:00+00:00,8,60,0,68,158,45,106,144
2025-09-13 11:00:00+00:00,8,51,4,63,163,36,123,151
2025-09-13 11:15:00+00:00,8,63,0,71,145,56,112,133
2025-09-13 11:30:00+00:00,10,39,7,56,160,40,101,136
2025-09-13 11:45:00+00:00,5,71,0,76,136,51,114,146
2025-09-13 12:00:00+00:00,8,74,0,82,131,32,132,155
2025-09-13 12:15:00+00:00,9,60,0,69,141,41,107,123
2025-09-13 12:30:00+00:00,7,72,0,79,137,48,121,155
2025-09-13 12:45:00+00:00,6,65,0,71,152,42,111,135
2025-09-13 13:00:00+00:00,8,69,0,77,153,47,139,155
2025-09-13 13:15:00+00:00,5,65,0,70,123,37,114,153
2025-09-13 13:30:00+00:00,9,30,17,56,129,35,122,138
2025-09-13 13:45:00+00:00,8,63,0,71,138,46,103,140
2025-09-13 14:00:00+00:00,11,49,0,60,125,44,124,119
2025-09-13 14:15:00+00:00,7,49,0,56,100,49,118,114
2025-09-13 14:30:00+00:00,9,58,0,67,114,53,121,126
2025-09-13 14:45:00+00:00,10,46,0,56,104,37,113,123
2025-09-13 15:00:00+00:00,8,60,0,68,113,37,111,132
2025-09-13 15:15:00+00:00,7,54,0,61,119,46,104,136
2025-09-13 15:30:00+00:00,5,49,0,54,126,25,111,123
2025-09-13 15:45:00+00:00,16,72,2,90,106,41,107,145
2025-09-13 16:00:00+00:00,8,54,0,62,91,43,97,113
2025-09-13 16:15:00+00:00,4,68,0,72,79,38,116,151
2025-09-13 16:30:00+00:00,5,43,0,48,107,40,100,96
2025-09-13 16:45:00+00:00,10,61,0,71,78,41,123,133
2025-09-13 17:00:00+00:00,9,46,3,58,95,38,94,107
2025-09-13 17:15:00+00:00,6,43,0,49,92,51,83,97
2025-09-13 17:30:00+00:00,7,41,0,48,77,33,67,98
2025-09-13 17:45:00+00:00,5,39,1,45,76,43,89,92
2025-09-13 18:00:00+00:00,9,32,0,41,68,35,65,84
2025-09-13 18:15:00+00:00,5,32,0,37,64,38,71,76
2025-09-13 18:30:00+00:00,7,37,0,44,61,37,74,80
2025-09-13 18:45:00+00:00,9,27,5,41,52,31,61,57
2025-09-13 19:00:00+00:00,7,18,3,28,57,33,69,45
2025-09-13 19:15:00+00:00,4,25,0,29,55,23,56,51
2025-09-13 19:30:00+00:00,5,24,3,32,60,38,54,56
2025-09-13 19:45:00+00:00,6,27,1,34,52,18,51,45
2025-09-13 20:00:00+00:00,3,22,1,26,66,25,66,58
2025-09-13 20:15:00+00:00,4,13,3,20,49,30,42,46
2025-09-13 20:30:00+00:00,2,16,0,18,44,25,26,30
2025-09-13 20:45:00+00:00,5,12,2,19,38,25,44,48
2025-09-13 21:00:00+00:00,3,14,4,21,46,28,36,34
2025-09-13 21:15:00+00:00,3,14,5,22,33,26,35,40
2025-09-13 21:30:00+00:00,1,13,5,19,28,20,44,32
2025-09-13 21:45:00+00:00,5,12,1,18,27,15,47,30
2025-09-13 22:00:00+00:00,5,11,0,16,29,25,38,30
2025-09-13 22:15:00+00:00,1,6,4,11,34,19,37,19
2025-09-13 22:30:00+00:00,0,9,2,11,23,20,44,23
2025-09-13 22:45:00+00:00,2,7,7,16,20,9,32,20
2025-09-13 23:00:00+00:00,1,11,0,12,21,10,29,20
2025-09-13 23:15:00+00:00,2,6,2,10,13,19,32,16
2025-09-13 23:30:00+00:00,2,6,1,9,19,24,30,19
2025-09-13 23:45:00+00:00,1,3,1,5,17,8,21,10
