date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
2025-09-01,4.0,2.0,0.0,2.0,1.0,1.0,0.0,3.0,4.0,5.0,4.0,8.0,10.0,30.0,22.0,36.0,31.0,26.0,56.0,64.0,83.0,89.0,70.0,84.0,60.0,73.0,85.0,69.0,78.0,68.0,78.0,71.0,73.0,81.0,52.0,78.0,64.0,85.0,57.0,56.0,55.0,66.0,61.0,77.0,62.0,59.0,79.0,93.0,66.0,90.0,85.0,72.0,79.0,78.0,65.0,34.0,58.0,55.0,57.0,73.0,93.0,76.0,87.0,61.0,67.0,66.0,58.0,71.0,39.0,54.0,26.0,52.0,43.0,33.0,36.0,28.0,28.0,30.0,35.0,15.0,13.0,8.0,16.0,11.0,8.0,8.0,8.0,9.0,3.0,10.0,7.0,4.0,2.0,1.0,4.0,1.0
2025-09-02,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,9.0,9.0,11.0,25.0,29.0,29.0,24.0,27.0,65.0,77.0,65.0,90.0,59.0,78.0,78.0,82.0,72.0,74.0,64.0,75.0,84.0,65.0,69.0,75.0,73.0,81.0,64.0,64.0,72.0,70.0,68.0,57.0,66.0,71.0,62.0,65.0,93.0,81.0,84.0,74.0,64.0,90.0,84.0,85.0,69.0,74.0,106.0,90.0,75.0,65.0,81.0,73.0,66.0,87.0,80.0,58.0,68.0,58.0,68.0,50.0,36.0,43.0,42.0,37.0,35.0,33.0,28.0,41.0,33.0,35.0,17.0,9.0,10.0,5.0,6.0,5.0,9.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0
2025-09-03,1.0,0.0,2.0,1.0,0.0,1.0,2.0,5.0,1.0,2.0,3.0,8.0,7.0,21.0,29.0,35.0,21.0,30.0,69.0,65.0,78.0,88.0,87.0,63.0,76.0,76.0,72.0,82.0,69.0,68.0,76.0,68.0,74.0,78.0,81.0,68.0,77.0,80.0,71.0,60.0,63.0,69.0,66.0,62.0,81.0,69.0,76.0,76.0,79.0,74.0,77.0,74.0,70.0,40.0,39.0,73.0,46.0,55.0,73.0,96.0,89.0,64.0,97.0,66.0,87.0,79.0,57.0,65.0,47.0,58.0,40.0,48.0,39.0,51.0,43.0,41.0,43.0,13.0,6.0,23.0,16.0,15.0,16.0,11.0,7.0,8.0,2.0,4.0,5.0,8.0,2.0,4.0,4.0,4.0,0.0,1.0
2025-09-04,2.0,2.0,1.0,1.0,0.0,4.0,2.0,3.0,1.0,2.0,2.0,6.0,12.0,21.0,24.0,28.0,30.0,32.0,60.0,72.0,64.0,95.0,78.0,69.0,87.0,92.0,69.0,93.0,74.0,82.0,84.0,81.0,78.0,76.0,72.0,100.0,56.0,73.0,77.0,80.0,64.0,76.0,48.0,52.0,64.0,66.0,82.0,77.0,76.0,70.0,71.0,71.0,94.0,78.0,49.0,61.0,69.0,60.0,70.0,71.0,57.0,55.0,69.0,80.0,60.0,52.0,62.0,65.0,44.0,54.0,47.0,49.0,43.0,35.0,34.0,32.0,37.0,30.0,37.0,37.0,15.0,29.0,19.0,9.0,16.0,7.0,9.0,5.0,10.0,3.0,2.0,7.0,8.0,2.0,3.0,2.0
2025-09-05,2.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,4.0,20.0,23.0,31.0,26.0,32.0,69.0,62.0,77.0,96.0,70.0,82.0,78.0,64.0,84.0,88.0,68.0,99.0,89.0,79.0,71.0,79.0,69.0,79.0,59.0,77.0,65.0,84.0,63.0,79.0,53.0,46.0,70.0,56.0,74.0,87.0,69.0,82.0,86.0,88.0,76.0,69.0,90.0,67.0,82.0,73.0,58.0,74.0,85.0,80.0,75.0,88.0,57.0,58.0,81.0,74.0,56.0,74.0,54.0,40.0,60.0,48.0,35.0,49.0,38.0,44.0,34.0,36.0,28.0,29.0,25.0,28.0,30.0,12.0,20.0,14.0,13.0,16.0,14.0,12.0,8.0,13.0,9.0,4.0
2025-09-06,12.0,8.0,5.0,11.0,8.0,6.0,1.0,2.0,1.0,5.0,7.0,2.0,6.0,7.0,9.0,9.0,15.0,12.0,12.0,20.0,19.0,24.0,25.0,75.0,31.0,44.0,39.0,76.0,63.0,73.0,76.0,81.0,86.0,80.0,89.0,79.0,85.0,81.0,59.0,79.0,73.0,72.0,54.0,73.0,57.0,73.0,58.0,82.0,51.0,63.0,64.0,79.0,59.0,73.0,56.0,79.0,80.0,51.0,57.0,56.0,68.0,78.0,61.0,68.0,55.0,74.0,56.0,52.0,49.0,56.0,40.0,53.0,58.0,58.0,41.0,30.0,32.0,41.0,28.0,39.0,44.0,36.0,30.0,21.0,19.0,32.0,28.0,16.0,6.0,18.0,13.0,22.0,13.0,14.0,9.0,5.0
2025-09-07,11.0,3.0,8.0,9.0,6.0,4.0,1.0,6.0,2.0,3.0,8.0,6.0,6.0,6.0,8.0,4.0,3.0,11.0,13.0,10.0,8.0,18.0,6.0,18.0,18.0,18.0,17.0,27.0,30.0,38.0,35.0,55.0,52.0,77.0,50.0,72.0,59.0,70.0,46.0,69.0,61.0,67.0,61.0,73.0,44.0,64.0,62.0,77.0,69.0,80.0,69.0,79.0,86.0,82.0,63.0,82.0,73.0,71.0,66.0,90.0,84.0,77.0,67.0,95.0,82.0,84.0,76.0,69.0,35.0,60.0,54.0,52.0,56.0,47.0,38.0,48.0,33.0,38.0,25.0,24.0,17.0,17.0,10.0,8.0,12.0,8.0,6.0,5.0,5.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0
2025-09-08,1.0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,10.0,8.0,11.0,12.0,18.0,40.0,36.0,34.0,35.0,77.0,66.0,80.0,90.0,75.0,55.0,63.0,49.0,59.0,84.0,71.0,58.0,55.0,76.0,57.0,66.0,67.0,72.0,62.0,65.0,52.0,57.0,67.0,63.0,60.0,80.0,52.0,71.0,78.0,70.0,68.0,71.0,66.0,82.0,66.0,59.0,15.0,37.0,45.0,48.0,38.0,74.0,84.0,56.0,75.0,64.0,41.0,70.0,57.0,62.0,44.0,39.0,26.0,53.0,32.0,36.0,24.0,24.0,30.0,24.0,22.0,23.0,14.0,11.0,11.0,15.0,5.0,7.0,5.0,3.0,8.0,3.0,1.0,0.0,3.0,2.0,3.0,3.0
2025-09-09,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,8.0,15.0,4.0,24.0,30.0,33.0,32.0,35.0,67.0,72.0,56.0,77.0,77.0,23.0,32.0,40.0,35.0,26.0,42.0,45.0,50.0,54.0,61.0,53.0,51.0,61.0,60.0,71.0,56.0,52.0,49.0,74.0,60.0,73.0,74.0,64.0,85.0,61.0,75.0,49.0,82.0,72.0,77.0,60.0,54.0,57.0,77.0,75.0,65.0,78.0,81.0,45.0,49.0,75.0,73.0,64.0,65.0,53.0,53.0,56.0,43.0,45.0,36.0,33.0,39.0,30.0,31.0,27.0,28.0,30.0,13.0,10.0,11.0,13.0,10.0,7.0,7.0,2.0,5.0,4.0,6.0,3.0,1.0,2.0,2.0,0.0
2025-09-10,1.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,10.0,11.0,12.0,17.0,35.0,45.0,34.0,42.0,65.0,97.0,68.0,60.0,65.0,49.0,38.0,55.0,63.0,68.0,81.0,57.0,85.0,72.0,88.0,94.0,60.0,73.0,82.0,87.0,77.0,86.0,49.0,62.0,61.0,49.0,64.0,52.0,77.0,70.0,69.0,69.0,75.0,88.0,61.0,75.0,59.0,60.0,41.0,71.0,89.0,52.0,42.0,42.0,84.0,86.0,73.0,64.0,75.0,77.0,69.0,66.0,45.0,43.0,46.0,40.0,31.0,50.0,35.0,38.0,33.0,28.0,20.0,10.0,11.0,10.0,15.0,6.0,1.0,7.0,1.0,5.0,1.0,2.0,2.0,5.0,0.0,4.0
