timestamp,west_left_upstream,west_straight_right_upstream,west_total_upstream,west_left_stopline,west_straight_right_stopline,west_total_stopline_check,south_straight_failed,south_straight_alt_failed,south_total_failed_check,east_left_upstream,east_straight_upstream,east_straight_right_upstream,east_right_inferred_upstream,east_total_upstream,east_right_stopline,east_straight1_stopline,east_straight2_stopline,east_left_stopline_failed,east_straight_total_stopline_check,east_total_stopline_check,north_left_upstream,north_left_stopline,north_straight_stopline,north_right_stopline,north_straight_right_failed,north_total_mixed,north_total_stopline_check
2025-09-01 00:00:00+00:00,6,5,11,2,4,6,0,0,0,0,5,5,0,5,1,2,5,0,7,8,1,1,1,0,0,2,2
2025-09-01 00:15:00+00:00,6,6,12,3,6,9,0,0,0,0,3,3,0,3,0,2,3,0,5,5,1,0,0,1,0,2,1
2025-09-01 00:30:00+00:00,3,3,6,1,2,3,0,0,0,1,2,2,0,3,0,1,1,0,2,2,1,1,1,0,0,2,2
2025-09-01 00:45:00+00:00,2,3,5,2,1,3,0,0,0,0,2,4,2,4,2,2,0,0,2,4,1,1,0,0,0,1,1
2025-09-01 01:00:00+00:00,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,1,0,2,3,4,2,0,2,0,6,4
2025-09-01 01:15:00+00:00,3,3,6,1,2,3,0,0,0,0,4,4,0,4,0,3,3,0,6,6,2,2,0,0,0,2,2
2025-09-01 01:30:00+00:00,3,3,6,2,1,3,0,0,0,1,4,3,0,4,0,1,4,0,5,5,2,3,0,0,0,2,3
2025-09-01 01:45:00+00:00,7,11,18,2,10,12,0,0,0,0,4,7,3,7,3,3,1,0,4,7,1,1,0,0,0,1,1
2025-09-01 02:00:00+00:00,5,5,10,0,6,6,0,0,0,1,5,4,0,5,1,1,2,0,3,4,3,2,0,1,0,4,3
2025-09-01 02:15:00+00:00,7,8,15,2,5,7,0,0,0,0,4,9,5,9,3,6,2,0,8,11,5,4,1,0,0,6,5
2025-09-01 02:30:00+00:00,26,26,52,5,32,37,0,0,0,0,2,4,2,4,1,4,0,0,4,5,7,5,0,5,0,12,10
2025-09-01 02:45:00+00:00,18,17,35,9,12,21,0,0,0,0,4,6,2,6,5,0,1,0,1,6,3,2,1,2,0,6,5
2025-09-01 03:00:00+00:00,33,39,72,14,25,39,0,0,0,3,9,12,3,15,4,9,2,0,11,15,17,12,2,9,0,28,23
2025-09-01 03:15:00+00:00,52,55,107,14,49,63,0,0,0,5,7,11,4,16,6,5,2,0,7,13,16,9,1,8,0,25,18
2025-09-01 03:30:00+00:00,51,63,114,16,56,72,0,0,0,5,16,21,5,26,9,12,8,0,20,29,26,20,2,7,0,35,29
2025-09-01 03:45:00+00:00,64,81,145,15,75,90,0,0,0,8,28,37,9,45,11,19,14,0,33,44,32,29,1,6,0,39,36
2025-09-01 04:00:00+00:00,48,61,109,15,58,73,0,0,0,8,39,45,6,53,17,23,20,0,43,60,24,19,2,14,0,40,35
2025-09-01 04:15:00+00:00,71,79,150,21,67,88,0,0,0,5,20,42,22,47,17,19,6,0,25,42,27,17,10,9,0,46,36
2025-09-01 04:30:00+00:00,85,126,211,30,120,150,0,0,0,20,54,57,3,77,16,35,27,0,62,78,29,21,8,17,0,54,46
2025-09-01 04:45:00+00:00,57,133,190,40,132,172,0,0,0,23,55,80,25,103,30,41,33,0,74,104,45,40,12,15,0,72,67
2025-09-01 05:00:00+00:00,86,129,215,32,141,173,0,0,0,33,89,110,21,143,52,45,57,0,102,154,55,43,13,21,0,89,77
2025-09-01 05:15:00+00:00,95,158,253,39,154,193,0,0,0,34,83,112,29,146,44,70,54,0,124,168,71,55,23,34,0,128,112
2025-09-01 05:30:00+00:00,139,195,334,32,195,227,0,0,0,42,113,166,53,208,77,82,90,0,172,249,84,61,17,48,0,149,126
2025-09-01 05:45:00+00:00,131,181,312,32,183,215,0,0,0,34,121,221,100,255,76,97,107,0,204,280,73,61,22,41,0,136,124
2025-09-01 06:00:00+00:00,112,186,298,27,188,215,0,0,0,43,90,148,58,191,55,67,71,0,138,193,78,82,29,32,0,139,143
2025-09-01 06:15:00+00:00,91,167,258,40,170,210,0,0,0,41,89,150,61,191,57,71,67,0,138,195,75,69,32,28,0,135,129
2025-09-01 06:30:00+00:00,114,175,289,36,174,210,0,0,0,35,102,146,44,181,60,58,68,0,126,186,70,60,20,35,0,125,115
2025-09-01 06:45:00+00:00,73,178,251,35,171,206,0,0,0,34,126,160,34,194,71,63,99,0,162,233,72,72,30,32,0,134,134
2025-09-01 07:00:00+00:00,73,157,230,35,171,206,0,0,0,38,109,145,36,183,68,46,70,0,116,184,74,65,18,29,0,121,112
2025-09-01 07:15:00+00:00,54,167,221,51,158,209,0,0,0,27,106,134,28,161,70,47,70,0,117,187,82,81,13,32,0,127,126
2025-09-01 07:30:00+00:00,41,145,186,302,146,448,0,0,0,34,114,152,38,186,77,53,74,0,127,204,74,71,25,32,0,131,128
2025-09-01 07:45:00+00:00,39,151,190,40,160,200,0,0,0,35,97,141,44,176,70,44,64,0,108,178,78,78,17,37,0,132,132
2025-09-01 08:00:00+00:00,40,173,213,42,181,223,0,0,0,29,151,198,47,227,97,59,87,0,146,243,76,73,22,45,0,143,140
2025-09-01 08:15:00+00:00,48,153,201,39,157,196,0,0,0,36,121,167,46,203,83,57,85,0,142,225,79,81,17,37,0,133,135
2025-09-01 08:30:00+00:00,39,166,205,40,185,225,0,0,0,33,99,185,86,218,93,68,72,0,140,233,84,87,17,54,0,155,158
2025-09-01 08:45:00+00:00,47,193,240,39,198,237,0,0,0,32,103,184,81,216,93,61,83,0,144,237,77,73,17,47,0,141,137
2025-09-01 09:00:00+00:00,38,160,198,39,160,199,0,0,0,30,130,171,41,201,83,56,99,0,155,238,83,88,17,38,0,138,143
2025-09-01 09:15:00+00:00,38,163,201,36,166,202,0,0,0,32,125,191,66,223,87,65,98,0,163,250,73,76,11,40,0,124,127
2025-09-01 09:30:00+00:00,48,167,215,47,160,207,0,0,0,38,118,198,80,236,83,75,103,0,178,261,83,83,22,48,0,153,153
2025-09-01 09:45:00+00:00,47,164,211,48,165,213,0,0,0,37,121,198,77,235,89,72,103,0,175,264,82,77,20,47,0,149,144
2025-09-01 10:00:00+00:00,77,181,258,42,172,214,0,0,0,38,126,173,47,211,87,59,102,0,161,248,74,72,20,43,0,137,135
2025-09-01 10:15:00+00:00,69,158,227,50,150,200,0,0,0,48,125,167,42,215,86,61,96,0,157,243,73,63,14,53,0,140,130
2025-09-01 10:30:00+00:00,99,165,264,44,165,209,0,0,0,46,130,154,24,200,91,58,89,0,147,238,67,63,23,42,0,132,128
2025-09-01 10:45:00+00:00,65,142,207,47,139,186,0,0,0,40,118,158,40,198,79,52,91,0,143,222,83,79,15,45,0,143,139
2025-09-01 11:00:00+00:00,94,151,245,47,150,197,0,0,0,47,127,156,29,203,83,59,87,0,146,229,82,77,12,50,0,144,139
2025-09-01 11:15:00+00:00,72,150,222,45,158,203,0,0,0,34,110,147,37,181,80,48,86,0,134,214,87,81,23,44,0,154,148
2025-09-01 11:30:00+00:00,102,161,263,38,164,202,0,0,0,34,111,183,72,217,82,75,88,0,163,245,81,84,14,46,0,141,144
2025-09-01 11:45:00+00:00,79,161,240,41,161,202,0,0,0,42,109,203,94,245,97,81,94,0,175,272,74,81,23,35,0,132,139
2025-09-01 12:00:00+00:00,68,152,220,32,154,186,0,0,0,35,127,180,53,215,96,70,95,0,165,261,70,60,18,47,0,135,125
2025-09-01 12:15:00+00:00,37,147,184,40,156,196,0,0,0,38,102,160,58,198,97,54,86,0,140,237,78,73,19,42,0,139,134
2025-09-01 12:30:00+00:00,35,181,216,40,183,223,0,0,0,35,119,168,49,203,76,82,90,0,172,248,73,66,25,46,0,144,137
2025-09-01 12:45:00+00:00,82,192,274,73,193,266,0,0,0,38,99,180,81,218,90,69,77,0,146,236,70,73,22,42,0,134,137
2025-09-01 13:00:00+00:00,34,170,204,40,174,214,0,0,0,36,118,177,59,213,95,74,113,0,187,282,88,65,25,57,0,170,147
2025-09-01 13:15:00+00:00,63,181,244,38,190,228,0,0,0,44,135,197,62,241,112,67,110,0,177,289,78,81,24,67,0,169,172
2025-09-01 13:30:00+00:00,61,164,225,40,186,226,0,0,0,40,146,194,48,234,87,82,119,0,201,288,74,78,27,69,0,170,174
2025-09-01 13:45:00+00:00,60,163,223,50,166,216,0,0,0,52,151,200,49,252,103,70,121,0,191,294,78,87,22,54,0,154,163
2025-09-01 14:00:00+00:00,45,186,231,45,190,235,0,0,0,43,147,189,42,232,94,69,108,0,177,271,80,69,24,54,0,158,147
2025-09-01 14:15:00+00:00,58,178,236,41,185,226,0,0,0,45,138,200,62,245,84,96,110,0,206,290,77,73,22,46,0,145,141
2025-09-01 14:30:00+00:00,55,175,230,56,178,234,0,0,0,53,126,175,49,228,74,68,105,0,173,247,76,81,19,43,0,138,143
2025-09-01 14:45:00+00:00,45,184,229,49,181,230,0,0,0,47,140,204,64,251,88,95,134,0,229,317,72,71,24,46,0,142,141
2025-09-01 15:00:00+00:00,49,196,245,49,207,256,0,0,0,53,161,223,62,276,112,88,134,0,222,334,75,72,20,76,0,171,168
2025-09-01 15:15:00+00:00,81,145,226,49,150,199,0,0,0,39,145,205,60,244,91,91,119,0,210,301,82,84,25,56,0,163,165
2025-09-01 15:30:00+00:00,86,180,266,50,197,247,0,0,0,46,126,185,59,231,92,81,104,0,185,277,63,65,19,47,0,129,131
2025-09-01 15:45:00+00:00,67,166,233,52,164,216,0,0,0,47,134,175,41,222,99,67,91,0,158,257,86,90,24,52,0,162,166
2025-09-01 16:00:00+00:00,93,157,250,48,157,205,0,0,0,38,117,148,31,186,89,60,90,0,150,239,87,81,16,46,0,149,143
2025-09-01 16:15:00+00:00,63,155,218,36,155,191,0,0,0,47,126,151,25,198,76,55,74,0,129,205,72,72,17,46,0,135,135
2025-09-01 16:30:00+00:00,89,159,248,38,151,189,0,0,0,29,102,146,44,175,68,56,74,0,130,198,72,60,19,41,0,132,120
