timestamp,VD23_count,WD21_count,WD22_count,D25_count,WEST_straight,WEST_left,WEST_right_derived,WEST_total_reconstructed,vd23_minus_wd21,date,time
2025-09-01 00:00:00+00:00,2,3,1,5,3,1,0,4,-1,2025-09-01,00:00
2025-09-01 00:15:00+00:00,1,1,1,2,1,1,0,2,0,2025-09-01,00:15
2025-09-01 00:30:00+00:00,0,0,0,2,0,0,0,0,0,2025-09-01,00:30
2025-09-01 00:45:00+00:00,2,2,0,2,2,0,0,2,0,2025-09-01,00:45
2025-09-01 01:00:00+00:00,1,1,0,1,1,0,0,1,0,2025-09-01,01:00
2025-09-01 01:15:00+00:00,1,1,0,2,1,0,0,1,0,2025-09-01,01:15
2025-09-01 01:30:00+00:00,0,0,0,1,0,0,0,0,0,2025-09-01,01:30
2025-09-01 01:45:00+00:00,2,3,0,4,3,0,0,3,-1,2025-09-01,01:45
2025-09-01 02:00:00+00:00,2,4,0,2,4,0,0,4,-2,2025-09-01,02:00
2025-09-01 02:15:00+00:00,5,4,0,6,4,0,1,5,1,2025-09-01,02:15
2025-09-01 02:30:00+00:00,4,3,0,11,3,0,1,4,1,2025-09-01,02:30
2025-09-01 02:45:00+00:00,8,6,0,12,6,0,2,8,2,2025-09-01,02:45
2025-09-01 03:00:00+00:00,9,8,1,15,8,1,1,10,1,2025-09-01,03:00
2025-09-01 03:15:00+00:00,28,23,2,43,23,2,5,30,5,2025-09-01,03:15
2025-09-01 03:30:00+00:00,20,19,2,38,19,2,1,22,1,2025-09-01,03:30
2025-09-01 03:45:00+00:00,32,29,4,66,29,4,3,36,3,2025-09-01,03:45
2025-09-01 04:00:00+00:00,27,23,4,51,23,4,4,31,4,2025-09-01,04:00
2025-09-01 04:15:00+00:00,21,19,5,65,19,5,2,26,2,2025-09-01,04:15
2025-09-01 04:30:00+00:00,48,32,8,94,32,8,16,56,16,2025-09-01,04:30
2025-09-01 04:45:00+00:00,52,57,7,121,57,7,0,64,-5,2025-09-01,04:45
2025-09-01 05:00:00+00:00,63,70,13,115,70,13,0,83,-7,2025-09-01,05:00
2025-09-01 05:15:00+00:00,80,43,9,143,43,9,37,89,37,2025-09-01,05:15
2025-09-01 05:30:00+00:00,50,63,7,149,63,7,0,70,-13,2025-09-01,05:30
2025-09-01 05:45:00+00:00,73,57,11,152,57,11,16,84,16,2025-09-01,05:45
2025-09-01 06:00:00+00:00,45,53,7,129,53,7,0,60,-8,2025-09-01,06:00
2025-09-01 06:15:00+00:00,64,64,9,130,64,9,0,73,0,2025-09-01,06:15
2025-09-01 06:30:00+00:00,69,72,13,133,72,13,0,85,-3,2025-09-01,06:30
2025-09-01 06:45:00+00:00,53,57,12,136,57,12,0,69,-4,2025-09-01,06:45
2025-09-01 07:00:00+00:00,58,67,11,140,67,11,0,78,-9,2025-09-01,07:00
2025-09-01 07:15:00+00:00,56,57,11,136,57,11,0,68,-1,2025-09-01,07:15
2025-09-01 07:30:00+00:00,70,68,8,128,68,8,2,78,2,2025-09-01,07:30
2025-09-01 07:45:00+00:00,47,57,14,133,57,14,0,71,-10,2025-09-01,07:45
2025-09-01 08:00:00+00:00,53,61,12,144,61,12,0,73,-8,2025-09-01,08:00
2025-09-01 08:15:00+00:00,71,63,10,133,63,10,8,81,8,2025-09-01,08:15
2025-09-01 08:30:00+00:00,45,41,7,125,41,7,4,52,4,2025-09-01,08:30
2025-09-01 08:45:00+00:00,42,65,13,144,65,13,0,78,-23,2025-09-01,08:45
2025-09-01 09:00:00+00:00,48,52,12,126,52,12,0,64,-4,2025-09-01,09:00
2025-09-01 09:15:00+00:00,52,70,15,142,70,15,0,85,-18,2025-09-01,09:15
2025-09-01 09:30:00+00:00,42,50,7,119,50,7,0,57,-8,2025-09-01,09:30
2025-09-01 09:45:00+00:00,44,51,5,122,51,5,0,56,-7,2025-09-01,09:45
2025-09-01 10:00:00+00:00,46,43,9,104,43,9,3,55,3,2025-09-01,10:00
2025-09-01 10:15:00+00:00,57,53,9,115,53,9,4,66,4,2025-09-01,10:15
2025-09-01 10:30:00+00:00,54,55,6,127,55,6,0,61,-1,2025-09-01,10:30
2025-09-01 10:45:00+00:00,52,67,10,119,67,10,0,77,-15,2025-09-01,10:45
2025-09-01 11:00:00+00:00,55,57,5,127,57,5,0,62,-2,2025-09-01,11:00
2025-09-01 11:15:00+00:00,37,49,10,110,49,10,0,59,-12,2025-09-01,11:15
2025-09-01 11:30:00+00:00,47,69,10,135,69,10,0,79,-22,2025-09-01,11:30
2025-09-01 11:45:00+00:00,63,83,10,146,83,10,0,93,-20,2025-09-01,11:45
2025-09-01 12:00:00+00:00,51,9,15,123,9,15,42,66,42,2025-09-01,12:00
2025-09-01 12:15:00+00:00,56,80,10,151,80,10,0,90,-24,2025-09-01,12:15
2025-09-01 12:30:00+00:00,57,77,8,143,77,8,0,85,-20,2025-09-01,12:30
2025-09-01 12:45:00+00:00,47,63,9,130,63,9,0,72,-16,2025-09-01,12:45
2025-09-01 13:00:00+00:00,67,63,12,132,63,12,4,79,4,2025-09-01,13:00
2025-09-01 13:15:00+00:00,68,60,10,132,60,10,8,78,8,2025-09-01,13:15
2025-09-01 13:30:00+00:00,37,59,6,128,59,6,0,65,-22,2025-09-01,13:30
2025-09-01 13:45:00+00:00,26,27,7,126,27,7,0,34,-1,2025-09-01,13:45
2025-09-01 14:00:00+00:00,26,51,7,137,51,7,0,58,-25,2025-09-01,14:00
2025-09-01 14:15:00+00:00,36,46,9,120,46,9,0,55,-10,2025-09-01,14:15
2025-09-01 14:30:00+00:00,46,49,8,153,49,8,0,57,-3,2025-09-01,14:30
2025-09-01 14:45:00+00:00,44,67,6,126,67,6,0,73,-23,2025-09-01,14:45
2025-09-01 15:00:00+00:00,45,80,13,148,80,13,0,93,-35,2025-09-01,15:00
2025-09-01 15:15:00+00:00,40,68,8,130,68,8,0,76,-28,2025-09-01,15:15
2025-09-01 15:30:00+00:00,52,76,11,156,76,11,0,87,-24,2025-09-01,15:30
2025-09-01 15:45:00+00:00,50,54,7,121,54,7,0,61,-4,2025-09-01,15:45
2025-09-01 16:00:00+00:00,46,59,8,114,59,8,0,67,-13,2025-09-01,16:00
2025-09-01 16:15:00+00:00,54,60,6,128,60,6,0,66,-6,2025-09-01,16:15
2025-09-01 16:30:00+00:00,41,52,6,97,52,6,0,58,-11,2025-09-01,16:30
2025-09-01 16:45:00+00:00,46,60,11,100,60,11,0,71,-14,2025-09-01,16:45
2025-09-01 17:00:00+00:00,26,32,7,91,32,7,0,39,-6,2025-09-01,17:00
2025-09-01 17:15:00+00:00,36,46,8,83,46,8,0,54,-10,2025-09-01,17:15
2025-09-01 17:30:00+00:00,25,22,1,56,22,1,3,26,3,2025-09-01,17:30
2025-09-01 17:45:00+00:00,36,43,9,89,43,9,0,52,-7,2025-09-01,17:45
2025-09-01 18:00:00+00:00,36,36,7,76,36,7,0,43,0,2025-09-01,18:00
2025-09-01 18:15:00+00:00,25,23,8,65,23,8,2,33,2,2025-09-01,18:15
2025-09-01 18:30:00+00:00,32,29,4,65,29,4,3,36,3,2025-09-01,18:30
2025-09-01 18:45:00+00:00,26,27,1,54,27,1,0,28,-1,2025-09-01,18:45
2025-09-01 19:00:00+00:00,24,20,4,44,20,4,4,28,4,2025-09-01,19:00
2025-09-01 19:15:00+00:00,26,27,3,47,27,3,0,30,-1,2025-09-01,19:15
2025-09-01 19:30:00+00:00,33,22,2,60,22,2,11,35,11,2025-09-01,19:30
2025-09-01 19:45:00+00:00,9,9,6,27,9,6,0,15,0,2025-09-01,19:45
2025-09-01 20:00:00+00:00,12,10,1,30,10,1,2,13,2,2025-09-01,20:00
2025-09-01 20:15:00+00:00,6,6,2,15,6,2,0,8,0,2025-09-01,20:15
2025-09-01 20:30:00+00:00,16,16,0,25,16,0,0,16,0,2025-09-01,20:30
2025-09-01 20:45:00+00:00,7,7,4,13,7,4,0,11,0,2025-09-01,20:45
2025-09-01 21:00:00+00:00,6,6,2,15,6,2,0,8,0,2025-09-01,21:00
2025-09-01 21:15:00+00:00,8,5,0,14,5,0,3,8,3,2025-09-01,21:15
2025-09-01 21:30:00+00:00,6,5,2,12,5,2,1,8,1,2025-09-01,21:30
2025-09-01 21:45:00+00:00,9,9,0,15,9,0,0,9,0,2025-09-01,21:45
2025-09-01 22:00:00+00:00,3,3,0,11,3,0,0,3,0,2025-09-01,22:00
2025-09-01 22:15:00+00:00,8,7,2,7,7,2,1,10,1,2025-09-01,22:15
2025-09-01 22:30:00+00:00,6,3,1,6,3,1,3,7,3,2025-09-01,22:30
2025-09-01 22:45:00+00:00,1,0,3,3,0,3,1,4,1,2025-09-01,22:45
2025-09-01 23:00:00+00:00,1,1,1,7,1,1,0,2,0,2025-09-01,23:00
2025-09-01 23:15:00+00:00,1,1,0,2,1,0,0,1,0,2025-09-01,23:15
