type,begin,end,location,from_edge,to_edge,relation_tuple,measured_count,simulated_count,deficit,underflow,GEH
edge,0.0,3600.0,-1182936853,-1182936853,,"('-1182936853',)",161.0,161.0,0.0,False,0.0
edge,0.0,3600.0,-1183449794,-1183449794,,"('-1183449794',)",52.0,52.0,0.0,False,0.0
edge,0.0,3600.0,-13831317#2,-13831317#2,,"('-13831317#2',)",179.0,102.0,77.0,True,6.496097925387806
edge,0.0,3600.0,-14811373#0,-14811373#0,,"('-14811373#0',)",8.0,8.0,0.0,False,0.0
edge,0.0,3600.0,-14811383#2,-14811383#2,,"('-14811383#2',)",177.0,96.0,81.0,True,6.932959978676789
edge,0.0,3600.0,-202157700#5,-202157700#5,,"('-202157700#5',)",463.0,442.0,21.0,True,0.9872110389167638
edge,0.0,3600.0,-202157703,-202157703,,"('-202157703',)",383.0,383.0,0.0,False,0.0
edge,0.0,3600.0,-202234344,-202234344,,"('-202234344',)",732.0,732.0,0.0,False,0.0
edge,0.0,3600.0,-237921040,-237921040,,"('-237921040',)",1098.0,872.0,226.0,True,7.200958763011977
edge,0.0,3600.0,-25563346#2,-25563346#2,,"('-25563346#2',)",35.0,35.0,0.0,False,0.0
edge,0.0,3600.0,-26202222#0.41,-26202222#0.41,,"('-26202222#0.41',)",336.0,336.0,0.0,False,0.0
edge,0.0,3600.0,-30329931#2,-30329931#2,,"('-30329931#2',)",579.0,579.0,0.0,False,0.0
edge,0.0,3600.0,202157700#3,202157700#3,,"('202157700#3',)",410.0,410.0,0.0,False,0.0
edge,0.0,3600.0,202234068#0,202234068#0,,"('202234068#0',)",520.0,520.0,0.0,False,0.0
edge,0.0,3600.0,237921036.41,237921036.41,,"('237921036.41',)",474.0,474.0,0.0,False,0.0
edge,0.0,3600.0,26202222#0,26202222#0,,"('26202222#0',)",260.0,223.0,37.0,True,2.3809109727248114
edge,0.0,3600.0,75642281,75642281,,"('75642281',)",363.0,363.0,0.0,False,0.0
turn,0.0,3600.0,-1182936853 -> 12528053#0,-1182936853,12528053#0,"('-1182936853', '12528053#0')",119.0,119.0,0.0,False,0.0
turn,0.0,3600.0,-1182936853 -> 26202222#0,-1182936853,26202222#0,"('-1182936853', '26202222#0')",42.0,42.0,0.0,False,0.0
turn,0.0,3600.0,-13831317#2.34 -> -84620353#2,-13831317#2.34,-84620353#2,"('-13831317#2.34', '-84620353#2')",41.0,41.0,0.0,False,0.0
turn,0.0,3600.0,-13831317#2.34 -> 14811377,-13831317#2.34,14811377,"('-13831317#2.34', '14811377')",10.0,10.0,0.0,False,0.0
turn,0.0,3600.0,-13831317#2.34 -> 17707991#0,-13831317#2.34,17707991#0,"('-13831317#2.34', '17707991#0')",23.0,23.0,0.0,False,0.0
turn,0.0,3600.0,-13831317#2.34 -> 25563346#0,-13831317#2.34,25563346#0,"('-13831317#2.34', '25563346#0')",28.0,28.0,0.0,False,0.0
turn,0.0,3600.0,-14811383#2 -> -202234068#2,-14811383#2,-202234068#2,"('-14811383#2', '-202234068#2')",20.0,20.0,0.0,False,0.0
turn,0.0,3600.0,-14811383#2 -> 14811373#0,-14811383#2,14811373#0,"('-14811383#2', '14811373#0')",21.0,21.0,0.0,False,0.0
turn,0.0,3600.0,-14811383#2 -> 30329931#0,-14811383#2,30329931#0,"('-14811383#2', '30329931#0')",27.0,27.0,0.0,False,0.0
turn,0.0,3600.0,-14811383#2 -> 308681382#0,-14811383#2,308681382#0,"('-14811383#2', '308681382#0')",28.0,28.0,0.0,False,0.0
turn,0.0,3600.0,-202157703 -> -202157700#5,-202157703,-202157700#5,"('-202157703', '-202157700#5')",152.0,152.0,0.0,False,0.0
