rule_name,edge,intersection,detector_id,detector_total_count,detector_mean_occupancy
LSA16_to_LSA10,-202157700#5,LD-LSA16,13,575.0,24.6
LSA16_W_exit,26202222#0,LD-LSA16,15,718.0,30.8
LSA16_S_approach,-202157703,LD-LSA16,1,196.0,26.8
LSA16_S_approach,-202157703,LD-LSA16,2,102.0,16.4
LSA16_S_approach,-202157703,LD-LSA16,33,124.0,24.8
LSA16_N_approach,-1182936853,LD-LSA16,6,104.0,11.6
LSA16_N_approach,-1182936853,LD-LSA16,7,194.0,43.2
LSA16_W_stopline,-26202222#0.41,LD-LSA16,3,318.0,59.8
LSA16_W_stopline,-26202222#0.41,LD-LSA16,4,57.0,36.2
LSA16_E_approach,202157700#3,LD-LSA16,10,471.0,42.4
LSA16_E_approach,202157700#3,LD-LSA16,11,315.0,24.2
LSA10_S_approach,-1183449794,LD-LSA10,31,98.0,51.2
LSA10_E_approach,75642281,LD-LSA10,3,346.0,56.6
LSA10_E_approach,75642281,LD-LSA10,4,298.0,29.2
LSA10_NW_approach,-13831317#2.34,LD-LSA10,26,41.0,28.8
LSA10_NW_approach,-13831317#2.34,LD-LSA10,27,96.0,70.8
LSA10_NE_approach,-25563346#2,LD-LSA10,29,41.0,9.6
LSA1_W_approach,-202234344,LD-LSA1,7,281.0,56.4
LSA1_W_approach,-202234344,LD-LSA1,9,770.0,65.8
LSA1_E_approach,-237921040,LD-LSA1,24,649.0,40.8
LSA1_E_approach,-237921040,LD-LSA1,26,247.0,13.6
LSA1_E_approach,-237921040,LD-LSA1,14,851.0,49.2
LSA1_N_approach,237921036.41,LD-LSA1,40,233.0,29.2
LSA1_N_approach,237921036.41,LD-LSA1,28,81.0,21.8
LSA1_N_approach,237921036.41,LD-LSA1,30,414.0,74.8
LSA9_W_approach,-30329931#2,LD-LSA9,1,288.0,73.2
LSA9_W_approach,-30329931#2,LD-LSA9,2,341.0,71.6
LSA9_E_approach,202234068#0,LD-LSA9,8,403.0,74.0
LSA9_E_approach,202234068#0,LD-LSA9,9,330.0,35.2
LSA9_NE_approach,-14811383#2,LD-LSA9,6,195.0,57.8
LSA9_NE_approach,-14811383#2,LD-LSA9,7,175.0,26.8
LSA9_S_approach,-14811373#0,LD-LSA9,10,63.0,13.8
