rule_name,edge,intersection,detector_id,detector_total_count,detector_mean_occupancy
LSA16_to_LSA10,-202157700#5,LD-LSA16,13,593.0,32.4
LSA16_W_exit,26202222#0,LD-LSA16,15,323.0,14.4
LSA16_S_approach,-202157703,LD-LSA16,1,191.0,31.6
LSA16_S_approach,-202157703,LD-LSA16,2,125.0,17.8
LSA16_S_approach,-202157703,LD-LSA16,33,160.0,32.8
LSA16_N_approach,-1182936853,LD-LSA16,6,52.0,5.8
LSA16_N_approach,-1182936853,LD-LSA16,7,151.0,29.4
LSA16_W_stopline,-26202222#0.41,LD-LSA16,3,373.0,62.6
LSA16_W_stopline,-26202222#0.41,LD-LSA16,4,57.0,30.2
LSA16_E_approach,202157700#3,LD-LSA16,10,244.0,20.6
LSA16_E_approach,202157700#3,LD-LSA16,11,244.0,12.0
LSA10_S_approach,-1183449794,LD-LSA10,31,67.0,44.4
LSA10_E_approach,75642281,LD-LSA10,3,287.0,28.2
LSA10_E_approach,75642281,LD-LSA10,4,152.0,10.8
LSA10_NW_approach,-13831317#2.34,LD-LSA10,26,40.0,24.0
LSA10_NW_approach,-13831317#2.34,LD-LSA10,27,81.0,62.6
LSA10_NE_approach,-25563346#2,LD-LSA10,29,42.0,9.4
LSA1_W_approach,-202234344,LD-LSA1,7,225.0,60.8
LSA1_W_approach,-202234344,LD-LSA1,9,724.0,66.8
LSA1_E_approach,-237921040,LD-LSA1,24,507.0,19.6
LSA1_E_approach,-237921040,LD-LSA1,26,199.0,9.0
LSA1_E_approach,-237921040,LD-LSA1,14,667.0,36.8
LSA1_N_approach,237921036.41,LD-LSA1,40,142.0,19.0
LSA1_N_approach,237921036.41,LD-LSA1,28,96.0,21.2
LSA1_N_approach,237921036.41,LD-LSA1,30,349.0,57.2
LSA9_W_approach,-30329931#2,LD-LSA9,1,290.0,63.0
LSA9_W_approach,-30329931#2,LD-LSA9,2,446.0,57.6
LSA9_E_approach,202234068#0,LD-LSA9,8,421.0,49.0
LSA9_E_approach,202234068#0,LD-LSA9,9,229.0,16.6
LSA9_NE_approach,-14811383#2,LD-LSA9,6,89.0,26.2
LSA9_NE_approach,-14811383#2,LD-LSA9,7,134.0,16.0
LSA9_S_approach,-14811373#0,LD-LSA9,10,11.0,1.8
