rule_name,edge,intersection,detector_id,detector_total_count,detector_mean_occupancy
LSA16_to_LSA10,-202157700#5,LD-LSA16,13,503.0,17.4
LSA16_W_exit,26202222#0,LD-LSA16,15,375.0,12.6
LSA16_S_approach,-202157703,LD-LSA16,1,176.0,17.4
LSA16_S_approach,-202157703,LD-LSA16,2,122.0,13.0
LSA16_S_approach,-202157703,LD-LSA16,33,111.0,13.4
LSA16_N_approach,-1182936853,LD-LSA16,6,62.0,3.8
LSA16_N_approach,-1182936853,LD-LSA16,7,174.0,28.2
LSA16_W_stopline,-26202222#0.41,LD-LSA16,3,283.0,52.4
LSA16_W_stopline,-26202222#0.41,LD-LSA16,4,37.0,18.4
LSA16_E_approach,202157700#3,LD-LSA16,10,286.0,20.6
LSA16_E_approach,202157700#3,LD-LSA16,11,166.0,10.4
LSA10_S_approach,-1183449794,LD-LSA10,31,70.0,25.6
LSA10_E_approach,75642281,LD-LSA10,3,326.0,22.0
LSA10_E_approach,75642281,LD-LSA10,4,161.0,7.0
LSA10_NW_approach,-13831317#2.34,LD-LSA10,26,37.0,24.4
LSA10_NW_approach,-13831317#2.34,LD-LSA10,27,68.0,56.2
LSA10_NE_approach,-25563346#2,LD-LSA10,29,28.0,3.6
LSA1_W_approach,-202234344,LD-LSA1,7,203.0,56.4
LSA1_W_approach,-202234344,LD-LSA1,9,497.0,38.4
LSA1_E_approach,-237921040,LD-LSA1,24,429.0,15.2
LSA1_E_approach,-237921040,LD-LSA1,26,130.0,2.6
LSA1_E_approach,-237921040,LD-LSA1,14,500.0,13.8
LSA1_N_approach,237921036.41,LD-LSA1,40,167.0,19.4
LSA1_N_approach,237921036.41,LD-LSA1,28,50.0,14.8
LSA1_N_approach,237921036.41,LD-LSA1,30,228.0,51.0
LSA9_W_approach,-30329931#2,LD-LSA9,1,309.0,50.4
LSA9_W_approach,-30329931#2,LD-LSA9,2,440.0,44.4
LSA9_E_approach,202234068#0,LD-LSA9,8,427.0,32.8
LSA9_E_approach,202234068#0,LD-LSA9,9,213.0,12.8
LSA9_NE_approach,-14811383#2,LD-LSA9,6,93.0,15.4
LSA9_NE_approach,-14811383#2,LD-LSA9,7,75.0,8.6
LSA9_S_approach,-14811373#0,LD-LSA9,10,35.0,2.6
