rule_name,edge,intersection,detector_id,detector_total_count,detector_mean_occupancy
LSA16_to_LSA10,-202157700#5,LD-LSA16,13,433.0,15.0
LSA16_W_exit,26202222#0,LD-LSA16,15,234.0,7.8
LSA16_S_approach,-202157703,LD-LSA16,1,160.0,15.2
LSA16_S_approach,-202157703,LD-LSA16,2,88.0,8.0
LSA16_S_approach,-202157703,LD-LSA16,33,135.0,13.2
LSA16_N_approach,-1182936853,LD-LSA16,6,33.0,1.4
LSA16_N_approach,-1182936853,LD-LSA16,7,131.0,12.4
LSA16_W_stopline,-26202222#0.41,LD-LSA16,3,205.0,46.8
LSA16_W_stopline,-26202222#0.41,LD-LSA16,4,48.0,19.2
LSA16_E_approach,202157700#3,LD-LSA16,10,197.0,16.6
LSA16_E_approach,202157700#3,LD-LSA16,11,118.0,8.6
LSA10_S_approach,-1183449794,LD-LSA10,31,70.0,23.0
LSA10_E_approach,75642281,LD-LSA10,3,261.0,17.8
LSA10_E_approach,75642281,LD-LSA10,4,127.0,5.4
LSA10_NW_approach,-13831317#2.34,LD-LSA10,26,25.0,26.8
LSA10_NW_approach,-13831317#2.34,LD-LSA10,27,67.0,47.6
LSA10_NE_approach,-25563346#2,LD-LSA10,29,36.0,3.2
LSA1_W_approach,-202234344,LD-LSA1,7,186.0,61.2
LSA1_W_approach,-202234344,LD-LSA1,9,454.0,50.6
LSA1_E_approach,-237921040,LD-LSA1,24,336.0,8.4
LSA1_E_approach,-237921040,LD-LSA1,26,89.0,1.2
LSA1_E_approach,-237921040,LD-LSA1,14,488.0,16.4
LSA1_N_approach,237921036.41,LD-LSA1,40,178.0,9.2
LSA1_N_approach,237921036.41,LD-LSA1,28,36.0,7.4
LSA1_N_approach,237921036.41,LD-LSA1,30,229.0,36.0
LSA9_W_approach,-30329931#2,LD-LSA9,1,225.0,42.0
LSA9_W_approach,-30329931#2,LD-LSA9,2,356.0,34.6
LSA9_E_approach,202234068#0,LD-LSA9,8,332.0,24.2
LSA9_E_approach,202234068#0,LD-LSA9,9,153.0,8.2
LSA9_NE_approach,-14811383#2,LD-LSA9,6,123.0,20.0
LSA9_NE_approach,-14811383#2,LD-LSA9,7,154.0,15.8
LSA9_S_approach,-14811373#0,LD-LSA9,10,4.0,3.8
