intersection,detector_id,from_edge,to_edge,via,count,occupancy_mean
LD-LSA16,4,-26202222#0.41,893429999#1,,57,36.2
LD-LSA16,3,-26202222#0.41,-202157700#5,,318,59.8
LD-LSA16,1,-202157703,-202157700#5,,196,26.8
LD-LSA16,2,-202157703,893429999#1,,82,13.12
LD-LSA16,2,-202157703,-202157700#5,,20,3.28
LD-LSA16,33,-202157703,893429999#1,,124,24.8
LD-LSA16,6,-1182936853,26202222#0,,104,11.6
LD-LSA16,7,-1182936853,12528053#0,,136,30.24
LD-LSA16,7,-1182936853,26202222#0,,58,12.96
LD-LSA16,11,202157700#3,12528053#0,,315,24.2
LD-LSA16,10,202157700#3,893429999#1,,94,8.48
LD-LSA16,10,202157700#3,26202222#0,,377,33.92
LD-LSA10,27,-13831317#2.34,25563346#0,,38,28.32
LD-LSA10,27,-13831317#2.34,-84620353#2,,58,42.48
LD-LSA10,26,-13831317#2.34,17707991#0,,29,20.16
LD-LSA10,26,-13831317#2.34,14811377,,12,8.64
LD-LSA10,29,-25563346#2,13831317#0,,41,9.6
LD-LSA1,9,-202234344,59617619,,616,52.64
LD-LSA1,9,-202234344,-281402235#1,,154,13.16
LD-LSA1,27,-59617619,-237921036,,472,34.2
LD-LSA1,13,-59617619,12695647,,339,46.2
LD-LSA1,23,-59617619,12695647,,496,55.6
LD-LSA1,26,-237921040,-281402232,-59617619 -281402235#1,247,13.6
LD-LSA1,40,237921036.41,12695647,,233,29.2
LD-LSA1,28,237921036.41,-281402235#1,,81,21.8
LD-LSA1,30,237921036.41,59617619,,414,74.8
LD-LSA9,2,-30329931#2,202234067,-30329931#1 14811383#1,171,35.8
LD-LSA9,2,-30329931#2,-202234068#2,-30329931#1,170,35.8
LD-LSA9,1,-30329931#2,14811373#0,-30329931#1,144,36.6
LD-LSA9,1,-30329931#2,-202234068#2,-30329931#1,144,36.6
LD-LSA9,9,202234068#0,30329931#0,,330,35.2
LD-LSA9,8,202234068#0,308681382#0,,133,24.42
LD-LSA9,8,202234068#0,202234067,14811383#1,137,25.16
LD-LSA9,8,202234068#0,30329931#0,,133,24.42
LD-LSA9,4,-14811383#2,308681382#0,,60,34.8
LD-LSA9,4,-14811383#2,30329931#0,,60,34.8
LD-LSA9,5,-14811383#2,14811373#0,,34,25.1
LD-LSA9,5,-14811383#2,-202234068#2,,33,25.1
