intersection,detector_id,from_edge,to_edge,via,count,occupancy_mean
LD-LSA16,4,-26202222#0.41,893429999#1,,57,30.2
LD-LSA16,3,-26202222#0.41,-202157700#5,,373,62.6
LD-LSA16,1,-202157703,-202157700#5,,191,31.6
LD-LSA16,2,-202157703,893429999#1,,100,14.240000000000002
LD-LSA16,2,-202157703,-202157700#5,,25,3.5600000000000005
LD-LSA16,33,-202157703,893429999#1,,160,32.8
LD-LSA16,6,-1182936853,26202222#0,,52,5.8
LD-LSA16,7,-1182936853,12528053#0,,106,20.58
LD-LSA16,7,-1182936853,26202222#0,,45,8.819999999999999
LD-LSA16,11,202157700#3,12528053#0,,244,12.0
LD-LSA16,10,202157700#3,893429999#1,,49,4.12
LD-LSA16,10,202157700#3,26202222#0,,195,16.48
LD-LSA10,27,-13831317#2.34,25563346#0,,32,25.040000000000003
LD-LSA10,27,-13831317#2.34,-84620353#2,,49,37.56
LD-LSA10,26,-13831317#2.34,17707991#0,,28,16.799999999999997
LD-LSA10,26,-13831317#2.34,14811377,,12,7.199999999999999
LD-LSA10,29,-25563346#2,13831317#0,,42,9.4
LD-LSA1,9,-202234344,59617619,,579,53.44
LD-LSA1,9,-202234344,-281402235#1,,145,13.36
LD-LSA1,27,-59617619,-237921036,,350,28.6
LD-LSA1,13,-59617619,12695647,,245,44.4
LD-LSA1,23,-59617619,12695647,,296,46.0
LD-LSA1,26,-237921040,-281402232,-59617619 -281402235#1,199,9.0
LD-LSA1,40,237921036.41,12695647,,142,19.0
LD-LSA1,28,237921036.41,-281402235#1,,96,21.2
LD-LSA1,30,237921036.41,59617619,,349,57.2
LD-LSA9,2,-30329931#2,202234067,-30329931#1 14811383#1,223,28.8
LD-LSA9,2,-30329931#2,-202234068#2,-30329931#1,223,28.8
LD-LSA9,1,-30329931#2,14811373#0,-30329931#1,145,31.5
LD-LSA9,1,-30329931#2,-202234068#2,-30329931#1,145,31.5
LD-LSA9,9,202234068#0,30329931#0,,229,16.6
LD-LSA9,8,202234068#0,308681382#0,,139,16.17
LD-LSA9,8,202234068#0,202234067,14811383#1,143,16.66
LD-LSA9,8,202234068#0,30329931#0,,139,16.17
LD-LSA9,4,-14811383#2,308681382#0,,32,22.6
LD-LSA9,4,-14811383#2,30329931#0,,31,22.6
LD-LSA9,5,-14811383#2,14811373#0,,25,22.3
LD-LSA9,5,-14811383#2,-202234068#2,,24,22.3
