intersection,detector_id,from_edge,to_edge,via,count,occupancy_mean
LD-LSA16,4,-26202222#0.41,893429999#1,,37,18.4
LD-LSA16,3,-26202222#0.41,-202157700#5,,283,52.4
LD-LSA16,1,-202157703,-202157700#5,,176,17.4
LD-LSA16,2,-202157703,893429999#1,,98,10.4
LD-LSA16,2,-202157703,-202157700#5,,24,2.6
LD-LSA16,33,-202157703,893429999#1,,111,13.4
LD-LSA16,6,-1182936853,26202222#0,,62,3.8
LD-LSA16,7,-1182936853,12528053#0,,122,19.74
LD-LSA16,7,-1182936853,26202222#0,,52,8.459999999999999
LD-LSA16,11,202157700#3,12528053#0,,166,10.4
LD-LSA16,10,202157700#3,893429999#1,,57,4.12
LD-LSA16,10,202157700#3,26202222#0,,229,16.48
LD-LSA10,27,-13831317#2.34,25563346#0,,27,22.480000000000004
LD-LSA10,27,-13831317#2.34,-84620353#2,,41,33.72
LD-LSA10,26,-13831317#2.34,17707991#0,,26,17.08
LD-LSA10,26,-13831317#2.34,14811377,,11,7.319999999999999
LD-LSA10,29,-25563346#2,13831317#0,,28,3.6
LD-LSA1,9,-202234344,59617619,,398,30.72
LD-LSA1,9,-202234344,-281402235#1,,99,7.68
LD-LSA1,27,-59617619,-237921036,,196,14.6
LD-LSA1,13,-59617619,12695647,,207,38.2
LD-LSA1,23,-59617619,12695647,,277,39.0
LD-LSA1,26,-237921040,-281402232,-59617619 -281402235#1,130,2.6
LD-LSA1,40,237921036.41,12695647,,167,19.4
LD-LSA1,28,237921036.41,-281402235#1,,50,14.8
LD-LSA1,30,237921036.41,59617619,,228,51.0
LD-LSA9,2,-30329931#2,202234067,-30329931#1 14811383#1,220,22.2
LD-LSA9,2,-30329931#2,-202234068#2,-30329931#1,220,22.2
LD-LSA9,1,-30329931#2,14811373#0,-30329931#1,155,25.2
LD-LSA9,1,-30329931#2,-202234068#2,-30329931#1,154,25.2
LD-LSA9,9,202234068#0,30329931#0,,213,12.8
LD-LSA9,8,202234068#0,308681382#0,,141,10.824
LD-LSA9,8,202234068#0,202234067,14811383#1,145,11.152
LD-LSA9,8,202234068#0,30329931#0,,141,10.824
LD-LSA9,4,-14811383#2,308681382#0,,32,20.7
LD-LSA9,4,-14811383#2,30329931#0,,32,20.7
LD-LSA9,5,-14811383#2,14811373#0,,23,15.9
LD-LSA9,5,-14811383#2,-202234068#2,,22,15.9
