intersection,detector_id,from_edge,to_edge,via,count,occupancy_mean
LD-LSA16,4,-26202222#0.41,893429999#1,,48,19.2
LD-LSA16,3,-26202222#0.41,-202157700#5,,205,46.8
LD-LSA16,1,-202157703,-202157700#5,,160,15.2
LD-LSA16,2,-202157703,893429999#1,,70,6.4
LD-LSA16,2,-202157703,-202157700#5,,18,1.6
LD-LSA16,33,-202157703,893429999#1,,135,13.2
LD-LSA16,6,-1182936853,26202222#0,,33,1.4
LD-LSA16,7,-1182936853,12528053#0,,92,8.68
LD-LSA16,7,-1182936853,26202222#0,,39,3.7199999999999998
LD-LSA16,11,202157700#3,12528053#0,,118,8.6
LD-LSA16,10,202157700#3,893429999#1,,39,3.3200000000000003
LD-LSA16,10,202157700#3,26202222#0,,158,13.280000000000001
LD-LSA10,27,-13831317#2.34,25563346#0,,27,19.040000000000003
LD-LSA10,27,-13831317#2.34,-84620353#2,,40,28.56
LD-LSA10,26,-13831317#2.34,17707991#0,,18,18.759999999999998
LD-LSA10,26,-13831317#2.34,14811377,,7,8.04
LD-LSA10,29,-25563346#2,13831317#0,,36,3.2
LD-LSA1,9,-202234344,59617619,,363,40.480000000000004
LD-LSA1,9,-202234344,-281402235#1,,91,10.120000000000001
LD-LSA1,27,-59617619,-237921036,,271,17.4
LD-LSA1,13,-59617619,12695647,,146,36.0
LD-LSA1,23,-59617619,12695647,,192,35.4
LD-LSA1,26,-237921040,-281402232,-59617619 -281402235#1,89,1.2
LD-LSA1,40,237921036.41,12695647,,178,9.2
LD-LSA1,28,237921036.41,-281402235#1,,36,7.4
LD-LSA1,30,237921036.41,59617619,,229,36.0
LD-LSA9,2,-30329931#2,202234067,-30329931#1 14811383#1,178,17.3
LD-LSA9,2,-30329931#2,-202234068#2,-30329931#1,178,17.3
LD-LSA9,1,-30329931#2,14811373#0,-30329931#1,113,21.0
LD-LSA9,1,-30329931#2,-202234068#2,-30329931#1,112,21.0
LD-LSA9,9,202234068#0,30329931#0,,153,8.2
LD-LSA9,8,202234068#0,308681382#0,,110,7.986
LD-LSA9,8,202234068#0,202234067,14811383#1,113,8.228
LD-LSA9,8,202234068#0,30329931#0,,109,7.986
LD-LSA9,4,-14811383#2,308681382#0,,31,16.9
LD-LSA9,4,-14811383#2,30329931#0,,31,16.9
LD-LSA9,5,-14811383#2,14811373#0,,27,15.7
LD-LSA9,5,-14811383#2,-202234068#2,,26,15.7
