from_edge,to_edge,via,count,occupancy_mean
-1182936853,12528053#0,,136,30.24
-1182936853,26202222#0,,162,12.280000000000001
-13831317#2.34,-84620353#2,,58,42.48
-13831317#2.34,14811377,,12,8.64
-13831317#2.34,17707991#0,,29,20.16
-13831317#2.34,25563346#0,,38,28.32
-14811383#2,-202234068#2,,33,25.1
-14811383#2,14811373#0,,34,25.1
-14811383#2,30329931#0,,60,34.8
-14811383#2,308681382#0,,60,34.8
-202157703,-202157700#5,,216,15.040000000000001
-202157703,893429999#1,,206,18.96
-202234344,-281402235#1,,154,13.16
-202234344,59617619,,616,52.64
-237921040,-281402232,-59617619 -281402235#1,247,13.6
-25563346#2,13831317#0,,41,9.6
-26202222#0.41,-202157700#5,,318,59.8
-26202222#0.41,893429999#1,,57,36.2
-30329931#2,-202234068#2,-30329931#1,314,36.2
-30329931#2,14811373#0,-30329931#1,144,36.6
-30329931#2,202234067,-30329931#1 14811383#1,171,35.8
-59617619,-237921036,,472,34.2
-59617619,12695647,,835,50.900000000000006
202157700#3,12528053#0,,315,24.2
202157700#3,26202222#0,,377,33.92
202157700#3,893429999#1,,94,8.48
202234068#0,202234067,14811383#1,137,25.16
202234068#0,30329931#0,,463,29.810000000000002
202234068#0,308681382#0,,133,24.42
237921036.41,-281402235#1,,81,21.8
237921036.41,12695647,,233,29.2
237921036.41,59617619,,414,74.8
