from_edge,to_edge,via,count,occupancy_mean
-1182936853,12528053#0,,106,20.58
-1182936853,26202222#0,,97,7.309999999999999
-13831317#2.34,-84620353#2,,49,37.56
-13831317#2.34,14811377,,12,7.199999999999999
-13831317#2.34,17707991#0,,28,16.799999999999997
-13831317#2.34,25563346#0,,32,25.040000000000003
-14811383#2,-202234068#2,,24,22.3
-14811383#2,14811373#0,,25,22.3
-14811383#2,30329931#0,,31,22.6
-14811383#2,308681382#0,,32,22.6
-202157703,-202157700#5,,216,17.580000000000002
-202157703,893429999#1,,260,23.52
-202234344,-281402235#1,,145,13.36
-202234344,59617619,,579,53.44
-237921040,-281402232,-59617619 -281402235#1,199,9.0
-25563346#2,13831317#0,,42,9.4
-26202222#0.41,-202157700#5,,373,62.6
-26202222#0.41,893429999#1,,57,30.2
-30329931#2,-202234068#2,-30329931#1,368,30.15
-30329931#2,14811373#0,-30329931#1,145,31.5
-30329931#2,202234067,-30329931#1 14811383#1,223,28.8
-59617619,-237921036,,350,28.6
-59617619,12695647,,541,45.2
202157700#3,12528053#0,,244,12.0
202157700#3,26202222#0,,195,16.48
202157700#3,893429999#1,,49,4.12
202234068#0,202234067,14811383#1,143,16.66
202234068#0,30329931#0,,368,16.385
202234068#0,308681382#0,,139,16.17
237921036.41,-281402235#1,,96,21.2
237921036.41,12695647,,142,19.0
237921036.41,59617619,,349,57.2
