from_edge,to_edge,via,count,occupancy_mean
-1182936853,12528053#0,,122,19.74
-1182936853,26202222#0,,114,6.129999999999999
-13831317#2.34,-84620353#2,,41,33.72
-13831317#2.34,14811377,,11,7.319999999999999
-13831317#2.34,17707991#0,,26,17.08
-13831317#2.34,25563346#0,,27,22.480000000000004
-14811383#2,-202234068#2,,22,15.9
-14811383#2,14811373#0,,23,15.9
-14811383#2,30329931#0,,32,20.7
-14811383#2,308681382#0,,32,20.7
-202157703,-202157700#5,,200,10.0
-202157703,893429999#1,,209,11.9
-202234344,-281402235#1,,99,7.68
-202234344,59617619,,398,30.72
-237921040,-281402232,-59617619 -281402235#1,130,2.6
-25563346#2,13831317#0,,28,3.6
-26202222#0.41,-202157700#5,,283,52.4
-26202222#0.41,893429999#1,,37,18.4
-30329931#2,-202234068#2,-30329931#1,374,23.7
-30329931#2,14811373#0,-30329931#1,155,25.2
-30329931#2,202234067,-30329931#1 14811383#1,220,22.2
-59617619,-237921036,,196,14.6
-59617619,12695647,,484,38.6
202157700#3,12528053#0,,166,10.4
202157700#3,26202222#0,,229,16.48
202157700#3,893429999#1,,57,4.12
202234068#0,202234067,14811383#1,145,11.152
202234068#0,30329931#0,,354,11.812000000000001
202234068#0,308681382#0,,141,10.824
237921036.41,-281402235#1,,50,14.8
237921036.41,12695647,,167,19.4
237921036.41,59617619,,228,51.0
