from_edge,to_edge,via,count,occupancy_mean
-1182936853,12528053#0,,92,8.68
-1182936853,26202222#0,,72,2.5599999999999996
-13831317#2.34,-84620353#2,,40,28.56
-13831317#2.34,14811377,,7,8.04
-13831317#2.34,17707991#0,,18,18.759999999999998
-13831317#2.34,25563346#0,,27,19.040000000000003
-14811383#2,-202234068#2,,26,15.7
-14811383#2,14811373#0,,27,15.7
-14811383#2,30329931#0,,31,16.9
-14811383#2,308681382#0,,31,16.9
-202157703,-202157700#5,,178,8.4
-202157703,893429999#1,,205,9.8
-202234344,-281402235#1,,91,10.120000000000001
-202234344,59617619,,363,40.480000000000004
-237921040,-281402232,-59617619 -281402235#1,89,1.2
-25563346#2,13831317#0,,36,3.2
-26202222#0.41,-202157700#5,,205,46.8
-26202222#0.41,893429999#1,,48,19.2
-30329931#2,-202234068#2,-30329931#1,290,19.15
-30329931#2,14811373#0,-30329931#1,113,21.0
-30329931#2,202234067,-30329931#1 14811383#1,178,17.3
-59617619,-237921036,,271,17.4
-59617619,12695647,,338,35.7
202157700#3,12528053#0,,118,8.6
202157700#3,26202222#0,,158,13.280000000000001
202157700#3,893429999#1,,39,3.3200000000000003
202234068#0,202234067,14811383#1,113,8.228
202234068#0,30329931#0,,262,8.093
202234068#0,308681382#0,,110,7.986
237921036.41,-281402235#1,,36,7.4
237921036.41,12695647,,178,9.2
237921036.41,59617619,,229,36.0
