intersection,detector_id,total_count,mean_occupancy,n_intervals
LD-LSA1,7,281,56.4,5
LD-LSA1,8,460,36.4,5
LD-LSA1,9,770,65.8,5
LD-LSA1,10,762,64.4,5
LD-LSA1,11,0,0.0,5
LD-LSA1,12,0,0.0,5
LD-LSA1,13,339,46.2,5
LD-LSA1,14,851,49.2,5
LD-LSA1,23,496,55.6,5
LD-LSA1,24,649,40.8,5
LD-LSA1,25,0,100.0,5
LD-LSA1,26,247,13.6,5
LD-LSA1,27,472,34.2,5
LD-LSA1,28,81,21.8,5
LD-LSA1,29,0,100.0,5
LD-LSA1,30,414,74.8,5
LD-LSA1,39,426,50.0,5
LD-LSA1,40,233,29.2,5
LD-LSA10,1,380,51.4,5
LD-LSA10,2,190,46.6,5
LD-LSA10,3,346,56.6,5
LD-LSA10,4,298,29.2,5
LD-LSA10,26,41,28.8,5
LD-LSA10,27,96,70.8,5
LD-LSA10,29,41,9.6,5
LD-LSA10,31,98,51.2,5
LD-LSA16,1,196,26.8,5
LD-LSA16,2,102,16.4,5
LD-LSA16,3,318,59.8,5
LD-LSA16,4,57,36.2,5
LD-LSA16,5,246,52.6,5
LD-LSA16,6,104,11.6,5
LD-LSA16,7,194,43.2,5
LD-LSA16,10,471,42.4,5
LD-LSA16,11,315,24.2,5
LD-LSA16,13,575,24.6,5
LD-LSA16,15,718,30.8,5
LD-LSA16,33,124,24.8,5
LD-LSA9,1,288,73.2,5
LD-LSA9,2,341,71.6,5
LD-LSA9,3,21,8.6,5
LD-LSA9,4,120,69.6,5
LD-LSA9,5,67,50.2,5
LD-LSA9,6,195,57.8,5
LD-LSA9,7,175,26.8,5
LD-LSA9,8,403,74.0,5
LD-LSA9,9,330,35.2,5
LD-LSA9,10,63,13.8,5
LD-LSA9,11,235,32.4,5
