intersection,detector_id,total_count,mean_occupancy,n_intervals
LD-LSA1,7,225,60.8,5
LD-LSA1,8,529,26.6,5
LD-LSA1,9,724,66.8,5
LD-LSA1,10,750,50.2,5
LD-LSA1,11,0,0.0,5
LD-LSA1,12,0,0.0,5
LD-LSA1,13,245,44.4,5
LD-LSA1,14,667,36.8,5
LD-LSA1,23,296,46.0,5
LD-LSA1,24,507,19.6,5
LD-LSA1,25,0,100.0,5
LD-LSA1,26,199,9.0,5
LD-LSA1,27,350,28.6,5
LD-LSA1,28,96,21.2,5
LD-LSA1,29,0,100.0,5
LD-LSA1,30,349,57.2,5
LD-LSA1,39,389,27.4,5
LD-LSA1,40,142,19.0,5
LD-LSA10,1,456,58.6,5
LD-LSA10,2,211,30.2,5
LD-LSA10,3,287,28.2,5
LD-LSA10,4,152,10.8,5
LD-LSA10,26,40,24.0,5
LD-LSA10,27,81,62.6,5
LD-LSA10,29,42,9.4,5
LD-LSA10,31,67,44.4,5
LD-LSA16,1,191,31.6,5
LD-LSA16,2,125,17.8,5
LD-LSA16,3,373,62.6,5
LD-LSA16,4,57,30.2,5
LD-LSA16,5,319,63.4,5
LD-LSA16,6,52,5.8,5
LD-LSA16,7,151,29.4,5
LD-LSA16,10,244,20.6,5
LD-LSA16,11,244,12.0,5
LD-LSA16,13,593,32.4,5
LD-LSA16,15,323,14.4,5
LD-LSA16,33,160,32.8,5
LD-LSA9,1,290,63.0,5
LD-LSA9,2,446,57.6,5
LD-LSA9,3,10,0.6,5
LD-LSA9,4,63,45.2,5
LD-LSA9,5,49,44.6,5
LD-LSA9,6,89,26.2,5
LD-LSA9,7,134,16.0,5
LD-LSA9,8,421,49.0,5
LD-LSA9,9,229,16.6,5
LD-LSA9,10,11,1.8,5
LD-LSA9,11,254,26.0,5
