intersection,detector_id,total_count,mean_occupancy,n_intervals
LD-LSA1,7,203,56.4,5
LD-LSA1,8,464,18.2,5
LD-LSA1,9,497,38.4,5
LD-LSA1,10,581,20.0,5
LD-LSA1,11,0,0.0,5
LD-LSA1,12,0,0.0,5
LD-LSA1,13,207,38.2,5
LD-LSA1,14,500,13.8,5
LD-LSA1,23,277,39.0,5
LD-LSA1,24,429,15.2,5
LD-LSA1,25,0,100.0,5
LD-LSA1,26,130,2.6,5
LD-LSA1,27,196,14.6,5
LD-LSA1,28,50,14.8,5
LD-LSA1,29,0,100.0,5
LD-LSA1,30,228,51.0,5
LD-LSA1,39,257,18.2,5
LD-LSA1,40,167,19.4,5
LD-LSA10,1,370,39.4,5
LD-LSA10,2,148,21.6,5
LD-LSA10,3,326,22.0,5
LD-LSA10,4,161,7.0,5
LD-LSA10,26,37,24.4,5
LD-LSA10,27,68,56.2,5
LD-LSA10,29,28,3.6,5
LD-LSA10,31,70,25.6,5
LD-LSA16,1,176,17.4,5
LD-LSA16,2,122,13.0,5
LD-LSA16,3,283,52.4,5
LD-LSA16,4,37,18.4,5
LD-LSA16,5,249,45.4,5
LD-LSA16,6,62,3.8,5
LD-LSA16,7,174,28.2,5
LD-LSA16,10,286,20.6,5
LD-LSA16,11,166,10.4,5
LD-LSA16,13,503,17.4,5
LD-LSA16,15,375,12.6,5
LD-LSA16,33,111,13.4,5
LD-LSA9,1,309,50.4,5
LD-LSA9,2,440,44.4,5
LD-LSA9,3,14,2.4,5
LD-LSA9,4,64,41.4,5
LD-LSA9,5,45,31.8,5
LD-LSA9,6,93,15.4,5
LD-LSA9,7,75,8.6,5
LD-LSA9,8,427,32.8,5
LD-LSA9,9,213,12.8,5
LD-LSA9,10,35,2.6,5
LD-LSA9,11,202,17.4,5
