intersection,detector_id,total_count,mean_occupancy,n_intervals
LD-LSA1,7,186,61.2,5
LD-LSA1,8,427,16.6,5
LD-LSA1,9,454,50.6,5
LD-LSA1,10,528,21.4,5
LD-LSA1,11,0,0.0,5
LD-LSA1,12,0,0.0,5
LD-LSA1,13,146,36.0,5
LD-LSA1,14,488,16.4,5
LD-LSA1,23,192,35.4,5
LD-LSA1,24,336,8.4,5
LD-LSA1,25,0,100.0,5
LD-LSA1,26,89,1.2,5
LD-LSA1,27,271,17.4,5
LD-LSA1,28,36,7.4,5
LD-LSA1,29,0,100.0,5
LD-LSA1,30,229,36.0,5
LD-LSA1,39,269,12.0,5
LD-LSA1,40,178,9.2,5
LD-LSA10,1,270,35.2,5
LD-LSA10,2,130,16.0,5
LD-LSA10,3,261,17.8,5
LD-LSA10,4,127,5.4,5
LD-LSA10,26,25,26.8,5
LD-LSA10,27,67,47.6,5
LD-LSA10,29,36,3.2,5
LD-LSA10,31,70,23.0,5
LD-LSA16,1,160,15.2,5
LD-LSA16,2,88,8.0,5
LD-LSA16,3,205,46.8,5
LD-LSA16,4,48,19.2,5
LD-LSA16,5,221,34.2,5
LD-LSA16,6,33,1.4,5
LD-LSA16,7,131,12.4,5
LD-LSA16,10,197,16.6,5
LD-LSA16,11,118,8.6,5
LD-LSA16,13,433,15.0,5
LD-LSA16,15,234,7.8,5
LD-LSA16,33,135,13.2,5
LD-LSA9,1,225,42.0,5
LD-LSA9,2,356,34.6,5
LD-LSA9,3,5,0.8,5
LD-LSA9,4,62,33.8,5
LD-LSA9,5,53,31.4,5
LD-LSA9,6,123,20.0,5
LD-LSA9,7,154,15.8,5
LD-LSA9,8,332,24.2,5
LD-LSA9,9,153,8.2,5
LD-LSA9,10,4,3.8,5
LD-LSA9,11,196,13.6,5
