date,16:00:00,16:15:00,16:30:00,16:45:00
2026-03-05,2791,2917,2824,2699
2026-03-06,2619,2703,2582,2387
2026-03-09,2680,2798,2715,2517
2026-03-10,2960,2781,2738,2665
2026-03-11,2628,2438,2597,2367
2026-03-12,2738,2833,2715,2706
2026-03-13,2136,2256,2114,2168
2026-03-16,2699,2824,2664,2536
2026-03-17,2796,2616,2683,2541
2026-03-18,2982,2774,2650,2632
2026-03-19,2315,2347,2189,2313
2026-03-20,1305,1540,1344,1352
2026-03-23,2716,2798,2707,2542
2026-03-24,2583,2797,2798,2530
2026-03-25,1364,1381,1278,1280
2026-03-26,2845,1520,1346,1428
2026-03-27,2567,2702,2629,2507
2026-03-30,1389,1261,1321,1152
