intersection,date,begin_s,end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
LD-LSA1,2026-03-10,28800,29700,7,LSA1_W_id7,West,,,,,,46,60.0,0.0
LD-LSA1,2026-03-10,29700,30600,7,LSA1_W_id7,West,,,,,,45,58.0,0.0
LD-LSA1,2026-03-10,30600,31500,7,LSA1_W_id7,West,,,,,,40,57.0,0.0
LD-LSA1,2026-03-10,31500,32400,7,LSA1_W_id7,West,,,,,,37,56.0,0.0
LD-LSA1,2026-03-10,28800,29700,8,LSA1_W_id8,West,,,,,,97,27.0,0.0
LD-LSA1,2026-03-10,29700,30600,8,LSA1_W_id8,West,,,,,,105,34.0,0.0
LD-LSA1,2026-03-10,30600,31500,8,LSA1_W_id8,West,,,,,,108,23.0,0.0
LD-LSA1,2026-03-10,31500,32400,8,LSA1_W_id8,West,,,,,,114,17.0,0.0
LD-LSA1,2026-03-10,28800,29700,9,LSA1_W_id9,West,,,,,,143,66.0,0.0
LD-LSA1,2026-03-10,29700,30600,9,LSA1_W_id9,West,,,,,,134,67.0,0.0
LD-LSA1,2026-03-10,30600,31500,9,LSA1_W_id9,West,,,,,,145,67.0,0.0
LD-LSA1,2026-03-10,31500,32400,9,LSA1_W_id9,West,,,,,,142,67.0,0.0
LD-LSA1,2026-03-10,28800,29700,10,LSA1_W_id10,West,,,,,,150,58.0,0.0
LD-LSA1,2026-03-10,29700,30600,10,LSA1_W_id10,West,,,,,,145,35.0,0.0
LD-LSA1,2026-03-10,30600,31500,10,LSA1_W_id10,West,,,,,,152,48.0,0.0
LD-LSA1,2026-03-10,31500,32400,10,LSA1_W_id10,West,,,,,,144,46.0,0.0
LD-LSA1,2026-03-10,28800,29700,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-10,29700,30600,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-10,30600,31500,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-10,31500,32400,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-10,28800,29700,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-10,29700,30600,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-10,30600,31500,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-10,31500,32400,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-10,28800,29700,13,LSA1_E_id13,East,,,,,,46,52.0,0.0
LD-LSA1,2026-03-10,29700,30600,13,LSA1_E_id13,East,,,,,,50,37.0,0.0
LD-LSA1,2026-03-10,30600,31500,13,LSA1_E_id13,East,,,,,,40,44.0,0.0
LD-LSA1,2026-03-10,31500,32400,13,LSA1_E_id13,East,,,,,,52,43.0,0.0
LD-LSA1,2026-03-10,28800,29700,14,LSA1_E_id14,East,,,,,,138,39.0,0.0
LD-LSA1,2026-03-10,29700,30600,14,LSA1_E_id14,East,,,,,,137,33.0,0.0
LD-LSA1,2026-03-10,30600,31500,14,LSA1_E_id14,East,,,,,,117,31.0,0.0
LD-LSA1,2026-03-10,31500,32400,14,LSA1_E_id14,East,,,,,,139,47.0,0.0
LD-LSA1,2026-03-10,28800,29700,23,LSA1_E_id23,East,,,,,,76,50.0,0.0
LD-LSA1,2026-03-10,29700,30600,23,LSA1_E_id23,East,,,,,,49,29.0,0.0
LD-LSA1,2026-03-10,30600,31500,23,LSA1_E_id23,East,,,,,,51,54.0,0.0
LD-LSA1,2026-03-10,31500,32400,23,LSA1_E_id23,East,,,,,,63,47.0,0.0
LD-LSA1,2026-03-10,28800,29700,24,LSA1_E_id24,East,,,,,,114,19.0,0.0
LD-LSA1,2026-03-10,29700,30600,24,LSA1_E_id24,East,,,,,,108,11.0,0.0
LD-LSA1,2026-03-10,30600,31500,24,LSA1_E_id24,East,,,,,,91,17.0,0.0
LD-LSA1,2026-03-10,31500,32400,24,LSA1_E_id24,East,,,,,,98,32.0,0.0
LD-LSA1,2026-03-10,28800,29700,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-10,29700,30600,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-10,30600,31500,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-10,31500,32400,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-10,28800,29700,26,LSA1_E_id26,East,,,,,,33,5.0,0.0
LD-LSA1,2026-03-10,29700,30600,26,LSA1_E_id26,East,,,,,,32,12.0,0.0
LD-LSA1,2026-03-10,30600,31500,26,LSA1_E_id26,East,,,,,,40,14.0,0.0
LD-LSA1,2026-03-10,31500,32400,26,LSA1_E_id26,East,,,,,,51,7.0,0.0
LD-LSA1,2026-03-10,28800,29700,27,LSA1_E_id27,East,,,,,,71,27.0,0.0
LD-LSA1,2026-03-10,29700,30600,27,LSA1_E_id27,East,,,,,,69,26.0,0.0
LD-LSA1,2026-03-10,30600,31500,27,LSA1_E_id27,East,,,,,,66,26.0,0.0
LD-LSA1,2026-03-10,31500,32400,27,LSA1_E_id27,East,,,,,,83,34.0,0.0
LD-LSA1,2026-03-10,28800,29700,28,LSA1_N_id28,North,,,,,,19,22.0,0.0
LD-LSA1,2026-03-10,29700,30600,28,LSA1_N_id28,North,,,,,,16,18.0,0.0
LD-LSA1,2026-03-10,30600,31500,28,LSA1_N_id28,North,,,,,,22,28.0,0.0
LD-LSA1,2026-03-10,31500,32400,28,LSA1_N_id28,North,,,,,,18,16.0,0.0
LD-LSA1,2026-03-10,28800,29700,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-10,29700,30600,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-10,30600,31500,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-10,31500,32400,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-10,28800,29700,30,LSA1_N_id30,North,,,,,,69,53.0,0.0
LD-LSA1,2026-03-10,29700,30600,30,LSA1_N_id30,North,,,,,,68,52.0,0.0
LD-LSA1,2026-03-10,30600,31500,30,LSA1_N_id30,North,,,,,,82,58.0,0.0
LD-LSA1,2026-03-10,31500,32400,30,LSA1_N_id30,North,,,,,,66,61.0,0.0
LD-LSA1,2026-03-10,28800,29700,39,LSA1_N_id39,North,,,,,,76,27.0,0.0
LD-LSA1,2026-03-10,29700,30600,39,LSA1_N_id39,North,,,,,,79,22.0,0.0
LD-LSA1,2026-03-10,30600,31500,39,LSA1_N_id39,North,,,,,,88,35.0,0.0
LD-LSA1,2026-03-10,31500,32400,39,LSA1_N_id39,North,,,,,,77,27.0,0.0
LD-LSA1,2026-03-10,28800,29700,40,LSA1_N_id40,North,,,,,,20,13.0,0.0
