intersection,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,total_count,mean_occupancy,mean_speed,n_intervals
LD-LSA1,7,LSA1_W_id7,West,,,,,,168,57.75,0.0,4
LD-LSA1,8,LSA1_W_id8,West,,,,,,424,25.25,0.0,4
LD-LSA1,9,LSA1_W_id9,West,,,,,,564,66.75,0.0,4
LD-LSA1,10,LSA1_W_id10,West,,,,,,591,46.75,0.0,4
LD-LSA1,11,LSA1_S_id11,South,,,,,,0,0.0,0.0,4
LD-LSA1,12,LSA1_S_id12,South,,,,,,0,0.0,0.0,4
LD-LSA1,13,LSA1_E_id13,East,,,,,,188,44.0,0.0,4
LD-LSA1,14,LSA1_E_id14,East,,,,,,531,37.5,0.0,4
LD-LSA1,23,LSA1_E_id23,East,,,,,,239,45.0,0.0,4
LD-LSA1,24,LSA1_E_id24,East,,,,,,411,19.75,0.0,4
LD-LSA1,25,LSA1_E_id25,East,,,,,,0,100.0,0.0,4
LD-LSA1,26,LSA1_E_id26,East,,,,,,156,9.5,0.0,4
LD-LSA1,27,LSA1_E_id27,East,,,,,,289,28.25,0.0,4
LD-LSA1,28,LSA1_N_id28,North,,,,,,75,21.0,0.0,4
LD-LSA1,29,LSA1_N_id29,North,,,,,,0,100.0,0.0,4
LD-LSA1,30,LSA1_N_id30,North,,,,,,285,56.0,0.0,4
LD-LSA1,39,LSA1_N_id39,North,,,,,,320,27.75,0.0,4
LD-LSA1,40,LSA1_N_id40,North,,,,,,114,20.0,0.0,4
LD-LSA10,1,LSA10_W_id1,West,,,,,,360,59.75,0.0,4
LD-LSA10,2,LSA10_NW_id2,North-West,,,,,,179,30.0,0.0,4
LD-LSA10,3,LSA10_E_id3,East,,,,,,239,28.25,0.0,4
LD-LSA10,4,LSA10_E_id4,East,,,,,,124,11.25,0.0,4
LD-LSA10,26,LSA10_NW_id26,North-West,,,,,,33,21.75,0.0,4
LD-LSA10,27,LSA10_NW_id27,North-West,,,,,,69,62.0,0.0,4
LD-LSA10,29,LSA10_NE_id29,North-East,,,,,,35,9.5,0.0,4
LD-LSA10,31,LSA10_S_id31,South,,,,,,52,44.0,0.0,4
LD-LSA16,1,LSA16_S_id1,South,,,,,,152,31.25,0.0,4
LD-LSA16,2,LSA16_S_id2,South,,,,,,104,19.0,0.0,4
LD-LSA16,3,LSA16_W_id3,West,,,,,,290,63.75,0.0,4
LD-LSA16,4,LSA16_W_id4,West,,,,,,46,30.5,0.0,4
LD-LSA16,5,LSA16_W_id5,West,,,,,,247,65.5,0.0,4
LD-LSA16,6,LSA16_N_id6,North,,,,,,42,7.0,0.0,4
LD-LSA16,7,LSA16_N_id7,North,,,,,,119,30.5,0.0,4
LD-LSA16,10,LSA16_E_id10,East,,,,,,201,19.75,0.0,4
LD-LSA16,11,LSA16_E_id11,East,,,,,,209,11.0,0.0,4
LD-LSA16,13,LSA16_Eout_id13,East-Exit,,,,,,463,34.25,0.0,4
LD-LSA16,15,LSA16_Wout_id15,West-Exit,,,,,,260,14.0,0.0,4
LD-LSA16,33,LSA16_S_id33,South,,,,,,127,33.75,0.0,4
LD-LSA9,1,LSA9_W_id1,West,,,,,,222,63.25,0.0,4
LD-LSA9,2,LSA9_W_id2,West,,,,,,357,60.25,0.0,4
LD-LSA9,3,,North-East,,,,,,8,0.25,0.0,4
LD-LSA9,4,LSA9_WE_id4,North-West,,,,,,55,48.5,0.0,4
LD-LSA9,5,LSA9_WE_id5,North-West,,,,,,41,44.5,0.0,4
LD-LSA9,6,LSA9_WE_id6,North-West,,,,,,75,30.75,0.0,4
LD-LSA9,7,LSA9_WE_id7,North-West,,,,,,102,17.5,0.0,4
LD-LSA9,8,LSA9_E_id8,East,,,,,,337,48.5,0.0,4
LD-LSA9,9,LSA9_E_id9,East,,,,,,183,14.75,0.0,4
LD-LSA9,10,,South,,,,,,8,1.25,0.0,4
LD-LSA9,11,,Middle,,,,,,201,26.25,0.0,4
