intersection,date,begin_s,end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
LD-LSA1,2026-03-22,57600,58500,7,LSA1_W_id7,West,,,,,,47,60.0,0.0
LD-LSA1,2026-03-22,57600,58500,8,LSA1_W_id8,West,,,,,,82,24.0,0.0
LD-LSA1,2026-03-22,57600,58500,9,LSA1_W_id9,West,,,,,,87,33.0,0.0
LD-LSA1,2026-03-22,57600,58500,10,LSA1_W_id10,West,,,,,,108,12.0,0.0
LD-LSA1,2026-03-22,57600,58500,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-22,57600,58500,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-22,57600,58500,13,LSA1_E_id13,East,,,,,,39,42.0,0.0
LD-LSA1,2026-03-22,57600,58500,14,LSA1_E_id14,East,,,,,,105,9.0,0.0
LD-LSA1,2026-03-22,57600,58500,23,LSA1_E_id23,East,,,,,,53,31.0,0.0
LD-LSA1,2026-03-22,57600,58500,24,LSA1_E_id24,East,,,,,,90,8.0,0.0
LD-LSA1,2026-03-22,57600,58500,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-22,57600,58500,26,LSA1_E_id26,East,,,,,,23,2.0,0.0
LD-LSA1,2026-03-22,57600,58500,27,LSA1_E_id27,East,,,,,,37,16.0,0.0
LD-LSA1,2026-03-22,57600,58500,28,LSA1_N_id28,North,,,,,,12,10.0,0.0
LD-LSA1,2026-03-22,57600,58500,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-22,57600,58500,30,LSA1_N_id30,North,,,,,,56,65.0,0.0
LD-LSA1,2026-03-22,57600,58500,39,LSA1_N_id39,North,,,,,,55,27.0,0.0
LD-LSA1,2026-03-22,57600,58500,40,LSA1_N_id40,North,,,,,,27,8.0,0.0
LD-LSA10,2026-03-22,57600,58500,1,LSA10_W_id1,West,,,,,,71,37.0,0.0
LD-LSA10,2026-03-22,57600,58500,2,LSA10_NW_id2,North-West,,,,,,28,12.0,0.0
LD-LSA10,2026-03-22,57600,58500,3,LSA10_E_id3,East,,,,,,63,16.0,0.0
LD-LSA10,2026-03-22,57600,58500,4,LSA10_E_id4,East,,,,,,30,7.0,0.0
LD-LSA10,2026-03-22,57600,58500,26,LSA10_NW_id26,North-West,,,,,,7,24.0,0.0
LD-LSA10,2026-03-22,57600,58500,27,LSA10_NW_id27,North-West,,,,,,14,43.0,0.0
LD-LSA10,2026-03-22,57600,58500,29,LSA10_NE_id29,North-East,,,,,,3,5.0,0.0
LD-LSA10,2026-03-22,57600,58500,31,LSA10_S_id31,South,,,,,,13,30.0,0.0
LD-LSA16,2026-03-22,57600,58500,1,LSA16_S_id1,South,,,,,,38,19.0,0.0
LD-LSA16,2026-03-22,57600,58500,2,LSA16_S_id2,South,,,,,,28,14.0,0.0
LD-LSA16,2026-03-22,57600,58500,3,LSA16_W_id3,West,,,,,,58,58.0,0.0
LD-LSA16,2026-03-22,57600,58500,4,LSA16_W_id4,West,,,,,,9,13.0,0.0
LD-LSA16,2026-03-22,57600,58500,5,LSA16_W_id5,West,,,,,,53,54.0,0.0
LD-LSA16,2026-03-22,57600,58500,6,LSA16_N_id6,North,,,,,,17,4.0,0.0
LD-LSA16,2026-03-22,57600,58500,7,LSA16_N_id7,North,,,,,,36,42.0,0.0
LD-LSA16,2026-03-22,57600,58500,10,LSA16_E_id10,East,,,,,,51,18.0,0.0
LD-LSA16,2026-03-22,57600,58500,11,LSA16_E_id11,East,,,,,,36,11.0,0.0
LD-LSA16,2026-03-22,57600,58500,13,LSA16_Eout_id13,East-Exit,,,,,,112,19.0,0.0
LD-LSA16,2026-03-22,57600,58500,15,LSA16_Wout_id15,West-Exit,,,,,,83,8.0,0.0
LD-LSA16,2026-03-22,57600,58500,33,LSA16_S_id33,South,,,,,,21,17.0,0.0
LD-LSA9,2026-03-22,57600,58500,1,LSA9_W_id1,West,,,,,,102,45.0,0.0
LD-LSA9,2026-03-22,57600,58500,2,LSA9_W_id2,West,,,,,,75,46.0,0.0
LD-LSA9,2026-03-22,57600,58500,3,,North-East,,,,,,1,0.0,0.0
LD-LSA9,2026-03-22,57600,58500,4,LSA9_WE_id4,North-West,,,,,,11,32.0,0.0
LD-LSA9,2026-03-22,57600,58500,5,LSA9_WE_id5,North-West,,,,,,9,25.0,0.0
LD-LSA9,2026-03-22,57600,58500,6,LSA9_WE_id6,North-West,,,,,,15,6.0,0.0
LD-LSA9,2026-03-22,57600,58500,7,LSA9_WE_id7,North-West,,,,,,14,2.0,0.0
LD-LSA9,2026-03-22,57600,58500,8,LSA9_E_id8,East,,,,,,92,22.0,0.0
LD-LSA9,2026-03-22,57600,58500,9,LSA9_E_id9,East,,,,,,44,6.0,0.0
LD-LSA9,2026-03-22,57600,58500,10,,South,,,,,,7,0.0,0.0
LD-LSA9,2026-03-22,57600,58500,11,,Middle,,,,,,42,18.0,0.0
LD-LSA1,2026-03-22,58500,59400,7,LSA1_W_id7,West,,,,,,41,61.0,0.0
LD-LSA1,2026-03-22,58500,59400,8,LSA1_W_id8,West,,,,,,98,16.0,0.0
LD-LSA1,2026-03-22,58500,59400,9,LSA1_W_id9,West,,,,,,108,38.0,0.0
LD-LSA1,2026-03-22,58500,59400,10,LSA1_W_id10,West,,,,,,122,26.0,0.0
LD-LSA1,2026-03-22,58500,59400,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-22,58500,59400,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
LD-LSA1,2026-03-22,58500,59400,13,LSA1_E_id13,East,,,,,,33,31.0,0.0
LD-LSA1,2026-03-22,58500,59400,14,LSA1_E_id14,East,,,,,,97,9.0,0.0
LD-LSA1,2026-03-22,58500,59400,23,LSA1_E_id23,East,,,,,,63,43.0,0.0
LD-LSA1,2026-03-22,58500,59400,24,LSA1_E_id24,East,,,,,,91,18.0,0.0
LD-LSA1,2026-03-22,58500,59400,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
LD-LSA1,2026-03-22,58500,59400,26,LSA1_E_id26,East,,,,,,27,3.0,0.0
LD-LSA1,2026-03-22,58500,59400,27,LSA1_E_id27,East,,,,,,41,14.0,0.0
LD-LSA1,2026-03-22,58500,59400,28,LSA1_N_id28,North,,,,,,12,19.0,0.0
LD-LSA1,2026-03-22,58500,59400,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
LD-LSA1,2026-03-22,58500,59400,30,LSA1_N_id30,North,,,,,,44,55.0,0.0
LD-LSA1,2026-03-22,58500,59400,39,LSA1_N_id39,North,,,,,,48,17.0,0.0
LD-LSA1,2026-03-22,58500,59400,40,LSA1_N_id40,North,,,,,,34,23.0,0.0
LD-LSA10,2026-03-22,58500,59400,1,LSA10_W_id1,West,,,,,,101,40.0,0.0
LD-LSA10,2026-03-22,58500,59400,2,LSA10_NW_id2,North-West,,,,,,25,12.0,0.0
LD-LSA10,2026-03-22,58500,59400,3,LSA10_E_id3,East,,,,,,71,20.0,0.0
