intersection,date,timestamp_utc,timestamp_local,time,begin_s,end_s,detector_id,sumo_id,approach,edge_id,movement,count_type,from_edge,to_edge,count,occupancy,speed
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,7,LSA1_W_id7,West,,,,,,39,56,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,8,LSA1_W_id8,West,,,,,,76,19,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,9,LSA1_W_id9,West,,,,,,89,39,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,10,LSA1_W_id10,West,,,,,,99,17,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,11,LSA1_S_id11,South,,,,,,0,0,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,12,LSA1_S_id12,South,,,,,,0,0,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,13,LSA1_E_id13,East,,,,,,37,40,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,14,LSA1_E_id14,East,,,,,,84,14,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,23,LSA1_E_id23,East,,,,,,32,31,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,24,LSA1_E_id24,East,,,,,,51,5,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,25,LSA1_E_id25,East,,,,,,0,100,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,26,LSA1_E_id26,East,,,,,,14,1,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,27,LSA1_E_id27,East,,,,,,38,16,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,28,LSA1_N_id28,North,,,,,,5,4,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,29,LSA1_N_id29,North,,,,,,0,100,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,30,LSA1_N_id30,North,,,,,,46,31,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,39,LSA1_N_id39,North,,,,,,51,12,0
LD-LSA1,2026-03-14,,2026-03-14 08:00:00+00:00,08:00:00,28800,29700,40,LSA1_N_id40,North,,,,,,24,9,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,7,LSA1_W_id7,West,,,,,,30,64,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,8,LSA1_W_id8,West,,,,,,82,13,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,9,LSA1_W_id9,West,,,,,,87,59,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,10,LSA1_W_id10,West,,,,,,102,19,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,11,LSA1_S_id11,South,,,,,,0,0,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,12,LSA1_S_id12,South,,,,,,0,0,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,13,LSA1_E_id13,East,,,,,,24,40,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,14,LSA1_E_id14,East,,,,,,98,18,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,23,LSA1_E_id23,East,,,,,,40,36,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,24,LSA1_E_id24,East,,,,,,67,11,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,25,LSA1_E_id25,East,,,,,,0,100,0
LD-LSA1,2026-03-14,,2026-03-14 08:15:00+00:00,08:15:00,29700,30600,26,LSA1_E_id26,East,,,,,,20,1,0
