scenario_name,scenario_date,interval_role,intersection,date,begin_s,end_s,sim_begin_s,sim_end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,7,LSA1_W_id7,West,,,,,,63,61.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,8,LSA1_W_id8,West,,,,,,86,42.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,9,LSA1_W_id9,West,,,,,,157,70.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,10,LSA1_W_id10,West,,,,,,160,69.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,13,LSA1_E_id13,East,,,,,,72,52.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,14,LSA1_E_id14,East,,,,,,178,61.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,23,LSA1_E_id23,East,,,,,,113,56.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,24,LSA1_E_id24,East,,,,,,143,48.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,26,LSA1_E_id26,East,,,,,,53,13.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,27,LSA1_E_id27,East,,,,,,96,38.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,28,LSA1_N_id28,North,,,,,,19,38.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,30,LSA1_N_id30,North,,,,,,76,66.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,39,LSA1_N_id39,North,,,,,,84,27.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA1,2026-03-23,56700,57600,0,900,40,LSA1_N_id40,North,,,,,,45,26.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA10,2026-03-23,56700,57600,0,900,1,LSA10_W_id1,West,,,,,,69,61.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA10,2026-03-23,56700,57600,0,900,2,LSA10_NW_id2,North-West,,,,,,40,35.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA10,2026-03-23,56700,57600,0,900,3,LSA10_E_id3,East,,,,,,71,58.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA10,2026-03-23,56700,57600,0,900,4,LSA10_E_id4,East,,,,,,56,36.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA10,2026-03-23,56700,57600,0,900,26,LSA10_NW_id26,North-West,,,,,,10,26.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA10,2026-03-23,56700,57600,0,900,27,LSA10_NW_id27,North-West,,,,,,15,63.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA10,2026-03-23,56700,57600,0,900,29,LSA10_NE_id29,North-East,,,,,,2,9.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA10,2026-03-23,56700,57600,0,900,31,LSA10_S_id31,South,,,,,,24,64.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,1,LSA16_S_id1,South,,,,,,36,29.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,2,LSA16_S_id2,South,,,,,,22,19.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,3,LSA16_W_id3,West,,,,,,71,62.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,4,LSA16_W_id4,West,,,,,,14,36.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,5,LSA16_W_id5,West,,,,,,48,54.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,6,LSA16_N_id6,North,,,,,,20,24.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,7,LSA16_N_id7,North,,,,,,50,43.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,10,LSA16_E_id10,East,,,,,,104,41.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,11,LSA16_E_id11,East,,,,,,67,28.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,13,LSA16_Eout_id13,East-Exit,,,,,,126,31.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,15,LSA16_Wout_id15,West-Exit,,,,,,145,42.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA16,2026-03-23,56700,57600,0,900,33,LSA16_S_id33,South,,,,,,27,28.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,1,LSA9_W_id1,West,,,,,,49,76.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,2,LSA9_W_id2,West,,,,,,59,76.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,3,,North-East,,,,,,4,2.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,4,LSA9_WE_id4,North-West,,,,,,21,72.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,5,LSA9_WE_id5,North-West,,,,,,12,39.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,6,LSA9_WE_id6,North-West,,,,,,99,54.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,7,LSA9_WE_id7,North-West,,,,,,34,19.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,8,LSA9_E_id8,East,,,,,,83,75.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,9,LSA9_E_id9,East,,,,,,73,27.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,10,,South,,,,,,15,8.0,0.0
weekday_evening,2026-03-23,warmup,LD-LSA9,2026-03-23,56700,57600,0,900,11,,Middle,,,,,,55,34.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,7,LSA1_W_id7,West,,,,,,45,56.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,8,LSA1_W_id8,West,,,,,,101,32.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,9,LSA1_W_id9,West,,,,,,149,65.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,10,LSA1_W_id10,West,,,,,,149,61.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,13,LSA1_E_id13,East,,,,,,73,45.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,14,LSA1_E_id14,East,,,,,,166,48.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,23,LSA1_E_id23,East,,,,,,99,59.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,24,LSA1_E_id24,East,,,,,,127,51.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,26,LSA1_E_id26,East,,,,,,53,22.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,27,LSA1_E_id27,East,,,,,,84,30.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,28,LSA1_N_id28,North,,,,,,14,18.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,30,LSA1_N_id30,North,,,,,,74,75.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,39,LSA1_N_id39,North,,,,,,80,29.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,57600,58500,900,1800,40,LSA1_N_id40,North,,,,,,55,30.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,57600,58500,900,1800,1,LSA10_W_id1,West,,,,,,66,56.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,57600,58500,900,1800,2,LSA10_NW_id2,North-West,,,,,,37,57.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,57600,58500,900,1800,3,LSA10_E_id3,East,,,,,,51,78.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,57600,58500,900,1800,4,LSA10_E_id4,East,,,,,,69,45.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,57600,58500,900,1800,26,LSA10_NW_id26,North-West,,,,,,6,32.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,57600,58500,900,1800,27,LSA10_NW_id27,North-West,,,,,,17,79.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,57600,58500,900,1800,29,LSA10_NE_id29,North-East,,,,,,6,7.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,57600,58500,900,1800,31,LSA10_S_id31,South,,,,,,22,47.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,1,LSA16_S_id1,South,,,,,,34,27.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,2,LSA16_S_id2,South,,,,,,23,16.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,3,LSA16_W_id3,West,,,,,,79,66.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,4,LSA16_W_id4,West,,,,,,14,33.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,5,LSA16_W_id5,West,,,,,,59,63.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,6,LSA16_N_id6,North,,,,,,17,6.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,7,LSA16_N_id7,North,,,,,,34,58.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,10,LSA16_E_id10,East,,,,,,102,40.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,11,LSA16_E_id11,East,,,,,,74,20.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,13,LSA16_Eout_id13,East-Exit,,,,,,119,28.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,15,LSA16_Wout_id15,West-Exit,,,,,,157,25.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA16,2026-03-23,57600,58500,900,1800,33,LSA16_S_id33,South,,,,,,26,36.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,1,LSA9_W_id1,West,,,,,,59,69.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,2,LSA9_W_id2,West,,,,,,73,71.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,3,,North-East,,,,,,7,18.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,4,LSA9_WE_id4,North-West,,,,,,27,78.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,5,LSA9_WE_id5,North-West,,,,,,14,47.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,6,LSA9_WE_id6,North-West,,,,,,21,77.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,7,LSA9_WE_id7,North-West,,,,,,32,36.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,8,LSA9_E_id8,East,,,,,,77,85.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,9,LSA9_E_id9,East,,,,,,67,48.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,10,,South,,,,,,14,9.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA9,2026-03-23,57600,58500,900,1800,11,,Middle,,,,,,44,35.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,7,LSA1_W_id7,West,,,,,,70,62.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,8,LSA1_W_id8,West,,,,,,88,45.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,9,LSA1_W_id9,West,,,,,,161,69.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,10,LSA1_W_id10,West,,,,,,153,72.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,13,LSA1_E_id13,East,,,,,,76,54.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,14,LSA1_E_id14,East,,,,,,172,59.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,23,LSA1_E_id23,East,,,,,,123,50.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,24,LSA1_E_id24,East,,,,,,143,51.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,25,LSA1_E_id25,East,,,,,,0,100.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,26,LSA1_E_id26,East,,,,,,57,15.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,27,LSA1_E_id27,East,,,,,,105,35.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,28,LSA1_N_id28,North,,,,,,20,25.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,29,LSA1_N_id29,North,,,,,,0,100.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,30,LSA1_N_id30,North,,,,,,86,84.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,39,LSA1_N_id39,North,,,,,,85,75.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA1,2026-03-23,58500,59400,1800,2700,40,LSA1_N_id40,North,,,,,,42,28.0,0.0
weekday_evening,2026-03-23,analysis,LD-LSA10,2026-03-23,58500,59400,1800,2700,1,LSA10_W_id1,West,,,,,,75,52.0,0.0
