intersection,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,total_count,mean_occupancy,mean_speed,n_intervals
LD-LSA1,7,LSA1_W_id7,West,,,,,,281,56.4,0.0,5
LD-LSA1,8,LSA1_W_id8,West,,,,,,460,36.4,0.0,5
LD-LSA1,9,LSA1_W_id9,West,,,,,,770,65.8,0.0,5
LD-LSA1,10,LSA1_W_id10,West,,,,,,762,64.4,0.0,5
LD-LSA1,11,LSA1_S_id11,South,,,,,,0,0.0,0.0,5
LD-LSA1,12,LSA1_S_id12,South,,,,,,0,0.0,0.0,5
LD-LSA1,13,LSA1_E_id13,East,,,,,,339,46.2,0.0,5
LD-LSA1,14,LSA1_E_id14,East,,,,,,851,49.2,0.0,5
LD-LSA1,23,LSA1_E_id23,East,,,,,,496,55.6,0.0,5
LD-LSA1,24,LSA1_E_id24,East,,,,,,649,40.8,0.0,5
LD-LSA1,25,LSA1_E_id25,East,,,,,,0,100.0,0.0,5
LD-LSA1,26,LSA1_E_id26,East,,,,,,247,13.6,0.0,5
LD-LSA1,27,LSA1_E_id27,East,,,,,,472,34.2,0.0,5
LD-LSA1,28,LSA1_N_id28,North,,,,,,81,21.8,0.0,5
LD-LSA1,29,LSA1_N_id29,North,,,,,,0,100.0,0.0,5
LD-LSA1,30,LSA1_N_id30,North,,,,,,414,74.8,0.0,5
LD-LSA1,39,LSA1_N_id39,North,,,,,,426,50.0,0.0,5
LD-LSA1,40,LSA1_N_id40,North,,,,,,233,29.2,0.0,5
LD-LSA10,1,LSA10_W_id1,West,,,,,,380,51.4,0.0,5
LD-LSA10,2,LSA10_NW_id2,North-West,,,,,,190,46.6,0.0,5
LD-LSA10,3,LSA10_E_id3,East,,,,,,346,56.6,0.0,5
LD-LSA10,4,LSA10_E_id4,East,,,,,,298,29.2,0.0,5
LD-LSA10,26,LSA10_NW_id26,North-West,,,,,,41,28.8,0.0,5
LD-LSA10,27,LSA10_NW_id27,North-West,,,,,,96,70.8,0.0,5
LD-LSA10,29,LSA10_NE_id29,North-East,,,,,,41,9.6,0.0,5
LD-LSA10,31,LSA10_S_id31,South,,,,,,98,51.2,0.0,5
LD-LSA16,1,LSA16_S_id1,South,,,,,,196,26.8,0.0,5
LD-LSA16,2,LSA16_S_id2,South,,,,,,102,16.4,0.0,5
LD-LSA16,3,LSA16_W_id3,West,,,,,,318,59.8,0.0,5
LD-LSA16,4,LSA16_W_id4,West,,,,,,57,36.2,0.0,5
LD-LSA16,5,LSA16_W_id5,West,,,,,,246,52.6,0.0,5
LD-LSA16,6,LSA16_N_id6,North,,,,,,104,11.6,0.0,5
LD-LSA16,7,LSA16_N_id7,North,,,,,,194,43.2,0.0,5
LD-LSA16,10,LSA16_E_id10,East,,,,,,471,42.4,0.0,5
LD-LSA16,11,LSA16_E_id11,East,,,,,,315,24.2,0.0,5
LD-LSA16,13,LSA16_Eout_id13,East-Exit,,,,,,575,24.6,0.0,5
LD-LSA16,15,LSA16_Wout_id15,West-Exit,,,,,,718,30.8,0.0,5
LD-LSA16,33,LSA16_S_id33,South,,,,,,124,24.8,0.0,5
LD-LSA9,1,LSA9_W_id1,West,,,,,,288,73.2,0.0,5
LD-LSA9,2,LSA9_W_id2,West,,,,,,341,71.6,0.0,5
LD-LSA9,3,,North-East,,,,,,21,8.6,0.0,5
LD-LSA9,4,LSA9_WE_id4,North-West,,,,,,120,69.6,0.0,5
LD-LSA9,5,LSA9_WE_id5,North-West,,,,,,67,50.2,0.0,5
LD-LSA9,6,LSA9_WE_id6,North-West,,,,,,195,57.8,0.0,5
LD-LSA9,7,LSA9_WE_id7,North-West,,,,,,175,26.8,0.0,5
LD-LSA9,8,LSA9_E_id8,East,,,,,,403,74.0,0.0,5
LD-LSA9,9,LSA9_E_id9,East,,,,,,330,35.2,0.0,5
LD-LSA9,10,,South,,,,,,63,13.8,0.0,5
LD-LSA9,11,,Middle,,,,,,235,32.4,0.0,5
