scenario_name,scenario_date,interval_role,intersection,date,begin_s,end_s,sim_begin_s,sim_end_s,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,count,mean_occupancy,mean_speed
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,7,LSA1_W_id7,West,,,,,,57,73.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,7,LSA1_W_id7,West,,,,,,46,60.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,7,LSA1_W_id7,West,,,,,,45,58.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,7,LSA1_W_id7,West,,,,,,40,57.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,7,LSA1_W_id7,West,,,,,,37,56.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,8,LSA1_W_id8,West,,,,,,105,32.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,8,LSA1_W_id8,West,,,,,,97,27.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,8,LSA1_W_id8,West,,,,,,105,34.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,8,LSA1_W_id8,West,,,,,,108,23.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,8,LSA1_W_id8,West,,,,,,114,17.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,9,LSA1_W_id9,West,,,,,,160,67.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,9,LSA1_W_id9,West,,,,,,143,66.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,9,LSA1_W_id9,West,,,,,,134,67.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,9,LSA1_W_id9,West,,,,,,145,67.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,9,LSA1_W_id9,West,,,,,,142,67.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,10,LSA1_W_id10,West,,,,,,159,64.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,10,LSA1_W_id10,West,,,,,,150,58.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,10,LSA1_W_id10,West,,,,,,145,35.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,10,LSA1_W_id10,West,,,,,,152,48.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,10,LSA1_W_id10,West,,,,,,144,46.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,11,LSA1_S_id11,South,,,,,,0,0.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,12,LSA1_S_id12,South,,,,,,0,0.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,13,LSA1_E_id13,East,,,,,,57,46.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,13,LSA1_E_id13,East,,,,,,46,52.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,13,LSA1_E_id13,East,,,,,,50,37.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,13,LSA1_E_id13,East,,,,,,40,44.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,13,LSA1_E_id13,East,,,,,,52,43.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,14,LSA1_E_id14,East,,,,,,136,34.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,14,LSA1_E_id14,East,,,,,,138,39.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,14,LSA1_E_id14,East,,,,,,137,33.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,14,LSA1_E_id14,East,,,,,,117,31.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,14,LSA1_E_id14,East,,,,,,139,47.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,23,LSA1_E_id23,East,,,,,,57,50.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,23,LSA1_E_id23,East,,,,,,76,50.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,29700,30600,1800,2700,23,LSA1_E_id23,East,,,,,,49,29.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,30600,31500,2700,3600,23,LSA1_E_id23,East,,,,,,51,54.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,31500,32400,3600,4500,23,LSA1_E_id23,East,,,,,,63,47.0,0.0
weekday_morning,2026-03-10,warmup,LD-LSA1,2026-03-10,27900,28800,0,900,24,LSA1_E_id24,East,,,,,,96,19.0,0.0
weekday_morning,2026-03-10,analysis,LD-LSA1,2026-03-10,28800,29700,900,1800,24,LSA1_E_id24,East,,,,,,114,19.0,0.0
