intersection,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,total_count,mean_occupancy,mean_speed,n_intervals
LD-LSA1,7,LSA1_W_id7,West,,,,,,225,60.8,0.0,5
LD-LSA1,8,LSA1_W_id8,West,,,,,,529,26.6,0.0,5
LD-LSA1,9,LSA1_W_id9,West,,,,,,724,66.8,0.0,5
LD-LSA1,10,LSA1_W_id10,West,,,,,,750,50.2,0.0,5
LD-LSA1,11,LSA1_S_id11,South,,,,,,0,0.0,0.0,5
LD-LSA1,12,LSA1_S_id12,South,,,,,,0,0.0,0.0,5
LD-LSA1,13,LSA1_E_id13,East,,,,,,245,44.4,0.0,5
LD-LSA1,14,LSA1_E_id14,East,,,,,,667,36.8,0.0,5
LD-LSA1,23,LSA1_E_id23,East,,,,,,296,46.0,0.0,5
LD-LSA1,24,LSA1_E_id24,East,,,,,,507,19.6,0.0,5
LD-LSA1,25,LSA1_E_id25,East,,,,,,0,100.0,0.0,5
LD-LSA1,26,LSA1_E_id26,East,,,,,,199,9.0,0.0,5
LD-LSA1,27,LSA1_E_id27,East,,,,,,350,28.6,0.0,5
LD-LSA1,28,LSA1_N_id28,North,,,,,,96,21.2,0.0,5
LD-LSA1,29,LSA1_N_id29,North,,,,,,0,100.0,0.0,5
LD-LSA1,30,LSA1_N_id30,North,,,,,,349,57.2,0.0,5
LD-LSA1,39,LSA1_N_id39,North,,,,,,389,27.4,0.0,5
LD-LSA1,40,LSA1_N_id40,North,,,,,,142,19.0,0.0,5
LD-LSA10,1,LSA10_W_id1,West,,,,,,456,58.6,0.0,5
LD-LSA10,2,LSA10_NW_id2,North-West,,,,,,211,30.2,0.0,5
LD-LSA10,3,LSA10_E_id3,East,,,,,,287,28.2,0.0,5
LD-LSA10,4,LSA10_E_id4,East,,,,,,152,10.8,0.0,5
LD-LSA10,26,LSA10_NW_id26,North-West,,,,,,40,24.0,0.0,5
LD-LSA10,27,LSA10_NW_id27,North-West,,,,,,81,62.6,0.0,5
LD-LSA10,29,LSA10_NE_id29,North-East,,,,,,42,9.4,0.0,5
LD-LSA10,31,LSA10_S_id31,South,,,,,,67,44.4,0.0,5
LD-LSA16,1,LSA16_S_id1,South,,,,,,191,31.6,0.0,5
LD-LSA16,2,LSA16_S_id2,South,,,,,,125,17.8,0.0,5
LD-LSA16,3,LSA16_W_id3,West,,,,,,373,62.6,0.0,5
LD-LSA16,4,LSA16_W_id4,West,,,,,,57,30.2,0.0,5
LD-LSA16,5,LSA16_W_id5,West,,,,,,319,63.4,0.0,5
LD-LSA16,6,LSA16_N_id6,North,,,,,,52,5.8,0.0,5
LD-LSA16,7,LSA16_N_id7,North,,,,,,151,29.4,0.0,5
LD-LSA16,10,LSA16_E_id10,East,,,,,,244,20.6,0.0,5
LD-LSA16,11,LSA16_E_id11,East,,,,,,244,12.0,0.0,5
LD-LSA16,13,LSA16_Eout_id13,East-Exit,,,,,,593,32.4,0.0,5
LD-LSA16,15,LSA16_Wout_id15,West-Exit,,,,,,323,14.4,0.0,5
LD-LSA16,33,LSA16_S_id33,South,,,,,,160,32.8,0.0,5
LD-LSA9,1,LSA9_W_id1,West,,,,,,290,63.0,0.0,5
LD-LSA9,2,LSA9_W_id2,West,,,,,,446,57.6,0.0,5
LD-LSA9,3,,North-East,,,,,,10,0.6,0.0,5
LD-LSA9,4,LSA9_WE_id4,North-West,,,,,,63,45.2,0.0,5
LD-LSA9,5,LSA9_WE_id5,North-West,,,,,,49,44.6,0.0,5
LD-LSA9,6,LSA9_WE_id6,North-West,,,,,,89,26.2,0.0,5
LD-LSA9,7,LSA9_WE_id7,North-West,,,,,,134,16.0,0.0,5
LD-LSA9,8,LSA9_E_id8,East,,,,,,421,49.0,0.0,5
LD-LSA9,9,LSA9_E_id9,East,,,,,,229,16.6,0.0,5
LD-LSA9,10,,South,,,,,,11,1.8,0.0,5
LD-LSA9,11,,Middle,,,,,,254,26.0,0.0,5
