intersection,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,total_count,mean_occupancy,mean_speed,n_intervals
LD-LSA1,7,LSA1_W_id7,West,,,,,,166,57.5,0.0,4
LD-LSA1,8,LSA1_W_id8,West,,,,,,363,19.5,0.0,4
LD-LSA1,9,LSA1_W_id9,West,,,,,,396,38.75,0.0,4
LD-LSA1,10,LSA1_W_id10,West,,,,,,469,19.0,0.0,4
LD-LSA1,11,LSA1_S_id11,South,,,,,,0,0.0,0.0,4
LD-LSA1,12,LSA1_S_id12,South,,,,,,0,0.0,0.0,4
LD-LSA1,13,LSA1_E_id13,East,,,,,,166,38.25,0.0,4
LD-LSA1,14,LSA1_E_id14,East,,,,,,408,13.75,0.0,4
LD-LSA1,23,LSA1_E_id23,East,,,,,,230,39.0,0.0,4
LD-LSA1,24,LSA1_E_id24,East,,,,,,353,15.25,0.0,4
LD-LSA1,25,LSA1_E_id25,East,,,,,,0,100.0,0.0,4
LD-LSA1,26,LSA1_E_id26,East,,,,,,105,2.25,0.0,4
LD-LSA1,27,LSA1_E_id27,East,,,,,,162,15.0,0.0,4
LD-LSA1,28,LSA1_N_id28,North,,,,,,41,14.0,0.0,4
LD-LSA1,29,LSA1_N_id29,North,,,,,,0,100.0,0.0,4
LD-LSA1,30,LSA1_N_id30,North,,,,,,178,51.75,0.0,4
LD-LSA1,39,LSA1_N_id39,North,,,,,,202,18.75,0.0,4
LD-LSA1,40,LSA1_N_id40,North,,,,,,145,17.25,0.0,4
LD-LSA10,1,LSA10_W_id1,West,,,,,,320,42.75,0.0,4
LD-LSA10,2,LSA10_NW_id2,North-West,,,,,,128,21.5,0.0,4
LD-LSA10,3,LSA10_E_id3,East,,,,,,262,23.0,0.0,4
LD-LSA10,4,LSA10_E_id4,East,,,,,,129,7.25,0.0,4
LD-LSA10,26,LSA10_NW_id26,North-West,,,,,,30,23.75,0.0,4
LD-LSA10,27,LSA10_NW_id27,North-West,,,,,,57,59.5,0.0,4
LD-LSA10,29,LSA10_NE_id29,North-East,,,,,,24,3.5,0.0,4
LD-LSA10,31,LSA10_S_id31,South,,,,,,58,27.25,0.0,4
LD-LSA16,1,LSA16_S_id1,South,,,,,,148,20.5,0.0,4
LD-LSA16,2,LSA16_S_id2,South,,,,,,104,14.0,0.0,4
LD-LSA16,3,LSA16_W_id3,West,,,,,,232,55.0,0.0,4
LD-LSA16,4,LSA16_W_id4,West,,,,,,28,16.5,0.0,4
LD-LSA16,5,LSA16_W_id5,West,,,,,,205,47.75,0.0,4
LD-LSA16,6,LSA16_N_id6,North,,,,,,50,4.25,0.0,4
LD-LSA16,7,LSA16_N_id7,North,,,,,,149,29.0,0.0,4
LD-LSA16,10,LSA16_E_id10,East,,,,,,227,22.25,0.0,4
LD-LSA16,11,LSA16_E_id11,East,,,,,,134,10.0,0.0,4
LD-LSA16,13,LSA16_Eout_id13,East-Exit,,,,,,424,19.5,0.0,4
LD-LSA16,15,LSA16_Wout_id15,West-Exit,,,,,,311,12.5,0.0,4
LD-LSA16,33,LSA16_S_id33,South,,,,,,87,14.75,0.0,4
LD-LSA9,1,LSA9_W_id1,West,,,,,,267,51.75,0.0,4
LD-LSA9,2,LSA9_W_id2,West,,,,,,351,46.5,0.0,4
LD-LSA9,3,,North-East,,,,,,12,1.25,0.0,4
LD-LSA9,4,LSA9_WE_id4,North-West,,,,,,53,43.75,0.0,4
LD-LSA9,5,LSA9_WE_id5,North-West,,,,,,34,30.5,0.0,4
LD-LSA9,6,LSA9_WE_id6,North-West,,,,,,76,16.75,0.0,4
LD-LSA9,7,LSA9_WE_id7,North-West,,,,,,57,7.5,0.0,4
LD-LSA9,8,LSA9_E_id8,East,,,,,,344,32.5,0.0,4
LD-LSA9,9,LSA9_E_id9,East,,,,,,174,12.25,0.0,4
LD-LSA9,10,,South,,,,,,31,3.25,0.0,4
LD-LSA9,11,,Middle,,,,,,156,17.0,0.0,4
