intersection,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,total_count,mean_occupancy,mean_speed,n_intervals
LD-LSA1,7,LSA1_W_id7,West,,,,,,203,56.4,0.0,5
LD-LSA1,8,LSA1_W_id8,West,,,,,,464,18.2,0.0,5
LD-LSA1,9,LSA1_W_id9,West,,,,,,497,38.4,0.0,5
LD-LSA1,10,LSA1_W_id10,West,,,,,,581,20.0,0.0,5
LD-LSA1,11,LSA1_S_id11,South,,,,,,0,0.0,0.0,5
LD-LSA1,12,LSA1_S_id12,South,,,,,,0,0.0,0.0,5
LD-LSA1,13,LSA1_E_id13,East,,,,,,207,38.2,0.0,5
LD-LSA1,14,LSA1_E_id14,East,,,,,,500,13.8,0.0,5
LD-LSA1,23,LSA1_E_id23,East,,,,,,277,39.0,0.0,5
LD-LSA1,24,LSA1_E_id24,East,,,,,,429,15.2,0.0,5
LD-LSA1,25,LSA1_E_id25,East,,,,,,0,100.0,0.0,5
LD-LSA1,26,LSA1_E_id26,East,,,,,,130,2.6,0.0,5
LD-LSA1,27,LSA1_E_id27,East,,,,,,196,14.6,0.0,5
LD-LSA1,28,LSA1_N_id28,North,,,,,,50,14.8,0.0,5
LD-LSA1,29,LSA1_N_id29,North,,,,,,0,100.0,0.0,5
LD-LSA1,30,LSA1_N_id30,North,,,,,,228,51.0,0.0,5
LD-LSA1,39,LSA1_N_id39,North,,,,,,257,18.2,0.0,5
LD-LSA1,40,LSA1_N_id40,North,,,,,,167,19.4,0.0,5
LD-LSA10,1,LSA10_W_id1,West,,,,,,370,39.4,0.0,5
LD-LSA10,2,LSA10_NW_id2,North-West,,,,,,148,21.6,0.0,5
LD-LSA10,3,LSA10_E_id3,East,,,,,,326,22.0,0.0,5
LD-LSA10,4,LSA10_E_id4,East,,,,,,161,7.0,0.0,5
LD-LSA10,26,LSA10_NW_id26,North-West,,,,,,37,24.4,0.0,5
LD-LSA10,27,LSA10_NW_id27,North-West,,,,,,68,56.2,0.0,5
LD-LSA10,29,LSA10_NE_id29,North-East,,,,,,28,3.6,0.0,5
LD-LSA10,31,LSA10_S_id31,South,,,,,,70,25.6,0.0,5
LD-LSA16,1,LSA16_S_id1,South,,,,,,176,17.4,0.0,5
LD-LSA16,2,LSA16_S_id2,South,,,,,,122,13.0,0.0,5
LD-LSA16,3,LSA16_W_id3,West,,,,,,283,52.4,0.0,5
LD-LSA16,4,LSA16_W_id4,West,,,,,,37,18.4,0.0,5
LD-LSA16,5,LSA16_W_id5,West,,,,,,249,45.4,0.0,5
LD-LSA16,6,LSA16_N_id6,North,,,,,,62,3.8,0.0,5
LD-LSA16,7,LSA16_N_id7,North,,,,,,174,28.2,0.0,5
LD-LSA16,10,LSA16_E_id10,East,,,,,,286,20.6,0.0,5
LD-LSA16,11,LSA16_E_id11,East,,,,,,166,10.4,0.0,5
LD-LSA16,13,LSA16_Eout_id13,East-Exit,,,,,,503,17.4,0.0,5
LD-LSA16,15,LSA16_Wout_id15,West-Exit,,,,,,375,12.6,0.0,5
LD-LSA16,33,LSA16_S_id33,South,,,,,,111,13.4,0.0,5
LD-LSA9,1,LSA9_W_id1,West,,,,,,309,50.4,0.0,5
LD-LSA9,2,LSA9_W_id2,West,,,,,,440,44.4,0.0,5
LD-LSA9,3,,North-East,,,,,,14,2.4,0.0,5
LD-LSA9,4,LSA9_WE_id4,North-West,,,,,,64,41.4,0.0,5
LD-LSA9,5,LSA9_WE_id5,North-West,,,,,,45,31.8,0.0,5
LD-LSA9,6,LSA9_WE_id6,North-West,,,,,,93,15.4,0.0,5
LD-LSA9,7,LSA9_WE_id7,North-West,,,,,,75,8.6,0.0,5
LD-LSA9,8,LSA9_E_id8,East,,,,,,427,32.8,0.0,5
LD-LSA9,9,LSA9_E_id9,East,,,,,,213,12.8,0.0,5
LD-LSA9,10,,South,,,,,,35,2.6,0.0,5
LD-LSA9,11,,Middle,,,,,,202,17.4,0.0,5
