scenario_name,scenario_date,interval_role,warmup_seconds,scenario_start_s,scenario_end_s,analysis_start_s,analysis_end_s,intersection,date,timestamp_utc,timestamp_local,time,begin_s,end_s,sim_begin_s,sim_end_s,bin_label_clock,bin_label_sim,detector_id,sumo_id,approach,edge_id,movement,count_type,from_edge,to_edge,count,occupancy,speed
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,7,LSA1_W_id7,West,,,,,,37,52,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,8,LSA1_W_id8,West,,,,,,101,13,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,9,LSA1_W_id9,West,,,,,,101,37,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,10,LSA1_W_id10,West,,,,,,112,24,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,11,LSA1_S_id11,South,,,,,,0,0,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,12,LSA1_S_id12,South,,,,,,0,0,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,13,LSA1_E_id13,East,,,,,,41,38,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,14,LSA1_E_id14,East,,,,,,92,14,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,23,LSA1_E_id23,East,,,,,,47,39,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,24,LSA1_E_id24,East,,,,,,76,15,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,25,LSA1_E_id25,East,,,,,,0,100,0
weekend_evening,2026-03-22,warmup,900,56700,61200,57600,61200,LD-LSA1,2026-03-22,,2026-03-22 15:45:00+00:00,15:45:00,56700,57600,0,900,15:45-16:00,0-900,26,LSA1_E_id26,East,,,,,,25,4,0
