intersection,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,total_count,mean_occupancy,mean_speed,n_intervals
LD-LSA1,7,LSA1_W_id7,West,,,,,,154,60.75,0.0,4
LD-LSA1,8,LSA1_W_id8,West,,,,,,344,17.0,0.0,4
LD-LSA1,9,LSA1_W_id9,West,,,,,,367,50.75,0.0,4
LD-LSA1,10,LSA1_W_id10,West,,,,,,428,20.75,0.0,4
LD-LSA1,11,LSA1_S_id11,South,,,,,,0,0.0,0.0,4
LD-LSA1,12,LSA1_S_id12,South,,,,,,0,0.0,0.0,4
LD-LSA1,13,LSA1_E_id13,East,,,,,,130,38.25,0.0,4
LD-LSA1,14,LSA1_E_id14,East,,,,,,416,18.5,0.0,4
LD-LSA1,23,LSA1_E_id23,East,,,,,,164,34.5,0.0,4
LD-LSA1,24,LSA1_E_id24,East,,,,,,281,9.25,0.0,4
LD-LSA1,25,LSA1_E_id25,East,,,,,,0,100.0,0.0,4
LD-LSA1,26,LSA1_E_id26,East,,,,,,71,1.25,0.0,4
LD-LSA1,27,LSA1_E_id27,East,,,,,,231,18.25,0.0,4
LD-LSA1,28,LSA1_N_id28,North,,,,,,28,7.5,0.0,4
LD-LSA1,29,LSA1_N_id29,North,,,,,,0,100.0,0.0,4
LD-LSA1,30,LSA1_N_id30,North,,,,,,197,39.5,0.0,4
LD-LSA1,39,LSA1_N_id39,North,,,,,,224,14.0,0.0,4
LD-LSA1,40,LSA1_N_id40,North,,,,,,92,8.5,0.0,4
LD-LSA10,1,LSA10_W_id1,West,,,,,,222,37.75,0.0,4
LD-LSA10,2,LSA10_NW_id2,North-West,,,,,,108,18.0,0.0,4
LD-LSA10,3,LSA10_E_id3,East,,,,,,216,19.25,0.0,4
LD-LSA10,4,LSA10_E_id4,East,,,,,,107,5.75,0.0,4
LD-LSA10,26,LSA10_NW_id26,North-West,,,,,,19,28.75,0.0,4
LD-LSA10,27,LSA10_NW_id27,North-West,,,,,,55,49.25,0.0,4
LD-LSA10,29,LSA10_NE_id29,North-East,,,,,,25,4.0,0.0,4
LD-LSA10,31,LSA10_S_id31,South,,,,,,55,26.5,0.0,4
LD-LSA16,1,LSA16_S_id1,South,,,,,,135,15.75,0.0,4
LD-LSA16,2,LSA16_S_id2,South,,,,,,76,8.25,0.0,4
LD-LSA16,3,LSA16_W_id3,West,,,,,,178,48.25,0.0,4
LD-LSA16,4,LSA16_W_id4,West,,,,,,39,18.75,0.0,4
LD-LSA16,5,LSA16_W_id5,West,,,,,,188,34.25,0.0,4
LD-LSA16,6,LSA16_N_id6,North,,,,,,30,1.75,0.0,4
LD-LSA16,7,LSA16_N_id7,North,,,,,,115,13.75,0.0,4
LD-LSA16,10,LSA16_E_id10,East,,,,,,163,18.0,0.0,4
LD-LSA16,11,LSA16_E_id11,East,,,,,,97,6.5,0.0,4
LD-LSA16,13,LSA16_Eout_id13,East-Exit,,,,,,363,15.75,0.0,4
LD-LSA16,15,LSA16_Wout_id15,West-Exit,,,,,,204,8.75,0.0,4
LD-LSA16,33,LSA16_S_id33,South,,,,,,117,13.75,0.0,4
LD-LSA9,1,LSA9_W_id1,West,,,,,,192,42.0,0.0,4
LD-LSA9,2,LSA9_W_id2,West,,,,,,292,32.25,0.0,4
LD-LSA9,3,,North-East,,,,,,5,1.0,0.0,4
LD-LSA9,4,LSA9_WE_id4,North-West,,,,,,51,34.25,0.0,4
LD-LSA9,5,LSA9_WE_id5,North-West,,,,,,44,30.5,0.0,4
LD-LSA9,6,LSA9_WE_id6,North-West,,,,,,98,22.75,0.0,4
LD-LSA9,7,LSA9_WE_id7,North-West,,,,,,129,14.5,0.0,4
LD-LSA9,8,LSA9_E_id8,East,,,,,,275,26.25,0.0,4
LD-LSA9,9,LSA9_E_id9,East,,,,,,125,8.75,0.0,4
LD-LSA9,10,,South,,,,,,3,2.5,0.0,4
LD-LSA9,11,,Middle,,,,,,164,14.75,0.0,4
