intersection,detector_id,sumo_id,approach,edge_id,count_type,from_edge,to_edge,movement,total_count,mean_occupancy,mean_speed,n_intervals
LD-LSA1,7,LSA1_W_id7,West,,,,,,186,61.2,0.0,5
LD-LSA1,8,LSA1_W_id8,West,,,,,,427,16.6,0.0,5
LD-LSA1,9,LSA1_W_id9,West,,,,,,454,50.6,0.0,5
LD-LSA1,10,LSA1_W_id10,West,,,,,,528,21.4,0.0,5
LD-LSA1,11,LSA1_S_id11,South,,,,,,0,0.0,0.0,5
LD-LSA1,12,LSA1_S_id12,South,,,,,,0,0.0,0.0,5
LD-LSA1,13,LSA1_E_id13,East,,,,,,146,36.0,0.0,5
LD-LSA1,14,LSA1_E_id14,East,,,,,,488,16.4,0.0,5
LD-LSA1,23,LSA1_E_id23,East,,,,,,192,35.4,0.0,5
LD-LSA1,24,LSA1_E_id24,East,,,,,,336,8.4,0.0,5
LD-LSA1,25,LSA1_E_id25,East,,,,,,0,100.0,0.0,5
LD-LSA1,26,LSA1_E_id26,East,,,,,,89,1.2,0.0,5
LD-LSA1,27,LSA1_E_id27,East,,,,,,271,17.4,0.0,5
LD-LSA1,28,LSA1_N_id28,North,,,,,,36,7.4,0.0,5
LD-LSA1,29,LSA1_N_id29,North,,,,,,0,100.0,0.0,5
LD-LSA1,30,LSA1_N_id30,North,,,,,,229,36.0,0.0,5
LD-LSA1,39,LSA1_N_id39,North,,,,,,269,12.0,0.0,5
LD-LSA1,40,LSA1_N_id40,North,,,,,,178,9.2,0.0,5
LD-LSA10,1,LSA10_W_id1,West,,,,,,270,35.2,0.0,5
LD-LSA10,2,LSA10_NW_id2,North-West,,,,,,130,16.0,0.0,5
LD-LSA10,3,LSA10_E_id3,East,,,,,,261,17.8,0.0,5
LD-LSA10,4,LSA10_E_id4,East,,,,,,127,5.4,0.0,5
LD-LSA10,26,LSA10_NW_id26,North-West,,,,,,25,26.8,0.0,5
LD-LSA10,27,LSA10_NW_id27,North-West,,,,,,67,47.6,0.0,5
LD-LSA10,29,LSA10_NE_id29,North-East,,,,,,36,3.2,0.0,5
LD-LSA10,31,LSA10_S_id31,South,,,,,,70,23.0,0.0,5
LD-LSA16,1,LSA16_S_id1,South,,,,,,160,15.2,0.0,5
LD-LSA16,2,LSA16_S_id2,South,,,,,,88,8.0,0.0,5
LD-LSA16,3,LSA16_W_id3,West,,,,,,205,46.8,0.0,5
LD-LSA16,4,LSA16_W_id4,West,,,,,,48,19.2,0.0,5
LD-LSA16,5,LSA16_W_id5,West,,,,,,221,34.2,0.0,5
LD-LSA16,6,LSA16_N_id6,North,,,,,,33,1.4,0.0,5
LD-LSA16,7,LSA16_N_id7,North,,,,,,131,12.4,0.0,5
LD-LSA16,10,LSA16_E_id10,East,,,,,,197,16.6,0.0,5
LD-LSA16,11,LSA16_E_id11,East,,,,,,118,8.6,0.0,5
LD-LSA16,13,LSA16_Eout_id13,East-Exit,,,,,,433,15.0,0.0,5
LD-LSA16,15,LSA16_Wout_id15,West-Exit,,,,,,234,7.8,0.0,5
LD-LSA16,33,LSA16_S_id33,South,,,,,,135,13.2,0.0,5
LD-LSA9,1,LSA9_W_id1,West,,,,,,225,42.0,0.0,5
LD-LSA9,2,LSA9_W_id2,West,,,,,,356,34.6,0.0,5
LD-LSA9,3,,North-East,,,,,,5,0.8,0.0,5
LD-LSA9,4,LSA9_WE_id4,North-West,,,,,,62,33.8,0.0,5
LD-LSA9,5,LSA9_WE_id5,North-West,,,,,,53,31.4,0.0,5
LD-LSA9,6,LSA9_WE_id6,North-West,,,,,,123,20.0,0.0,5
LD-LSA9,7,LSA9_WE_id7,North-West,,,,,,154,15.8,0.0,5
LD-LSA9,8,LSA9_E_id8,East,,,,,,332,24.2,0.0,5
LD-LSA9,9,LSA9_E_id9,East,,,,,,153,8.2,0.0,5
LD-LSA9,10,,South,,,,,,4,3.8,0.0,5
LD-LSA9,11,,Middle,,,,,,196,13.6,0.0,5
