scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekday_evening,LSA10,LSA10_E_id3,3,0.0,900.0,40.0,40.0,160.0,9.64,10.37,2.11
weekday_evening,LSA10,LSA10_E_id4,4,0.0,900.0,50.0,50.0,200.0,9.54,10.72,2.64
weekday_evening,LSA10,LSA10_NE_id29,29,0.0,900.0,13.0,13.0,52.0,11.65,4.39,0.56
weekday_evening,LSA10,LSA10_NW_id2,2,0.0,900.0,28.0,28.0,112.0,1.26,13.23,12.95
weekday_evening,LSA10,LSA10_NW_id26,26,0.0,900.0,11.0,11.0,44.0,3.5,5.85,1.91
weekday_evening,LSA10,LSA10_NW_id27,27,0.0,900.0,17.0,17.0,68.0,17.65,4.71,0.6
weekday_evening,LSA10,LSA10_S_id31,31,0.0,900.0,18.0,17.0,68.0,20.11,3.47,0.51
weekday_evening,LSA10,LSA10_W_id1,1,0.0,900.0,86.0,86.0,344.0,29.13,8.23,1.56
weekday_evening,LSA10,LSA10_E_id3,3,900.0,1800.0,61.0,61.0,244.0,12.98,9.61,2.53
weekday_evening,LSA10,LSA10_E_id4,4,900.0,1800.0,71.0,69.0,276.0,20.21,9.63,1.89
weekday_evening,LSA10,LSA10_NE_id29,29,900.0,1800.0,6.0,6.0,24.0,3.9,4.5,0.77
weekday_evening,LSA10,LSA10_NW_id2,2,900.0,1800.0,29.0,29.0,116.0,1.12,13.31,13.2
weekday_evening,LSA10,LSA10_NW_id26,26,900.0,1800.0,3.0,3.0,12.0,0.22,7.72,6.89
weekday_evening,LSA10,LSA10_NW_id27,27,900.0,1800.0,25.0,24.0,96.0,29.11,4.92,0.53
weekday_evening,LSA10,LSA10_S_id31,31,900.0,1800.0,20.0,21.0,84.0,18.02,4.26,0.54
weekday_evening,LSA10,LSA10_W_id1,1,900.0,1800.0,122.0,122.0,488.0,19.71,9.91,3.5
weekday_evening,LSA10,LSA10_E_id3,3,1800.0,2700.0,60.0,60.0,240.0,9.29,10.8,3.3
weekday_evening,LSA10,LSA10_E_id4,4,1800.0,2700.0,59.0,59.0,236.0,11.86,11.11,2.5
weekday_evening,LSA10,LSA10_NE_id29,29,1800.0,2700.0,12.0,12.0,48.0,2.68,4.88,2.47
weekday_evening,LSA10,LSA10_NW_id2,2,1800.0,2700.0,28.0,28.0,112.0,1.47,12.26,11.53
weekday_evening,LSA10,LSA10_NW_id26,26,1800.0,2700.0,12.0,12.0,48.0,4.44,4.3,1.59
weekday_evening,LSA10,LSA10_NW_id27,27,1800.0,2700.0,17.0,18.0,72.0,18.47,4.43,0.51
weekday_evening,LSA10,LSA10_S_id31,31,1800.0,2700.0,18.0,18.0,72.0,25.32,4.01,0.36
weekday_evening,LSA10,LSA10_W_id1,1,1800.0,2700.0,96.0,96.0,384.0,20.67,10.18,2.92
weekday_evening,LSA10,LSA10_E_id3,3,2700.0,3600.0,60.0,60.0,240.0,15.19,9.67,2.04
weekday_evening,LSA10,LSA10_E_id4,4,2700.0,3600.0,56.0,56.0,224.0,5.68,9.6,5.1
weekday_evening,LSA10,LSA10_NE_id29,29,2700.0,3600.0,4.0,4.0,16.0,0.5,4.72,4.65
weekday_evening,LSA10,LSA10_NW_id2,2,2700.0,3600.0,32.0,32.0,128.0,11.18,11.73,1.44
weekday_evening,LSA10,LSA10_NW_id26,26,2700.0,3600.0,9.0,9.0,36.0,6.26,5.58,1.4
weekday_evening,LSA10,LSA10_NW_id27,27,2700.0,3600.0,22.0,22.0,88.0,41.6,5.47,0.27
weekday_evening,LSA10,LSA10_S_id31,31,2700.0,3600.0,24.0,23.0,92.0,29.39,4.21,0.47
weekday_evening,LSA10,LSA10_W_id1,1,2700.0,3600.0,88.0,87.0,348.0,74.05,6.58,0.69
weekday_evening,LSA10,LSA10_E_id3,3,3600.0,4500.0,58.0,58.0,232.0,10.25,9.28,3.12
weekday_evening,LSA10,LSA10_E_id4,4,3600.0,4500.0,56.0,55.0,220.0,7.7,9.32,4.39
weekday_evening,LSA10,LSA10_NE_id29,29,3600.0,4500.0,6.0,6.0,24.0,0.53,5.9,5.68
weekday_evening,LSA10,LSA10_NW_id2,2,3600.0,4500.0,20.0,20.0,80.0,0.79,14.08,14.0
weekday_evening,LSA10,LSA10_NW_id26,26,3600.0,4500.0,6.0,6.0,24.0,3.45,4.32,0.87
weekday_evening,LSA10,LSA10_NW_id27,27,3600.0,4500.0,15.0,15.0,60.0,4.11,6.3,1.89
weekday_evening,LSA10,LSA10_S_id31,31,3600.0,4500.0,18.0,19.0,76.0,32.42,3.94,0.4
weekday_evening,LSA10,LSA10_W_id1,1,3600.0,4500.0,53.0,54.0,216.0,89.35,4.63,0.32
