scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekend_evening,LSA10,LSA10_E_id3,3,0.0,900.0,60.0,60.0,240.0,20.35,9.49,1.58
weekend_evening,LSA10,LSA10_E_id4,4,0.0,900.0,37.0,36.0,144.0,2.64,11.48,7.05
weekend_evening,LSA10,LSA10_NE_id29,29,0.0,900.0,4.0,4.0,16.0,4.81,3.97,0.42
weekend_evening,LSA10,LSA10_NW_id2,2,0.0,900.0,22.0,22.0,88.0,0.9,13.29,13.21
weekend_evening,LSA10,LSA10_NW_id26,26,0.0,900.0,4.0,4.0,16.0,0.5,4.8,4.67
weekend_evening,LSA10,LSA10_NW_id27,27,0.0,900.0,18.0,18.0,72.0,11.62,7.12,0.87
weekend_evening,LSA10,LSA10_S_id31,31,0.0,900.0,21.0,21.0,84.0,17.76,4.35,0.6
weekend_evening,LSA10,LSA10_W_id1,1,0.0,900.0,81.0,81.0,324.0,13.33,11.35,3.1
weekend_evening,LSA10,LSA10_E_id3,3,900.0,1800.0,56.0,56.0,224.0,12.55,9.69,2.29
weekend_evening,LSA10,LSA10_E_id4,4,900.0,1800.0,39.0,37.0,148.0,7.17,10.19,2.98
weekend_evening,LSA10,LSA10_NE_id29,29,900.0,1800.0,5.0,5.0,20.0,0.51,5.27,5.26
weekend_evening,LSA10,LSA10_NW_id2,2,900.0,1800.0,17.0,17.0,68.0,0.66,13.06,13.02
weekend_evening,LSA10,LSA10_NW_id26,26,900.0,1800.0,12.0,12.0,48.0,17.25,4.21,0.35
weekend_evening,LSA10,LSA10_NW_id27,27,900.0,1800.0,5.0,5.0,20.0,2.53,3.94,1.0
weekend_evening,LSA10,LSA10_S_id31,31,900.0,1800.0,10.0,10.0,40.0,13.33,4.36,0.51
weekend_evening,LSA10,LSA10_W_id1,1,900.0,1800.0,97.0,97.0,388.0,10.9,10.76,4.57
weekend_evening,LSA10,LSA10_E_id3,3,1800.0,2700.0,58.0,58.0,232.0,13.64,8.47,2.2
weekend_evening,LSA10,LSA10_E_id4,4,1800.0,2700.0,40.0,39.0,156.0,3.4,11.43,6.23
weekend_evening,LSA10,LSA10_NE_id29,29,1800.0,2700.0,5.0,5.0,20.0,0.39,7.07,6.37
weekend_evening,LSA10,LSA10_NW_id2,2,1800.0,2700.0,20.0,20.0,80.0,0.76,13.56,13.49
weekend_evening,LSA10,LSA10_NW_id26,26,1800.0,2700.0,8.0,8.0,32.0,5.57,5.46,0.72
weekend_evening,LSA10,LSA10_NW_id27,27,1800.0,2700.0,12.0,12.0,48.0,8.24,4.45,0.84
weekend_evening,LSA10,LSA10_S_id31,31,1800.0,2700.0,14.0,14.0,56.0,5.45,4.37,1.3
weekend_evening,LSA10,LSA10_W_id1,1,1800.0,2700.0,113.0,113.0,452.0,41.26,9.03,1.52
weekend_evening,LSA10,LSA10_E_id3,3,2700.0,3600.0,58.0,58.0,232.0,3.68,11.26,8.85
weekend_evening,LSA10,LSA10_E_id4,4,2700.0,3600.0,42.0,41.0,164.0,4.77,11.45,4.85
weekend_evening,LSA10,LSA10_NE_id29,29,2700.0,3600.0,6.0,6.0,24.0,4.6,5.31,0.65
weekend_evening,LSA10,LSA10_NW_id2,2,2700.0,3600.0,28.0,28.0,112.0,1.22,13.32,13.19
weekend_evening,LSA10,LSA10_NW_id26,26,2700.0,3600.0,7.0,7.0,28.0,11.81,3.71,0.41
weekend_evening,LSA10,LSA10_NW_id27,27,2700.0,3600.0,21.0,21.0,84.0,16.7,5.76,0.73
weekend_evening,LSA10,LSA10_S_id31,31,2700.0,3600.0,12.0,11.0,44.0,17.47,4.28,0.58
weekend_evening,LSA10,LSA10_W_id1,1,2700.0,3600.0,108.0,108.0,432.0,13.63,11.43,4.82
weekend_evening,LSA10,LSA10_E_id3,3,3600.0,4500.0,53.0,53.0,212.0,9.5,11.01,3.31
weekend_evening,LSA10,LSA10_E_id4,4,3600.0,4500.0,42.0,42.0,168.0,3.18,11.69,6.69
weekend_evening,LSA10,LSA10_NE_id29,29,3600.0,4500.0,8.0,8.0,32.0,10.22,4.17,0.39
weekend_evening,LSA10,LSA10_NW_id2,2,3600.0,4500.0,18.0,18.0,72.0,0.9,12.58,11.53
weekend_evening,LSA10,LSA10_NW_id26,26,3600.0,4500.0,6.0,6.0,24.0,0.55,6.74,6.14
weekend_evening,LSA10,LSA10_NW_id27,27,3600.0,4500.0,12.0,12.0,48.0,5.22,5.18,1.2
weekend_evening,LSA10,LSA10_S_id31,31,3600.0,4500.0,13.0,14.0,56.0,10.81,3.65,0.71
weekend_evening,LSA10,LSA10_W_id1,1,3600.0,4500.0,77.0,77.0,308.0,9.64,9.8,4.21
