scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekend_morning,LSA16,LSA16_E_id10,10,0.0,900.0,30.0,30.0,120.0,5.15,10.21,4.71
weekend_morning,LSA16,LSA16_E_id11,11,0.0,900.0,20.0,20.0,80.0,4.87,9.08,2.06
weekend_morning,LSA16,LSA16_E_id14,14,0.0,900.0,20.0,20.0,80.0,0.77,13.23,13.17
weekend_morning,LSA16,LSA16_Eout_id13,13,0.0,900.0,74.0,74.0,296.0,3.28,12.88,12.58
weekend_morning,LSA16,LSA16_N_id6,6,0.0,900.0,15.0,15.0,60.0,0.59,13.21,13.14
weekend_morning,LSA16,LSA16_N_id7,7,0.0,900.0,15.0,15.0,60.0,0.62,13.55,13.48
weekend_morning,LSA16,LSA16_S_id1,1,0.0,900.0,33.0,33.0,132.0,7.09,10.61,2.35
weekend_morning,LSA16,LSA16_S_id2,2,0.0,900.0,29.0,29.0,116.0,1.27,13.17,12.93
weekend_morning,LSA16,LSA16_S_id33,33,0.0,900.0,13.0,13.0,52.0,0.63,12.76,12.59
weekend_morning,LSA16,LSA16_W_id3,3,0.0,900.0,41.0,41.0,164.0,47.41,6.78,0.5
weekend_morning,LSA16,LSA16_W_id4,4,0.0,900.0,6.0,6.0,24.0,17.15,1.84,0.19
weekend_morning,LSA16,LSA16_W_id5,5,0.0,900.0,41.0,41.0,164.0,9.58,10.19,2.53
weekend_morning,LSA16,LSA16_Wout_id15,15,0.0,900.0,41.0,41.0,164.0,1.61,13.62,13.56
weekend_morning,LSA16,LSA16_E_id10,10,900.0,1800.0,42.0,42.0,168.0,9.29,10.43,3.91
weekend_morning,LSA16,LSA16_E_id11,11,900.0,1800.0,30.0,30.0,120.0,5.06,9.17,4.18
weekend_morning,LSA16,LSA16_E_id14,14,900.0,1800.0,31.0,31.0,124.0,1.3,13.02,12.88
weekend_morning,LSA16,LSA16_Eout_id13,13,900.0,1800.0,79.0,79.0,316.0,6.42,12.0,6.63
weekend_morning,LSA16,LSA16_N_id6,6,900.0,1800.0,11.0,11.0,44.0,0.46,12.92,12.58
weekend_morning,LSA16,LSA16_N_id7,7,900.0,1800.0,17.0,17.0,68.0,0.7,12.92,12.89
weekend_morning,LSA16,LSA16_S_id1,1,900.0,1800.0,38.0,38.0,152.0,15.54,8.23,1.35
