scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekday_morning,LSA9,LSA9_E_id8,8,0.0,900.0,60.0,59.0,236.0,26.26,8.18,1.51
weekday_morning,LSA9,LSA9_E_id9,9,0.0,900.0,42.0,41.0,164.0,8.45,8.76,4.0
weekday_morning,LSA9,LSA9_S_id10,10,0.0,900.0,2.0,2.0,8.0,12.18,0.13,0.08
weekday_morning,LSA9,LSA9_WE_id4,4,0.0,900.0,9.0,9.0,36.0,27.47,3.15,0.16
weekday_morning,LSA9,LSA9_WE_id5,5,0.0,900.0,8.0,8.0,32.0,22.51,3.03,0.19
weekday_morning,LSA9,LSA9_WE_id6,6,0.0,900.0,9.0,9.0,36.0,2.73,9.08,2.04
weekday_morning,LSA9,LSA9_WE_id7,7,0.0,900.0,9.0,8.0,32.0,4.8,8.98,0.87
weekday_morning,LSA9,LSA9_W_id1,1,0.0,900.0,69.0,69.0,276.0,37.19,8.07,1.06
weekday_morning,LSA9,LSA9_W_id2,2,0.0,900.0,61.0,59.0,236.0,66.03,8.7,0.53
weekday_morning,LSA9,LSA9_E_id8,8,900.0,1800.0,85.0,84.0,336.0,35.9,7.77,1.36
weekday_morning,LSA9,LSA9_E_id9,9,900.0,1800.0,49.0,50.0,200.0,28.31,8.44,1.15
weekday_morning,LSA9,LSA9_S_id10,10,900.0,1800.0,1.0,1.0,4.0,10.16,0.05,0.05
weekday_morning,LSA9,LSA9_WE_id4,4,900.0,1800.0,10.0,9.0,36.0,29.49,2.72,0.19
weekday_morning,LSA9,LSA9_WE_id5,5,900.0,1800.0,13.0,12.0,48.0,31.53,4.03,0.2
weekday_morning,LSA9,LSA9_WE_id6,6,900.0,1800.0,7.0,7.0,28.0,0.49,10.2,9.4
weekday_morning,LSA9,LSA9_WE_id7,7,900.0,1800.0,16.0,16.0,64.0,0.85,10.62,9.89
weekday_morning,LSA9,LSA9_W_id1,1,900.0,1800.0,105.0,105.0,420.0,25.85,8.81,2.24
weekday_morning,LSA9,LSA9_W_id2,2,900.0,1800.0,70.0,70.0,280.0,50.74,6.95,0.78
weekday_morning,LSA9,LSA9_E_id8,8,1800.0,2700.0,85.0,82.0,328.0,35.06,8.33,1.55
weekday_morning,LSA9,LSA9_E_id9,9,1800.0,2700.0,59.0,59.0,236.0,11.07,8.95,2.72
weekday_morning,LSA9,LSA9_S_id10,10,1800.0,2700.0,1.0,1.0,4.0,0.06,8.41,8.41
weekday_morning,LSA9,LSA9_WE_id4,4,1800.0,2700.0,10.0,11.0,44.0,26.37,1.45,0.18
weekday_morning,LSA9,LSA9_WE_id5,5,1800.0,2700.0,12.0,11.0,44.0,26.6,3.98,0.24
weekday_morning,LSA9,LSA9_WE_id6,6,1800.0,2700.0,8.0,8.0,32.0,0.41,10.53,10.41
weekday_morning,LSA9,LSA9_WE_id7,7,1800.0,2700.0,12.0,12.0,48.0,0.69,11.24,10.85
weekday_morning,LSA9,LSA9_W_id1,1,1800.0,2700.0,84.0,83.0,332.0,25.39,8.64,1.76
weekday_morning,LSA9,LSA9_W_id2,2,1800.0,2700.0,71.0,72.0,288.0,57.26,7.43,0.71
weekday_morning,LSA9,LSA9_E_id8,8,2700.0,3600.0,80.0,78.0,312.0,31.88,8.13,1.36
weekday_morning,LSA9,LSA9_E_id9,9,2700.0,3600.0,53.0,53.0,212.0,9.95,7.92,3.19
weekday_morning,LSA9,LSA9_S_id10,10,2700.0,3600.0,2.0,2.0,8.0,9.88,2.29,0.1
weekday_morning,LSA9,LSA9_WE_id4,4,2700.0,3600.0,10.0,10.0,40.0,26.24,3.88,0.19
weekday_morning,LSA9,LSA9_WE_id5,5,2700.0,3600.0,17.0,17.0,68.0,37.19,5.53,0.25
weekday_morning,LSA9,LSA9_WE_id6,6,2700.0,3600.0,10.0,9.0,36.0,0.7,10.17,8.66
weekday_morning,LSA9,LSA9_WE_id7,7,2700.0,3600.0,18.0,18.0,72.0,3.92,10.35,2.35
weekday_morning,LSA9,LSA9_W_id1,1,2700.0,3600.0,62.0,63.0,252.0,8.85,10.97,3.59
weekday_morning,LSA9,LSA9_W_id2,2,2700.0,3600.0,66.0,62.0,248.0,43.26,8.27,1.05
weekday_morning,LSA9,LSA9_E_id8,8,3600.0,4500.0,80.0,77.0,308.0,15.18,8.26,3.38
weekday_morning,LSA9,LSA9_E_id9,9,3600.0,4500.0,50.0,50.0,200.0,15.5,8.62,1.83
weekday_morning,LSA9,LSA9_S_id10,10,3600.0,4500.0,5.0,4.0,16.0,18.73,1.3,0.13
weekday_morning,LSA9,LSA9_WE_id4,4,3600.0,4500.0,8.0,8.0,32.0,20.75,2.04,0.22
weekday_morning,LSA9,LSA9_WE_id5,5,3600.0,4500.0,16.0,15.0,60.0,28.48,2.78,0.28
weekday_morning,LSA9,LSA9_WE_id6,6,3600.0,4500.0,7.0,7.0,28.0,0.43,11.02,10.5
weekday_morning,LSA9,LSA9_WE_id7,7,3600.0,4500.0,17.0,17.0,68.0,1.49,9.27,6.91
weekday_morning,LSA9,LSA9_W_id1,1,3600.0,4500.0,69.0,69.0,276.0,19.57,7.96,2.12
weekday_morning,LSA9,LSA9_W_id2,2,3600.0,4500.0,61.0,59.0,236.0,43.2,7.04,0.78
