lsa,detector_id_real,approach,movement,signal_group
LSA16,4,west,left,K2
LSA16,3,west,straight,K2
LSA16,33,south,straight,K1
LSA16,2,south,straight,K1
LSA16,1,south,right,K1
LSA16,10,east,straight_right,K4
LSA16,11,east,left,K4
LSA16,6,north,right,K3
LSA16,7,north,straight,K3
LSA10,1,west,straight_right,K1
LSA10,31,south,multi_movement,K5
LSA10,3,east,straight_right,K4
LSA10,4,east,straight,K4
LSA10,29,north_east,right,K3
LSA10,27,north_west,left,K2
LSA10,26,north_west,straight_right,K2
LSA9,2,west,straight_left,K1
LSA9,1,west,straight_right,K1
LSA9,10,south,multi_movement,K4
LSA9,8,east,straight_right,K3
LSA9,9,east,straight,K3
LSA9,4,north_west,straight_right,K2
LSA9,5,north_west,movement,K2
LSA9,3,north_east,multi_movement,K2
LSA1,7,west,left,K1
LSA1,9,west,straight_right,K2
LSA1,11,south,straight_faulty,K3
LSA1,27,east,right,K6
LSA1,13,east,straight_right,K4
LSA1,23,east,straight,K4
LSA1,26,east,left,K5
LSA1,40,north,right,K8
LSA1,28,north,straight,K7
LSA1,30,north,left,K7
