scenario,lsa,approach,signal_group_x,sim_demand_vph,sim_capacity_vph,sim_v_c_ratio,signal_group_y,real_demand_vph,real_capacity_vph,real_v_c_ratio,v_c_diff,abs_error,percent_error
weekday_evening,LSA10,east,K4,481.0,750.0,0.6413333333333333,K4,483,761.0,0.63,0.011333333333333306,0.011333333333333306,1.7989417989417948
weekday_evening,LSA10,north_east,K3,28.0,278.5714285714285,0.1005128205128204,K3,23,300.5,0.08,0.0205128205128204,0.0205128205128204,25.6410256410255
weekday_evening,LSA10,north_west,K2,109.0,278.5714285714285,0.3912820512820513,K2,133,268.5,0.5,-0.10871794871794871,0.10871794871794871,21.74358974358974
weekday_evening,LSA10,south,K5,80.0,214.2857142857142,0.3733333333333334,K5,92,194.0,0.47,-0.09666666666666657,0.09666666666666657,20.567375886524804
weekday_evening,LSA10,west,K1,359.0,750.0,0.4786666666666667,K1,335,845.0,0.4,0.07866666666666666,0.07866666666666666,19.666666666666664
weekday_evening,LSA16,east,K4,570.0,1067.4418604651164,0.5339869281045752,K4,684,1034.0,0.66,-0.12601307189542488,0.12601307189542488,19.09288968112498
weekday_evening,LSA16,north,K3,223.0,460.4651162790698,0.4842929292929293,K3,255,446.5,0.57,-0.08570707070707068,0.08570707070707068,15.036328194222929
weekday_evening,LSA16,south,K1,306.0,460.4651162790698,0.6645454545454546,K1,408,446.5,0.91,-0.24545454545454548,0.24545454545454548,26.973026973026975
weekday_evening,LSA16,west,K2,266.0,502.3255813953487,0.5295370370370371,K2,338,474.5,0.71,-0.18046296296296283,0.18046296296296283,25.41731872717786
weekday_evening,LSA9,east,K3,505.0,525.5474452554744,0.960902777777778,K3,527,661.0,0.8,0.16090277777777795,0.16090277777777795,20.112847222222243
weekday_evening,LSA9,north_west,K2,157.0,302.1897810218978,0.5195410628019324,K2,19,293.0,0.06,0.45954106280193235,0.45954106280193235,765.9017713365539
weekday_evening,LSA9,south,K4,47.0,328.4671532846715,0.1430888888888888,K4,59,175.5,0.34,-0.19691111111111123,0.19691111111111123,57.9150326797386
weekday_evening,LSA9,west,K1,377.0,525.5474452554744,0.7173472222222224,K1,269,811.0,0.33,0.38734722222222234,0.38734722222222234,117.37794612794616
weekday_morning,LSA10,east,K4,363.0,774.4186046511627,0.4687387387387388,K4,367,812.5,0.45,0.01873873873873877,0.01873873873873877,4.164164164164172
weekday_morning,LSA10,north_east,K3,32.0,293.0232558139535,0.1092063492063491,K3,38,336.5,0.11,-0.0007936507936509019,0.0007936507936509019,0.7215007215008199
weekday_morning,LSA10,north_west,K2,94.0,293.0232558139535,0.3207936507936507,K2,94,294.5,0.32,0.0007936507936506798,0.0007936507936506798,0.24801587301583744
weekday_morning,LSA10,south,K5,51.0,188.37209302325567,0.2707407407407409,K5,79,175.5,0.45,-0.17925925925925912,0.17925925925925912,39.835390946502024
weekday_morning,LSA10,west,K1,468.0,774.4186046511627,0.6043243243243244,K1,317,846.5,0.37,0.23432432432432437,0.23432432432432437,63.33089846603362
weekday_morning,LSA16,east,K4,397.0,1055.1724137931033,0.3762418300653595,K4,381,1029.5,0.37,0.006241830065359499,0.006241830065359499,1.6869810987458107
weekday_morning,LSA16,north,K3,152.0,475.8620689655172,0.3194202898550725,K3,166,450.5,0.37,-0.050579710144927514,0.050579710144927514,13.67019193106149
weekday_morning,LSA16,south,K1,379.0,475.8620689655172,0.796449275362319,K1,443,450.5,0.98,-0.18355072463768096,0.18355072463768096,18.7296657793552
weekday_morning,LSA16,west,K2,347.0,558.6206896551724,0.6211728395061729,K2,362,534.5,0.68,-0.05882716049382719,0.05882716049382719,8.651053013798116
weekday_morning,LSA9,east,K3,541.0,416.6666666666665,1.2984000000000004,K3,510,643.0,0.79,0.5084000000000004,0.5084000000000004,64.35443037974689
weekday_morning,LSA9,north_west,K2,96.0,233.3333333333333,0.4114285714285716,K2,8,220.0,0.04,0.3714285714285716,0.3714285714285716,928.571428571429
weekday_morning,LSA9,south,K4,9.0,183.3333333333333,0.049090909090909,K4,12,171.0,0.07,-0.02090909090909101,0.02090909090909101,29.870129870130008
weekday_morning,LSA9,west,K1,588.0,700.0,0.84,K1,567,916.0,0.62,0.21999999999999997,0.21999999999999997,35.48387096774193
weekend_evening,LSA10,east,K4,388.0,889.8876404494382,0.436010101010101,K4,371,936.5,0.4,0.03601010101010099,0.03601010101010099,9.002525252525247
weekend_evening,LSA10,north_east,K3,24.0,262.9213483146066,0.0912820512820513,K3,14,294.0,0.05,0.0412820512820513,0.0412820512820513,82.5641025641026
weekend_evening,LSA10,north_west,K2,83.0,262.9213483146066,0.3156837606837608,K2,91,249.0,0.37,-0.05431623931623919,0.05431623931623919,14.680064680064648
weekend_evening,LSA10,south,K5,49.0,182.02247191011224,0.2691975308641977,K5,45,154.0,0.29,-0.020802469135802304,0.020802469135802304,7.1732652192421735
weekend_evening,LSA10,west,K1,395.0,889.8876404494382,0.4438762626262625,K1,240,944.0,0.25,0.1938762626262625,0.1938762626262625,77.55050505050501
weekend_evening,LSA16,east,K4,364.0,941.8604651162792,0.3864691358024691,K4,339,917.0,0.37,0.016469135802469115,0.016469135802469115,4.451117784451112
weekend_evening,LSA16,north,K3,177.0,586.046511627907,0.3020238095238094,K3,144,563.5,0.26,0.04202380952380941,0.04202380952380941,16.163003663003618
weekend_evening,LSA16,south,K1,329.0,586.046511627907,0.5613888888888889,K1,283,563.5,0.5,0.06138888888888894,0.06138888888888894,12.277777777777787
weekend_evening,LSA16,west,K2,269.0,523.2558139534883,0.5140888888888889,K2,274,504.0,0.54,-0.025911111111111107,0.025911111111111107,4.798353909465019
weekend_evening,LSA9,east,K3,522.0,938.1818181818182,0.5563953488372093,K3,492,828.0,0.59,-0.033604651162790655,0.033604651162790655,5.695703586913671
weekend_evening,LSA9,north_west,K2,96.0,349.09090909090907,0.275,K2,6,326.0,0.02,0.255,0.255,1275.0
weekend_evening,LSA9,south,K4,24.0,98.1818181818181,0.2444444444444446,K4,29,118.5,0.24,0.004444444444444612,0.004444444444444612,1.8518518518519218
weekend_evening,LSA9,west,K1,598.0,894.5454545454544,0.6684959349593497,K1,491,885.5,0.55,0.11849593495934962,0.11849593495934962,21.544715447154474
weekend_morning,LSA10,east,K4,320.0,861.7021276595746,0.371358024691358,K4,242,939.5,0.26,0.11135802469135797,0.11135802469135797,42.83000949667614
weekend_morning,LSA10,north_east,K3,30.0,306.3829787234042,0.0979166666666666,K3,22,361.0,0.06,0.0379166666666666,0.0379166666666666,63.19444444444433
weekend_morning,LSA10,north_west,K2,71.0,306.3829787234042,0.2317361111111111,K2,55,306.0,0.18,0.051736111111111094,0.051736111111111094,28.742283950617274
weekend_morning,LSA10,south,K5,48.0,191.48936170212755,0.2506666666666668,K5,42,146.5,0.29,-0.039333333333333165,0.039333333333333165,13.56321839080454
weekend_morning,LSA10,west,K1,302.0,861.7021276595746,0.3504691358024691,K1,176,903.5,0.19,0.16046913580246908,0.16046913580246908,84.45743989603636
weekend_morning,LSA16,east,K4,257.0,858.1395348837209,0.2994850948509485,K4,183,814.5,0.22,0.07948509485094848,0.07948509485094848,36.129588568612945
weekend_morning,LSA16,north,K3,134.0,669.767441860465,0.2000694444444444,K3,82,663.5,0.12,0.08006944444444442,0.08006944444444442,66.72453703703701
weekend_morning,LSA16,south,K1,308.0,669.767441860465,0.4598611111111111,K1,197,663.5,0.3,0.15986111111111112,0.15986111111111112,53.287037037037045
weekend_morning,LSA16,west,K2,205.0,523.2558139534883,0.3917777777777778,K2,120,499.5,0.24,0.1517777777777778,0.1517777777777778,63.240740740740755
weekend_morning,LSA9,east,K3,387.0,1028.5714285714284,0.37625,K3,317,955.5,0.33,0.04624999999999996,0.04624999999999996,14.015151515151503
weekend_morning,LSA9,north_west,K2,96.0,462.8571428571428,0.2074074074074073,K2,1,373.0,0.0,0.2074074074074073,0.2074074074074073,
weekend_morning,LSA9,south,K4,4.0,0.0,,K4,2,63.5,0.03,,,
weekend_morning,LSA9,west,K1,425.0,946.2857142857142,0.4491243961352657,K1,409,960.0,0.43,0.01912439613526573,0.01912439613526573,4.447533984945519
