scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent
weekday_evening,LSA1,east,K4,0.0,900.0,1,00-15,137.0,276.0,37.97,2,548.0
weekday_evening,LSA1,east,K4,900.0,1800.0,2,15-30,143.0,282.0,43.795,2,572.0
weekday_evening,LSA1,east,K4,1800.0,2700.0,3,30-45,133.0,262.0,38.485,2,532.0
weekday_evening,LSA1,east,K4,2700.0,3600.0,4,45-60,131.0,256.0,31.740000000000002,2,524.0
weekday_evening,LSA1,east,K5,0.0,900.0,1,00-15,40.0,164.0,15.25,1,160.0
weekday_evening,LSA1,east,K5,900.0,1800.0,2,15-30,37.0,148.0,12.32,1,148.0
weekday_evening,LSA1,east,K5,1800.0,2700.0,3,30-45,37.0,148.0,10.55,1,148.0
weekday_evening,LSA1,east,K5,2700.0,3600.0,4,45-60,37.0,144.0,9.38,1,148.0
weekday_evening,LSA1,east,K6,0.0,900.0,1,00-15,68.0,272.0,10.36,1,272.0
weekday_evening,LSA1,east,K6,900.0,1800.0,2,15-30,71.0,284.0,10.51,1,284.0
weekday_evening,LSA1,east,K6,1800.0,2700.0,3,30-45,70.0,280.0,10.73,1,280.0
weekday_evening,LSA1,east,K6,2700.0,3600.0,4,45-60,74.0,296.0,11.35,1,296.0
weekday_evening,LSA1,north,K7,0.0,900.0,1,00-15,100.0,204.0,54.135,2,400.0
weekday_evening,LSA1,north,K7,900.0,1800.0,2,15-30,92.0,182.0,51.015,2,368.0
weekday_evening,LSA1,north,K7,1800.0,2700.0,3,30-45,103.0,206.0,54.2,2,412.0
weekday_evening,LSA1,north,K7,2700.0,3600.0,4,45-60,100.0,200.0,46.815,2,400.0
weekday_evening,LSA1,north,K8,0.0,900.0,1,00-15,49.0,196.0,31.11,1,196.0
weekday_evening,LSA1,north,K8,900.0,1800.0,2,15-30,45.0,176.0,34.53,1,180.0
