scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,analysis_begin_s,analysis_end_s,bin_no,bin_label,approach,movement,signal_group
weekday_morning,LSA10,LSA10_E_id3,3,900.0,1800.0,37.0,37.0,148.0,2.55,11.23,8.34,0.0,900.0,1,00-15,east,straight_right,K4
weekday_morning,LSA10,LSA10_E_id4,4,900.0,1800.0,39.0,36.0,144.0,2.07,11.7,10.83,0.0,900.0,1,00-15,east,straight,K4
weekday_morning,LSA10,LSA10_NE_id29,29,900.0,1800.0,7.0,7.0,28.0,0.9,5.08,4.37,0.0,900.0,1,00-15,north_east,right,K3
weekday_morning,LSA10,LSA10_NW_id26,26,900.0,1800.0,5.0,5.0,20.0,1.94,7.27,1.29,0.0,900.0,1,00-15,north_west,straight_right,K2
weekday_morning,LSA10,LSA10_NW_id27,27,900.0,1800.0,18.0,18.0,72.0,12.66,5.04,0.77,0.0,900.0,1,00-15,north_west,left,K2
weekday_morning,LSA10,LSA10_S_id31,31,900.0,1800.0,18.0,18.0,72.0,17.17,4.07,0.53,0.0,900.0,1,00-15,south,multi_movement,K5
weekday_morning,LSA10,LSA10_W_id1,1,900.0,1800.0,131.0,131.0,524.0,45.2,9.02,1.59,0.0,900.0,1,00-15,west,straight_right,K1
weekday_morning,LSA16,LSA16_E_id10,10,900.0,1800.0,41.0,41.0,164.0,2.48,11.19,9.89,0.0,900.0,1,00-15,east,straight_right,K4
weekday_morning,LSA16,LSA16_E_id11,11,900.0,1800.0,39.0,39.0,156.0,3.85,9.53,5.89,0.0,900.0,1,00-15,east,left,K4
weekday_morning,LSA16,LSA16_N_id6,6,900.0,1800.0,18.0,18.0,72.0,4.25,10.5,2.13,0.0,900.0,1,00-15,north,right,K3
weekday_morning,LSA16,LSA16_N_id7,7,900.0,1800.0,17.0,17.0,68.0,0.86,12.64,12.44,0.0,900.0,1,00-15,north,straight,K3
weekday_morning,LSA16,LSA16_S_id1,1,900.0,1800.0,49.0,49.0,196.0,28.7,7.66,0.9,0.0,900.0,1,00-15,south,right,K1
weekday_morning,LSA16,LSA16_S_id2,2,900.0,1800.0,33.0,33.0,132.0,1.43,12.39,11.8,0.0,900.0,1,00-15,south,straight,K1
weekday_morning,LSA16,LSA16_S_id33,33,900.0,1800.0,25.0,25.0,100.0,1.26,11.65,10.88,0.0,900.0,1,00-15,south,straight,K1
weekday_morning,LSA16,LSA16_W_id3,3,900.0,1800.0,78.0,77.0,308.0,59.45,8.81,0.7,0.0,900.0,1,00-15,west,straight,K2
weekday_morning,LSA16,LSA16_W_id4,4,900.0,1800.0,14.0,13.0,52.0,21.18,6.43,0.33,0.0,900.0,1,00-15,west,left,K2
weekday_morning,LSA1,LSA1_E_id13,13,900.0,1800.0,43.0,43.0,172.0,41.36,7.23,0.58,0.0,900.0,1,00-15,east,straight_right,K4
weekday_morning,LSA1,LSA1_E_id23,23,900.0,1800.0,76.0,75.0,300.0,44.8,8.12,0.9,0.0,900.0,1,00-15,east,straight,K4
weekday_morning,LSA1,LSA1_E_id26,26,900.0,1800.0,40.0,40.0,160.0,3.59,7.35,5.81,0.0,900.0,1,00-15,east,left,K5
weekday_morning,LSA1,LSA1_E_id27,27,900.0,1800.0,78.0,78.0,312.0,11.87,9.22,3.64,0.0,900.0,1,00-15,east,right,K6
