scenario,lsa,approach,signal_group,analysis_begin_s,analysis_end_s,bin_no,bin_label,sim_count_15min,sim_flow_mean,sim_occupancy_mean,n_detectors_used,sim_count_hourly_equivalent,cycle_time_s,green_time_s,green_share,demand_vph,capacity_vph,v_c_ratio,status,comparison_note
weekday_evening,LSA1,east,K4,0.0,900.0,1,00-15,137.0,276.0,37.97,2,548.0,83.0,36.0,0.4337349397590361,548.0,780.7228915662649,0.7019135802469137,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K4,900.0,1800.0,2,15-30,143.0,282.0,43.795,2,572.0,83.0,36.0,0.4337349397590361,572.0,780.7228915662649,0.7326543209876545,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K4,1800.0,2700.0,3,30-45,133.0,262.0,38.485,2,532.0,83.0,36.0,0.4337349397590361,532.0,780.7228915662649,0.6814197530864199,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K4,2700.0,3600.0,4,45-60,131.0,256.0,31.74,2,524.0,83.0,36.0,0.4337349397590361,524.0,780.7228915662649,0.6711728395061729,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K5,0.0,900.0,1,00-15,40.0,164.0,15.25,1,160.0,83.0,11.0,0.1325301204819277,160.0,238.55421686746985,0.6707070707070708,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K5,900.0,1800.0,2,15-30,37.0,148.0,12.32,1,148.0,83.0,11.0,0.1325301204819277,148.0,238.55421686746985,0.6204040404040405,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K5,1800.0,2700.0,3,30-45,37.0,148.0,10.55,1,148.0,83.0,11.0,0.1325301204819277,148.0,238.55421686746985,0.6204040404040405,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K5,2700.0,3600.0,4,45-60,37.0,144.0,9.38,1,148.0,83.0,11.0,0.1325301204819277,148.0,238.55421686746985,0.6204040404040405,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K6,0.0,900.0,1,00-15,68.0,272.0,10.36,1,272.0,83.0,54.0,0.6506024096385542,272.0,1171.0843373493976,0.2322633744855967,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K6,900.0,1800.0,2,15-30,71.0,284.0,10.51,1,284.0,83.0,54.0,0.6506024096385542,284.0,1171.0843373493976,0.24251028806584363,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K6,1800.0,2700.0,3,30-45,70.0,280.0,10.73,1,280.0,83.0,54.0,0.6506024096385542,280.0,1171.0843373493976,0.23909465020576132,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K6,2700.0,3600.0,4,45-60,74.0,296.0,11.35,1,296.0,83.0,54.0,0.6506024096385542,296.0,1171.0843373493976,0.2527572016460905,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,north,K7,0.0,900.0,1,00-15,100.0,204.0,54.135,2,400.0,83.0,18.0,0.216867469879518,400.0,390.3614457831324,1.0246913580246917,over capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,north,K7,900.0,1800.0,2,15-30,92.0,182.0,51.015,2,368.0,83.0,18.0,0.216867469879518,368.0,390.3614457831324,0.9427160493827164,near capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,north,K7,1800.0,2700.0,3,30-45,103.0,206.0,54.2,2,412.0,83.0,18.0,0.216867469879518,412.0,390.3614457831324,1.0554320987654324,over capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,north,K7,2700.0,3600.0,4,45-60,100.0,200.0,46.815,2,400.0,83.0,18.0,0.216867469879518,400.0,390.3614457831324,1.0246913580246917,over capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,north,K8,0.0,900.0,1,00-15,49.0,196.0,31.11,1,196.0,83.0,29.0,0.3493975903614458,196.0,628.9156626506025,0.31164750957854404,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,north,K8,900.0,1800.0,2,15-30,45.0,176.0,34.53,1,180.0,83.0,29.0,0.3493975903614458,180.0,628.9156626506025,0.2862068965517241,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,north,K8,1800.0,2700.0,3,30-45,38.0,152.0,38.38,1,152.0,83.0,29.0,0.3493975903614458,152.0,628.9156626506025,0.24168582375478925,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,north,K8,2700.0,3600.0,4,45-60,56.0,224.0,41.72,1,224.0,83.0,29.0,0.3493975903614458,224.0,628.9156626506025,0.3561685823754789,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,south,K3,0.0,900.0,1,00-15,0.0,0.0,0.0,1,0.0,83.0,0.0,0.0,0.0,0.0,,not calculated,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,south,K3,900.0,1800.0,2,15-30,0.0,0.0,0.0,1,0.0,83.0,0.0,0.0,0.0,0.0,,not calculated,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,south,K3,1800.0,2700.0,3,30-45,0.0,0.0,0.0,1,0.0,83.0,0.0,0.0,0.0,0.0,,not calculated,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,south,K3,2700.0,3600.0,4,45-60,0.0,0.0,0.0,1,0.0,83.0,0.0,0.0,0.0,0.0,,not calculated,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,west,K1,0.0,900.0,1,00-15,49.0,192.0,71.72,1,196.0,83.0,11.0,0.1325301204819277,196.0,238.55421686746985,0.8216161616161617,below capacity,simulation-side only; no direct real saturation comparison
