scenario,lsa,approach,signal_group,total_sim_count_1h,mean_15min_count,max_15min_count,mean_demand_vph,max_demand_vph,cycle_time_s,green_time_s,green_share,capacity_vph,mean_v_c_ratio,max_v_c_ratio,n_bins,n_detectors_used,mean_status,max_status,comparison_note
weekday_evening,LSA1,east,K4,544.0,136.0,143.0,544.0,572.0,83.0,36.0,0.4337349397590361,780.7228915662649,0.6967901234567903,0.7326543209876545,4,2,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K5,151.0,37.75,40.0,151.0,160.0,83.0,11.0,0.1325301204819277,238.55421686746985,0.6329797979797981,0.6707070707070708,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,east,K6,283.0,70.75,74.0,283.0,296.0,83.0,54.0,0.6506024096385542,1171.0843373493976,0.241656378600823,0.2527572016460905,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,north,K7,395.0,98.75,103.0,395.0,412.0,83.0,18.0,0.216867469879518,390.3614457831324,1.011882716049383,1.0554320987654324,4,2,over capacity,over capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,north,K8,188.0,47.0,56.0,188.0,224.0,83.0,29.0,0.3493975903614458,628.9156626506025,0.29892720306513404,0.3561685823754789,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,south,K3,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,,,4,1,not calculated,not calculated,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,west,K1,122.0,30.5,49.0,122.0,196.0,83.0,11.0,0.1325301204819277,238.55421686746985,0.5114141414141414,0.8216161616161617,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA1,west,K2,284.0,71.0,79.0,284.0,316.0,83.0,36.0,0.4337349397590361,780.7228915662649,0.36376543209876544,0.4047530864197531,4,1,below capacity,below capacity,simulation-side only; no direct real saturation comparison
weekday_evening,LSA10,east,K4,481.0,120.25,132.0,481.0,528.0,84.0,35.0,0.4166666666666667,750.0,0.6413333333333333,0.704,4,2,below capacity,below capacity,usable for simulation saturation comparison
weekday_evening,LSA10,north_east,K3,28.0,7.0,12.0,28.0,48.0,84.0,13.0,0.1547619047619047,278.5714285714285,0.10051282051282047,0.1723076923076923,4,1,below capacity,below capacity,usable for simulation saturation comparison
