scenario,file_suffix,lsa,signal_group,tls_indices,cycle_time_s,green_time_s,green_share,tls_file_used
weekday_morning,morning,LSA16,K1,"3,4,5",87.0,23.0,0.26436781609195403,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_morning.xml
weekday_morning,morning,LSA16,K2,"7,8",87.0,27.0,0.3103448275862069,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_morning.xml
weekday_morning,morning,LSA16,K3,"9,10",87.0,23.0,0.26436781609195403,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_morning.xml
weekday_morning,morning,LSA16,K4,"0,1,2",87.0,51.0,0.5862068965517241,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9873_morning.xml
weekday_morning,morning,LSA10,K1,"8,9,10",86.0,37.0,0.43023255813953487,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_morning.xml
weekday_morning,morning,LSA10,K2,"11,12,13,14,15",86.0,14.0,0.16279069767441862,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_morning.xml
weekday_morning,morning,LSA10,K3,16,86.0,14.0,0.16279069767441862,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_morning.xml
weekday_morning,morning,LSA10,K4,"0,1,2,3",86.0,37.0,0.43023255813953487,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_morning.xml
weekday_morning,morning,LSA10,K5,"4,5,6,7",86.0,9.0,0.10465116279069768,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9876_morning.xml
weekday_morning,morning,LSA9,K1,"13,14,15,16,17",108.0,42.0,0.3888888888888889,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_morning.xml
weekday_morning,morning,LSA9,K2,"0,1,2,3,4,18,19,20,21",108.0,14.0,0.12962962962962962,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_morning.xml
weekday_morning,morning,LSA9,K3,"5,6,7,8",108.0,25.0,0.23148148148148148,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_morning.xml
weekday_morning,morning,LSA9,K4,"9,10,11,12",108.0,11.0,0.10185185185185185,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_LSA9_morning.xml
weekday_morning,morning,LSA1,K1,11,82.0,9.0,0.10975609756097561,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_morning.xml
weekday_morning,morning,LSA1,K2,"9,10",82.0,33.0,0.4024390243902439,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_morning.xml
weekday_morning,morning,LSA1,K3,,82.0,0.0,0.0,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_morning.xml
weekday_morning,morning,LSA1,K4,"4,5",82.0,33.0,0.4024390243902439,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_morning.xml
weekday_morning,morning,LSA1,K5,6,82.0,9.0,0.10975609756097561,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_morning.xml
weekday_morning,morning,LSA1,K6,3,82.0,55.0,0.6707317073170732,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_morning.xml
weekday_morning,morning,LSA1,K7,"1,2",82.0,22.0,0.2682926829268293,C:\Users\mogul\OneDrive\Masaüstü\mt_emre\digital_twin\simulation\tls_9869_morning.xml
