scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekday_evening,LSA10,LSA10_E_id3,3,0.0,900.0,40.0,40.0,160.0,9.64,10.37,2.11
weekday_evening,LSA10,LSA10_E_id4,4,0.0,900.0,50.0,50.0,200.0,9.54,10.72,2.64
weekday_evening,LSA10,LSA10_NE_id29,29,0.0,900.0,13.0,13.0,52.0,11.65,4.39,0.56
weekday_evening,LSA10,LSA10_NW_id2,2,0.0,900.0,28.0,28.0,112.0,1.26,13.23,12.95
weekday_evening,LSA10,LSA10_NW_id26,26,0.0,900.0,11.0,11.0,44.0,3.5,5.85,1.91
weekday_evening,LSA10,LSA10_NW_id27,27,0.0,900.0,17.0,17.0,68.0,17.65,4.71,0.6
weekday_evening,LSA10,LSA10_S_id31,31,0.0,900.0,18.0,17.0,68.0,20.11,3.47,0.51
weekday_evening,LSA10,LSA10_W_id1,1,0.0,900.0,86.0,86.0,344.0,29.13,8.23,1.56
weekday_evening,LSA16,LSA16_E_id10,10,0.0,900.0,61.0,61.0,244.0,4.87,10.26,6.44
weekday_evening,LSA16,LSA16_E_id11,11,0.0,900.0,47.0,47.0,188.0,3.1,11.43,8.09
weekday_evening,LSA16,LSA16_E_id14,14,0.0,900.0,47.0,47.0,188.0,1.88,12.99,12.91
weekday_evening,LSA16,LSA16_Eout_id13,13,0.0,900.0,86.0,86.0,344.0,17.81,10.12,2.62
weekday_evening,LSA16,LSA16_N_id6,6,0.0,900.0,42.0,41.0,164.0,15.39,9.36,2.08
weekday_evening,LSA16,LSA16_N_id7,7,0.0,900.0,33.0,33.0,132.0,1.99,12.21,9.88
weekday_evening,LSA16,LSA16_S_id1,1,0.0,900.0,36.0,35.0,140.0,19.65,7.47,0.94
weekday_evening,LSA16,LSA16_S_id2,2,0.0,900.0,26.0,26.0,104.0,1.18,13.15,13.04
weekday_evening,LSA16,LSA16_S_id33,33,0.0,900.0,13.0,12.0,48.0,0.56,13.05,12.95
weekday_evening,LSA16,LSA16_W_id3,3,0.0,900.0,53.0,53.0,212.0,52.63,7.59,0.51
weekday_evening,LSA16,LSA16_W_id4,4,0.0,900.0,13.0,13.0,52.0,11.74,8.49,0.56
weekday_evening,LSA16,LSA16_W_id5,5,0.0,900.0,53.0,53.0,212.0,12.87,9.93,2.23
weekday_evening,LSA16,LSA16_Wout_id15,15,0.0,900.0,91.0,91.0,364.0,3.78,13.3,13.25
weekday_evening,LSA1,LSA1_E_id13,13,0.0,900.0,54.0,49.0,196.0,33.23,8.83,0.88
weekday_evening,LSA1,LSA1_E_id14,14,0.0,900.0,146.0,143.0,572.0,19.1,9.94,4.33
weekday_evening,LSA1,LSA1_E_id23,23,0.0,900.0,62.0,61.0,244.0,37.27,7.83,0.9
weekday_evening,LSA1,LSA1_E_id24,24,0.0,900.0,50.0,50.0,200.0,9.02,9.31,3.32
weekday_evening,LSA1,LSA1_E_id25,25,0.0,900.0,44.0,44.0,176.0,73.55,4.66,0.3
weekday_evening,LSA1,LSA1_E_id26,26,0.0,900.0,46.0,45.0,180.0,30.1,6.6,0.82
weekday_evening,LSA1,LSA1_E_id27,27,0.0,900.0,79.0,79.0,316.0,13.96,9.04,2.97
weekday_evening,LSA1,LSA1_N_id28,28,0.0,900.0,18.0,17.0,68.0,38.64,4.73,0.22
weekday_evening,LSA1,LSA1_N_id30,30,0.0,900.0,79.0,78.0,312.0,72.78,7.85,0.58
weekday_evening,LSA1,LSA1_N_id39,39,0.0,900.0,79.0,79.0,316.0,30.02,8.69,1.35
weekday_evening,LSA1,LSA1_N_id40,40,0.0,900.0,45.0,45.0,180.0,38.63,7.34,0.62
weekday_evening,LSA1,LSA1_S_id11,11,0.0,900.0,0.0,0.0,0.0,0.0,-1.0,-1.0
