scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekday_morning,LSA10,LSA10_E_id3,3,0.0,900.0,30.0,30.0,120.0,8.86,9.48,1.75
weekday_morning,LSA10,LSA10_E_id4,4,0.0,900.0,35.0,35.0,140.0,4.04,11.31,5.08
weekday_morning,LSA10,LSA10_NE_id29,29,0.0,900.0,10.0,10.0,40.0,5.38,4.65,0.95
weekday_morning,LSA10,LSA10_NW_id2,2,0.0,900.0,27.0,27.0,108.0,1.12,13.25,13.13
weekday_morning,LSA10,LSA10_NW_id26,26,0.0,900.0,9.0,9.0,36.0,8.02,5.66,1.11
weekday_morning,LSA10,LSA10_NW_id27,27,0.0,900.0,18.0,18.0,72.0,17.92,5.03,0.53
weekday_morning,LSA10,LSA10_S_id31,31,0.0,900.0,16.0,16.0,64.0,19.54,3.51,0.47
weekday_morning,LSA10,LSA10_W_id1,1,0.0,900.0,112.0,112.0,448.0,42.5,8.81,1.46
weekday_morning,LSA16,LSA16_E_id10,10,0.0,900.0,41.0,41.0,164.0,2.03,11.46,10.72
weekday_morning,LSA16,LSA16_E_id11,11,0.0,900.0,36.0,36.0,144.0,3.01,10.64,6.16
weekday_morning,LSA16,LSA16_E_id14,14,0.0,900.0,39.0,38.0,152.0,1.56,13.22,13.14
weekday_morning,LSA16,LSA16_Eout_id13,13,0.0,900.0,112.0,112.0,448.0,23.39,9.77,2.51
weekday_morning,LSA16,LSA16_N_id6,6,0.0,900.0,22.0,22.0,88.0,2.69,10.84,4.18
weekday_morning,LSA16,LSA16_N_id7,7,0.0,900.0,29.0,29.0,116.0,1.67,11.27,10.54
weekday_morning,LSA16,LSA16_S_id1,1,0.0,900.0,42.0,42.0,168.0,21.57,8.07,1.1
weekday_morning,LSA16,LSA16_S_id2,2,0.0,900.0,34.0,34.0,136.0,1.49,12.5,11.84
weekday_morning,LSA16,LSA16_S_id33,33,0.0,900.0,20.0,20.0,80.0,2.12,11.38,4.93
weekday_morning,LSA16,LSA16_W_id3,3,0.0,900.0,76.0,76.0,304.0,63.55,8.01,0.68
weekday_morning,LSA16,LSA16_W_id4,4,0.0,900.0,5.0,5.0,20.0,10.81,3.74,0.23
weekday_morning,LSA16,LSA16_W_id5,5,0.0,900.0,78.0,78.0,312.0,28.56,8.62,1.58
weekday_morning,LSA16,LSA16_Wout_id15,15,0.0,900.0,55.0,55.0,220.0,2.19,13.48,13.45
weekday_morning,LSA1,LSA1_E_id13,13,0.0,900.0,36.0,35.0,140.0,37.78,7.24,0.55
weekday_morning,LSA1,LSA1_E_id14,14,0.0,900.0,101.0,98.0,392.0,15.65,10.13,3.4
weekday_morning,LSA1,LSA1_E_id23,23,0.0,900.0,57.0,55.0,220.0,33.88,8.83,1.04
weekday_morning,LSA1,LSA1_E_id24,24,0.0,900.0,57.0,57.0,228.0,7.84,9.86,4.28
weekday_morning,LSA1,LSA1_E_id25,25,0.0,900.0,40.0,39.0,156.0,67.49,4.56,0.33
weekday_morning,LSA1,LSA1_E_id26,26,0.0,900.0,42.0,42.0,168.0,15.45,7.43,1.53
weekday_morning,LSA1,LSA1_E_id27,27,0.0,900.0,57.0,57.0,228.0,8.1,9.16,3.61
weekday_morning,LSA1,LSA1_N_id28,28,0.0,900.0,24.0,23.0,92.0,43.84,5.85,0.3
weekday_morning,LSA1,LSA1_N_id30,30,0.0,900.0,77.0,76.0,304.0,65.08,8.27,0.62
weekday_morning,LSA1,LSA1_N_id39,39,0.0,900.0,77.0,77.0,308.0,18.74,9.34,2.09
weekday_morning,LSA1,LSA1_N_id40,40,0.0,900.0,20.0,20.0,80.0,16.79,8.27,0.61
weekday_morning,LSA1,LSA1_S_id11,11,0.0,900.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_morning,LSA1,LSA1_S_id12,12,0.0,900.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_morning,LSA1,LSA1_W_id10,10,0.0,900.0,70.0,69.0,276.0,38.86,8.17,0.94
weekday_morning,LSA1,LSA1_W_id7,7,0.0,900.0,33.0,32.0,128.0,54.65,5.52,0.37
weekday_morning,LSA1,LSA1_W_id8,8,0.0,900.0,34.0,33.0,132.0,34.53,5.32,0.66
weekday_morning,LSA1,LSA1_W_id9,9,0.0,900.0,68.0,67.0,268.0,45.67,8.26,0.8
weekday_morning,LSA9,LSA9_E_id8,8,0.0,900.0,60.0,59.0,236.0,26.26,8.18,1.51
weekday_morning,LSA9,LSA9_E_id9,9,0.0,900.0,42.0,41.0,164.0,8.45,8.76,4.0
weekday_morning,LSA9,LSA9_S_id10,10,0.0,900.0,2.0,2.0,8.0,12.18,0.13,0.08
weekday_morning,LSA9,LSA9_WE_id4,4,0.0,900.0,9.0,9.0,36.0,27.47,3.15,0.16
weekday_morning,LSA9,LSA9_WE_id5,5,0.0,900.0,8.0,8.0,32.0,22.51,3.03,0.19
weekday_morning,LSA9,LSA9_WE_id6,6,0.0,900.0,9.0,9.0,36.0,2.73,9.08,2.04
weekday_morning,LSA9,LSA9_WE_id7,7,0.0,900.0,9.0,8.0,32.0,4.8,8.98,0.87
weekday_morning,LSA9,LSA9_W_id1,1,0.0,900.0,69.0,69.0,276.0,37.19,8.07,1.06
weekday_morning,LSA9,LSA9_W_id2,2,0.0,900.0,61.0,59.0,236.0,66.03,8.7,0.53
weekday_morning,LSA10,LSA10_E_id3,3,900.0,1800.0,37.0,37.0,148.0,2.55,11.23,8.34
weekday_morning,LSA10,LSA10_E_id4,4,900.0,1800.0,39.0,36.0,144.0,2.07,11.7,10.83
weekday_morning,LSA10,LSA10_NE_id29,29,900.0,1800.0,7.0,7.0,28.0,0.9,5.08,4.37
weekday_morning,LSA10,LSA10_NW_id2,2,900.0,1800.0,23.0,23.0,92.0,0.9,13.88,13.82
weekday_morning,LSA10,LSA10_NW_id26,26,900.0,1800.0,5.0,5.0,20.0,1.94,7.27,1.29
weekday_morning,LSA10,LSA10_NW_id27,27,900.0,1800.0,18.0,18.0,72.0,12.66,5.04,0.77
weekday_morning,LSA10,LSA10_S_id31,31,900.0,1800.0,18.0,18.0,72.0,17.17,4.07,0.53
weekday_morning,LSA10,LSA10_W_id1,1,900.0,1800.0,131.0,131.0,524.0,45.2,9.02,1.59
weekday_morning,LSA16,LSA16_E_id10,10,900.0,1800.0,41.0,41.0,164.0,2.48,11.19,9.89
weekday_morning,LSA16,LSA16_E_id11,11,900.0,1800.0,39.0,39.0,156.0,3.85,9.53,5.89
weekday_morning,LSA16,LSA16_E_id14,14,900.0,1800.0,39.0,39.0,156.0,1.67,13.32,13.27
weekday_morning,LSA16,LSA16_Eout_id13,13,900.0,1800.0,131.0,131.0,524.0,37.16,9.05,1.97
weekday_morning,LSA16,LSA16_N_id6,6,900.0,1800.0,18.0,18.0,72.0,4.25,10.5,2.13
weekday_morning,LSA16,LSA16_N_id7,7,900.0,1800.0,17.0,17.0,68.0,0.86,12.64,12.44
weekday_morning,LSA16,LSA16_S_id1,1,900.0,1800.0,49.0,49.0,196.0,28.7,7.66,0.9
weekday_morning,LSA16,LSA16_S_id2,2,900.0,1800.0,33.0,33.0,132.0,1.43,12.39,11.8
weekday_morning,LSA16,LSA16_S_id33,33,900.0,1800.0,25.0,25.0,100.0,1.26,11.65,10.88
weekday_morning,LSA16,LSA16_W_id3,3,900.0,1800.0,78.0,77.0,308.0,59.45,8.81,0.7
weekday_morning,LSA16,LSA16_W_id4,4,900.0,1800.0,14.0,13.0,52.0,21.18,6.43,0.33
weekday_morning,LSA16,LSA16_W_id5,5,900.0,1800.0,76.0,76.0,304.0,22.9,9.11,2.07
weekday_morning,LSA16,LSA16_Wout_id15,15,900.0,1800.0,50.0,50.0,200.0,2.12,13.22,13.18
weekday_morning,LSA1,LSA1_E_id13,13,900.0,1800.0,43.0,43.0,172.0,41.36,7.23,0.58
weekday_morning,LSA1,LSA1_E_id14,14,900.0,1800.0,126.0,123.0,492.0,16.23,9.95,5.56
weekday_morning,LSA1,LSA1_E_id23,23,900.0,1800.0,76.0,75.0,300.0,44.8,8.12,0.9
weekday_morning,LSA1,LSA1_E_id24,24,900.0,1800.0,72.0,71.0,284.0,6.22,9.06,6.62
weekday_morning,LSA1,LSA1_E_id25,25,900.0,1800.0,39.0,39.0,156.0,78.51,4.56,0.27
weekday_morning,LSA1,LSA1_E_id26,26,900.0,1800.0,40.0,40.0,160.0,3.59,7.35,5.81
weekday_morning,LSA1,LSA1_E_id27,27,900.0,1800.0,78.0,78.0,312.0,11.87,9.22,3.64
weekday_morning,LSA1,LSA1_N_id28,28,900.0,1800.0,16.0,17.0,68.0,25.39,5.94,0.34
weekday_morning,LSA1,LSA1_N_id30,30,900.0,1800.0,68.0,68.0,272.0,62.36,8.08,0.59
weekday_morning,LSA1,LSA1_N_id39,39,900.0,1800.0,69.0,69.0,276.0,18.62,9.83,1.88
weekday_morning,LSA1,LSA1_N_id40,40,900.0,1800.0,22.0,21.0,84.0,22.81,5.68,0.47
weekday_morning,LSA1,LSA1_S_id11,11,900.0,1800.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_morning,LSA1,LSA1_S_id12,12,900.0,1800.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekday_morning,LSA1,LSA1_W_id10,10,900.0,1800.0,80.0,80.0,320.0,23.82,8.39,1.87
weekday_morning,LSA1,LSA1_W_id7,7,900.0,1800.0,47.0,47.0,188.0,79.65,5.69,0.31
weekday_morning,LSA1,LSA1_W_id8,8,900.0,1800.0,48.0,48.0,192.0,65.44,5.11,0.45
weekday_morning,LSA1,LSA1_W_id9,9,900.0,1800.0,80.0,80.0,320.0,47.49,8.23,0.99
weekday_morning,LSA9,LSA9_E_id8,8,900.0,1800.0,85.0,84.0,336.0,35.9,7.77,1.36
weekday_morning,LSA9,LSA9_E_id9,9,900.0,1800.0,49.0,50.0,200.0,28.31,8.44,1.15
weekday_morning,LSA9,LSA9_S_id10,10,900.0,1800.0,1.0,1.0,4.0,10.16,0.05,0.05
weekday_morning,LSA9,LSA9_WE_id4,4,900.0,1800.0,10.0,9.0,36.0,29.49,2.72,0.19
weekday_morning,LSA9,LSA9_WE_id5,5,900.0,1800.0,13.0,12.0,48.0,31.53,4.03,0.2
weekday_morning,LSA9,LSA9_WE_id6,6,900.0,1800.0,7.0,7.0,28.0,0.49,10.2,9.4
weekday_morning,LSA9,LSA9_WE_id7,7,900.0,1800.0,16.0,16.0,64.0,0.85,10.62,9.89
weekday_morning,LSA9,LSA9_W_id1,1,900.0,1800.0,105.0,105.0,420.0,25.85,8.81,2.24
weekday_morning,LSA9,LSA9_W_id2,2,900.0,1800.0,70.0,70.0,280.0,50.74,6.95,0.78
weekday_morning,LSA10,LSA10_E_id3,3,1800.0,2700.0,42.0,42.0,168.0,3.4,10.84,7.1
weekday_morning,LSA10,LSA10_E_id4,4,1800.0,2700.0,53.0,53.0,212.0,10.39,11.22,2.64
weekday_morning,LSA10,LSA10_NE_id29,29,1800.0,2700.0,7.0,7.0,28.0,4.73,5.09,0.74
weekday_morning,LSA10,LSA10_NW_id2,2,1800.0,2700.0,28.0,28.0,112.0,1.33,12.98,12.92
weekday_morning,LSA10,LSA10_NW_id26,26,1800.0,2700.0,9.0,9.0,36.0,3.07,5.78,1.82
weekday_morning,LSA10,LSA10_NW_id27,27,1800.0,2700.0,19.0,19.0,76.0,20.91,4.79,0.56
weekday_morning,LSA10,LSA10_S_id31,31,1800.0,2700.0,8.0,8.0,32.0,0.86,5.44,5.09
weekday_morning,LSA10,LSA10_W_id1,1,1800.0,2700.0,126.0,126.0,504.0,31.56,8.88,2.03
weekday_morning,LSA16,LSA16_E_id10,10,1800.0,2700.0,51.0,51.0,204.0,7.25,9.72,3.98
weekday_morning,LSA16,LSA16_E_id11,11,1800.0,2700.0,49.0,49.0,196.0,11.2,7.7,2.21
weekday_morning,LSA16,LSA16_E_id14,14,1800.0,2700.0,51.0,51.0,204.0,1.97,13.35,13.3
weekday_morning,LSA16,LSA16_Eout_id13,13,1800.0,2700.0,126.0,126.0,504.0,18.59,9.66,3.5
weekday_morning,LSA16,LSA16_N_id6,6,1800.0,2700.0,13.0,13.0,52.0,0.55,11.97,11.75
weekday_morning,LSA16,LSA16_N_id7,7,1800.0,2700.0,14.0,14.0,56.0,0.55,13.62,13.54
weekday_morning,LSA16,LSA16_S_id1,1,1800.0,2700.0,39.0,39.0,156.0,24.88,7.34,0.98
weekday_morning,LSA16,LSA16_S_id2,2,1800.0,2700.0,31.0,31.0,124.0,1.29,12.87,12.67
weekday_morning,LSA16,LSA16_S_id33,33,1800.0,2700.0,19.0,19.0,76.0,0.85,12.98,12.77
weekday_morning,LSA16,LSA16_W_id3,3,1800.0,2700.0,86.0,86.0,344.0,65.08,9.05,0.75
weekday_morning,LSA16,LSA16_W_id4,4,1800.0,2700.0,14.0,14.0,56.0,26.32,5.86,0.27
weekday_morning,LSA16,LSA16_W_id5,5,1800.0,2700.0,88.0,88.0,352.0,18.97,8.99,2.36
weekday_morning,LSA16,LSA16_Wout_id15,15,1800.0,2700.0,53.0,53.0,212.0,2.09,13.41,13.37
weekday_morning,LSA1,LSA1_E_id13,13,1800.0,2700.0,56.0,56.0,224.0,43.13,8.34,0.69
weekday_morning,LSA1,LSA1_E_id14,14,1800.0,2700.0,127.0,124.0,496.0,17.13,10.07,3.69
weekday_morning,LSA1,LSA1_E_id23,23,1800.0,2700.0,63.0,61.0,244.0,38.64,8.51,0.83
weekday_morning,LSA1,LSA1_E_id24,24,1800.0,2700.0,62.0,61.0,244.0,10.11,9.55,3.77
weekday_morning,LSA1,LSA1_E_id25,25,1800.0,2700.0,36.0,37.0,148.0,82.76,4.37,0.24
weekday_morning,LSA1,LSA1_E_id26,26,1800.0,2700.0,33.0,33.0,132.0,11.17,7.22,1.51
weekday_morning,LSA1,LSA1_E_id27,27,1800.0,2700.0,70.0,70.0,280.0,8.19,9.94,4.6
weekday_morning,LSA1,LSA1_N_id28,28,1800.0,2700.0,17.0,17.0,68.0,19.11,6.62,0.45
weekday_morning,LSA1,LSA1_N_id30,30,1800.0,2700.0,71.0,71.0,284.0,62.01,7.74,0.62
