scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekend_evening,LSA10,LSA10_E_id3,3,0.0,900.0,60.0,60.0,240.0,20.35,9.49,1.58
weekend_evening,LSA10,LSA10_E_id4,4,0.0,900.0,37.0,36.0,144.0,2.64,11.48,7.05
weekend_evening,LSA10,LSA10_NE_id29,29,0.0,900.0,4.0,4.0,16.0,4.81,3.97,0.42
weekend_evening,LSA10,LSA10_NW_id2,2,0.0,900.0,22.0,22.0,88.0,0.9,13.29,13.21
weekend_evening,LSA10,LSA10_NW_id26,26,0.0,900.0,4.0,4.0,16.0,0.5,4.8,4.67
weekend_evening,LSA10,LSA10_NW_id27,27,0.0,900.0,18.0,18.0,72.0,11.62,7.12,0.87
weekend_evening,LSA10,LSA10_S_id31,31,0.0,900.0,21.0,21.0,84.0,17.76,4.35,0.6
weekend_evening,LSA10,LSA10_W_id1,1,0.0,900.0,81.0,81.0,324.0,13.33,11.35,3.1
weekend_evening,LSA16,LSA16_E_id10,10,0.0,900.0,57.0,57.0,228.0,6.39,11.2,4.6
weekend_evening,LSA16,LSA16_E_id11,11,0.0,900.0,25.0,25.0,100.0,6.46,8.74,1.98
weekend_evening,LSA16,LSA16_E_id14,14,0.0,900.0,27.0,27.0,108.0,1.1,13.03,12.98
weekend_evening,LSA16,LSA16_Eout_id13,13,0.0,900.0,81.0,81.0,324.0,3.35,13.04,12.99
weekend_evening,LSA16,LSA16_N_id6,6,0.0,900.0,32.0,32.0,128.0,11.06,9.47,2.07
weekend_evening,LSA16,LSA16_N_id7,7,0.0,900.0,27.0,27.0,108.0,1.17,12.91,12.7
weekend_evening,LSA16,LSA16_S_id1,1,0.0,900.0,37.0,37.0,148.0,12.5,9.17,1.6
weekend_evening,LSA16,LSA16_S_id2,2,0.0,900.0,27.0,27.0,108.0,1.16,12.59,12.11
weekend_evening,LSA16,LSA16_S_id33,33,0.0,900.0,15.0,15.0,60.0,0.72,11.93,10.79
weekend_evening,LSA16,LSA16_W_id3,3,0.0,900.0,47.0,47.0,188.0,52.78,6.91,0.49
weekend_evening,LSA16,LSA16_W_id4,4,0.0,900.0,3.0,3.0,12.0,7.5,1.79,0.24
weekend_evening,LSA16,LSA16_W_id5,5,0.0,900.0,47.0,47.0,188.0,7.45,9.08,3.3
weekend_evening,LSA16,LSA16_Wout_id15,15,0.0,900.0,76.0,76.0,304.0,3.12,13.16,13.1
weekend_evening,LSA1,LSA1_E_id13,13,0.0,900.0,38.0,37.0,148.0,32.1,7.34,0.71
weekend_evening,LSA1,LSA1_E_id14,14,0.0,900.0,76.0,74.0,296.0,6.42,10.81,6.13
weekend_evening,LSA1,LSA1_E_id23,23,0.0,900.0,55.0,52.0,208.0,32.34,8.5,1.19
weekend_evening,LSA1,LSA1_E_id24,24,0.0,900.0,56.0,56.0,224.0,10.94,10.05,2.76
weekend_evening,LSA1,LSA1_E_id25,25,0.0,900.0,19.0,19.0,76.0,41.94,2.88,0.24
weekend_evening,LSA1,LSA1_E_id26,26,0.0,900.0,19.0,19.0,76.0,1.4,9.7,7.03
weekend_evening,LSA1,LSA1_E_id27,27,0.0,900.0,38.0,38.0,152.0,4.14,9.93,4.85
weekend_evening,LSA1,LSA1_N_id28,28,0.0,900.0,11.0,11.0,44.0,19.51,3.71,0.28
weekend_evening,LSA1,LSA1_N_id30,30,0.0,900.0,44.0,43.0,172.0,50.11,6.84,0.5
weekend_evening,LSA1,LSA1_N_id39,39,0.0,900.0,44.0,44.0,176.0,3.08,11.14,7.75
weekend_evening,LSA1,LSA1_N_id40,40,0.0,900.0,23.0,23.0,92.0,19.46,7.59,0.59
weekend_evening,LSA1,LSA1_S_id11,11,0.0,900.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_evening,LSA1,LSA1_S_id12,12,0.0,900.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_evening,LSA1,LSA1_W_id10,10,0.0,900.0,90.0,89.0,356.0,40.45,7.94,1.33
weekend_evening,LSA1,LSA1_W_id7,7,0.0,900.0,30.0,30.0,120.0,63.94,5.64,0.24
weekend_evening,LSA1,LSA1_W_id8,8,0.0,900.0,30.0,30.0,120.0,30.72,6.49,0.57
weekend_evening,LSA1,LSA1_W_id9,9,0.0,900.0,88.0,87.0,348.0,51.58,8.28,0.99
weekend_evening,LSA9,LSA9_E_id8,8,0.0,900.0,73.0,73.0,292.0,5.12,11.01,7.82
weekend_evening,LSA9,LSA9_E_id9,9,0.0,900.0,37.0,37.0,148.0,1.87,12.06,10.61
weekend_evening,LSA9,LSA9_S_id10,10,0.0,900.0,11.0,11.0,44.0,42.82,3.8,0.13
weekend_evening,LSA9,LSA9_WE_id4,4,0.0,900.0,9.0,8.0,32.0,20.27,2.67,0.25
weekend_evening,LSA9,LSA9_WE_id5,5,0.0,900.0,12.0,9.0,36.0,21.06,5.95,0.38
weekend_evening,LSA9,LSA9_WE_id6,6,0.0,900.0,8.0,7.0,28.0,0.36,11.52,11.09
weekend_evening,LSA9,LSA9_WE_id7,7,0.0,900.0,12.0,12.0,48.0,0.66,10.91,9.67
weekend_evening,LSA9,LSA9_W_id1,1,0.0,900.0,81.0,81.0,324.0,17.16,9.14,2.43
weekend_evening,LSA9,LSA9_W_id2,2,0.0,900.0,53.0,53.0,212.0,54.36,6.62,0.51
weekend_evening,LSA10,LSA10_E_id3,3,900.0,1800.0,56.0,56.0,224.0,12.55,9.69,2.29
weekend_evening,LSA10,LSA10_E_id4,4,900.0,1800.0,39.0,37.0,148.0,7.17,10.19,2.98
weekend_evening,LSA10,LSA10_NE_id29,29,900.0,1800.0,5.0,5.0,20.0,0.51,5.27,5.26
weekend_evening,LSA10,LSA10_NW_id2,2,900.0,1800.0,17.0,17.0,68.0,0.66,13.06,13.02
weekend_evening,LSA10,LSA10_NW_id26,26,900.0,1800.0,12.0,12.0,48.0,17.25,4.21,0.35
weekend_evening,LSA10,LSA10_NW_id27,27,900.0,1800.0,5.0,5.0,20.0,2.53,3.94,1.0
weekend_evening,LSA10,LSA10_S_id31,31,900.0,1800.0,10.0,10.0,40.0,13.33,4.36,0.51
weekend_evening,LSA10,LSA10_W_id1,1,900.0,1800.0,97.0,97.0,388.0,10.9,10.76,4.57
weekend_evening,LSA16,LSA16_E_id10,10,900.0,1800.0,58.0,58.0,232.0,15.6,8.68,1.94
weekend_evening,LSA16,LSA16_E_id11,11,900.0,1800.0,37.0,37.0,148.0,17.31,7.29,1.15
weekend_evening,LSA16,LSA16_E_id14,14,900.0,1800.0,36.0,35.0,140.0,1.56,12.89,12.83
weekend_evening,LSA16,LSA16_Eout_id13,13,900.0,1800.0,97.0,97.0,388.0,4.44,12.25,11.54
weekend_evening,LSA16,LSA16_N_id6,6,900.0,1800.0,17.0,17.0,68.0,0.81,11.96,11.83
weekend_evening,LSA16,LSA16_N_id7,7,900.0,1800.0,19.0,19.0,76.0,0.75,12.98,12.8
weekend_evening,LSA16,LSA16_S_id1,1,900.0,1800.0,48.0,48.0,192.0,19.58,8.52,1.38
weekend_evening,LSA16,LSA16_S_id2,2,900.0,1800.0,27.0,27.0,108.0,1.1,13.22,13.08
weekend_evening,LSA16,LSA16_S_id33,33,900.0,1800.0,10.0,10.0,40.0,0.48,12.5,12.3
weekend_evening,LSA16,LSA16_W_id3,3,900.0,1800.0,47.0,46.0,184.0,60.48,7.58,0.42
weekend_evening,LSA16,LSA16_W_id4,4,900.0,1800.0,8.0,8.0,32.0,7.47,6.1,0.6
weekend_evening,LSA16,LSA16_W_id5,5,900.0,1800.0,50.0,49.0,196.0,7.44,10.2,4.53
weekend_evening,LSA16,LSA16_Wout_id15,15,900.0,1800.0,57.0,57.0,228.0,2.37,12.99,12.94
weekend_evening,LSA1,LSA1_E_id13,13,900.0,1800.0,43.0,43.0,172.0,38.97,7.03,0.66
weekend_evening,LSA1,LSA1_E_id14,14,900.0,1800.0,86.0,85.0,340.0,9.56,10.57,5.05
weekend_evening,LSA1,LSA1_E_id23,23,900.0,1800.0,59.0,58.0,232.0,33.36,8.39,0.96
weekend_evening,LSA1,LSA1_E_id24,24,900.0,1800.0,61.0,59.0,236.0,9.82,9.37,3.43
weekend_evening,LSA1,LSA1_E_id25,25,900.0,1800.0,30.0,30.0,120.0,49.59,3.83,0.32
weekend_evening,LSA1,LSA1_E_id26,26,900.0,1800.0,30.0,30.0,120.0,7.37,8.68,2.54
weekend_evening,LSA1,LSA1_E_id27,27,900.0,1800.0,42.0,42.0,168.0,6.76,9.58,3.65
weekend_evening,LSA1,LSA1_N_id28,28,900.0,1800.0,12.0,12.0,48.0,19.82,4.24,0.34
weekend_evening,LSA1,LSA1_N_id30,30,900.0,1800.0,57.0,57.0,228.0,48.08,8.2,0.66
weekend_evening,LSA1,LSA1_N_id39,39,900.0,1800.0,58.0,58.0,232.0,13.89,10.45,2.58
weekend_evening,LSA1,LSA1_N_id40,40,900.0,1800.0,37.0,37.0,148.0,25.49,7.8,0.82
weekend_evening,LSA1,LSA1_S_id11,11,900.0,1800.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_evening,LSA1,LSA1_S_id12,12,900.0,1800.0,0.0,0.0,0.0,0.0,-1.0,-1.0
weekend_evening,LSA1,LSA1_W_id10,10,900.0,1800.0,90.0,90.0,360.0,45.11,7.73,1.09
weekend_evening,LSA1,LSA1_W_id7,7,900.0,1800.0,44.0,44.0,176.0,87.86,5.43,0.26
weekend_evening,LSA1,LSA1_W_id8,8,900.0,1800.0,44.0,44.0,176.0,67.77,5.01,0.41
weekend_evening,LSA1,LSA1_W_id9,9,900.0,1800.0,90.0,90.0,360.0,48.57,8.41,0.97
weekend_evening,LSA9,LSA9_E_id8,8,900.0,1800.0,97.0,96.0,384.0,10.77,10.97,5.2
weekend_evening,LSA9,LSA9_E_id9,9,900.0,1800.0,38.0,38.0,152.0,3.23,11.19,6.74
weekend_evening,LSA9,LSA9_S_id10,10,900.0,1800.0,8.0,8.0,32.0,44.33,2.57,0.09
weekend_evening,LSA9,LSA9_WE_id4,4,900.0,1800.0,11.0,11.0,44.0,27.92,3.89,0.22
weekend_evening,LSA9,LSA9_WE_id5,5,900.0,1800.0,12.0,12.0,48.0,16.76,3.77,0.34
weekend_evening,LSA9,LSA9_WE_id6,6,900.0,1800.0,10.0,10.0,40.0,0.62,10.74,10.02
weekend_evening,LSA9,LSA9_WE_id7,7,900.0,1800.0,12.0,12.0,48.0,0.66,11.39,10.98
weekend_evening,LSA9,LSA9_W_id1,1,900.0,1800.0,79.0,79.0,316.0,15.65,9.2,2.71
weekend_evening,LSA9,LSA9_W_id2,2,900.0,1800.0,58.0,56.0,224.0,76.09,4.7,0.43
weekend_evening,LSA10,LSA10_E_id3,3,1800.0,2700.0,58.0,58.0,232.0,13.64,8.47,2.2
weekend_evening,LSA10,LSA10_E_id4,4,1800.0,2700.0,40.0,39.0,156.0,3.4,11.43,6.23
weekend_evening,LSA10,LSA10_NE_id29,29,1800.0,2700.0,5.0,5.0,20.0,0.39,7.07,6.37
weekend_evening,LSA10,LSA10_NW_id2,2,1800.0,2700.0,20.0,20.0,80.0,0.76,13.56,13.49
weekend_evening,LSA10,LSA10_NW_id26,26,1800.0,2700.0,8.0,8.0,32.0,5.57,5.46,0.72
weekend_evening,LSA10,LSA10_NW_id27,27,1800.0,2700.0,12.0,12.0,48.0,8.24,4.45,0.84
weekend_evening,LSA10,LSA10_S_id31,31,1800.0,2700.0,14.0,14.0,56.0,5.45,4.37,1.3
weekend_evening,LSA10,LSA10_W_id1,1,1800.0,2700.0,113.0,113.0,452.0,41.26,9.03,1.52
weekend_evening,LSA16,LSA16_E_id10,10,1800.0,2700.0,60.0,60.0,240.0,3.39,11.56,9.81
weekend_evening,LSA16,LSA16_E_id11,11,1800.0,2700.0,29.0,29.0,116.0,1.4,11.74,11.35
weekend_evening,LSA16,LSA16_E_id14,14,1800.0,2700.0,30.0,30.0,120.0,1.3,13.18,13.12
weekend_evening,LSA16,LSA16_Eout_id13,13,1800.0,2700.0,114.0,114.0,456.0,21.78,10.42,2.96
weekend_evening,LSA16,LSA16_N_id6,6,1800.0,2700.0,19.0,19.0,76.0,0.92,11.79,11.24
weekend_evening,LSA16,LSA16_N_id7,7,1800.0,2700.0,26.0,26.0,104.0,1.07,13.34,13.23
weekend_evening,LSA16,LSA16_S_id1,1,1800.0,2700.0,46.0,46.0,184.0,20.71,8.18,1.17
weekend_evening,LSA16,LSA16_S_id2,2,1800.0,2700.0,30.0,30.0,120.0,1.3,13.0,12.77
weekend_evening,LSA16,LSA16_S_id33,33,1800.0,2700.0,21.0,21.0,84.0,1.08,12.0,11.04
