scenario,lsa,detector_id_sumo,detector_id_real,begin_s,end_s,nVehEntered,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed
weekend_morning,LSA10,LSA10_E_id3,3,0.0,900.0,40.0,40.0,160.0,7.54,10.45,4.19
weekend_morning,LSA10,LSA10_E_id4,4,0.0,900.0,26.0,25.0,100.0,1.07,12.42,11.94
weekend_morning,LSA10,LSA10_NE_id29,29,0.0,900.0,6.0,6.0,24.0,5.18,4.27,0.58
weekend_morning,LSA10,LSA10_NW_id2,2,0.0,900.0,21.0,21.0,84.0,1.54,12.18,7.35
weekend_morning,LSA10,LSA10_NW_id26,26,0.0,900.0,6.0,6.0,24.0,0.45,7.87,7.08
weekend_morning,LSA10,LSA10_NW_id27,27,0.0,900.0,15.0,15.0,60.0,16.72,5.91,0.47
weekend_morning,LSA10,LSA10_S_id31,31,0.0,900.0,21.0,21.0,84.0,16.21,4.61,0.65
weekend_morning,LSA10,LSA10_W_id1,1,0.0,900.0,74.0,74.0,296.0,5.54,11.52,7.66
weekend_morning,LSA16,LSA16_E_id10,10,0.0,900.0,30.0,30.0,120.0,5.15,10.21,4.71
weekend_morning,LSA16,LSA16_E_id11,11,0.0,900.0,20.0,20.0,80.0,4.87,9.08,2.06
weekend_morning,LSA16,LSA16_E_id14,14,0.0,900.0,20.0,20.0,80.0,0.77,13.23,13.17
weekend_morning,LSA16,LSA16_Eout_id13,13,0.0,900.0,74.0,74.0,296.0,3.28,12.88,12.58
weekend_morning,LSA16,LSA16_N_id6,6,0.0,900.0,15.0,15.0,60.0,0.59,13.21,13.14
weekend_morning,LSA16,LSA16_N_id7,7,0.0,900.0,15.0,15.0,60.0,0.62,13.55,13.48
weekend_morning,LSA16,LSA16_S_id1,1,0.0,900.0,33.0,33.0,132.0,7.09,10.61,2.35
weekend_morning,LSA16,LSA16_S_id2,2,0.0,900.0,29.0,29.0,116.0,1.27,13.17,12.93
weekend_morning,LSA16,LSA16_S_id33,33,0.0,900.0,13.0,13.0,52.0,0.63,12.76,12.59
weekend_morning,LSA16,LSA16_W_id3,3,0.0,900.0,41.0,41.0,164.0,47.41,6.78,0.5
weekend_morning,LSA16,LSA16_W_id4,4,0.0,900.0,6.0,6.0,24.0,17.15,1.84,0.19
weekend_morning,LSA16,LSA16_W_id5,5,0.0,900.0,41.0,41.0,164.0,9.58,10.19,2.53
weekend_morning,LSA16,LSA16_Wout_id15,15,0.0,900.0,41.0,41.0,164.0,1.61,13.62,13.56
weekend_morning,LSA1,LSA1_E_id13,13,0.0,900.0,20.0,19.0,76.0,29.35,4.92,0.36
weekend_morning,LSA1,LSA1_E_id14,14,0.0,900.0,74.0,73.0,292.0,7.34,10.69,5.67
