block_id,start_time,end_time,date,K1,K2,K3,K4,K5,pattern,stage,program,n_seconds,duration_s
1,2026-03-10 08:00:00+01:00,2026-03-10 08:00:02+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,1,3,3,3
2,2026-03-10 08:00:03+01:00,2026-03-10 08:00:04+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
3,2026-03-10 08:00:05+01:00,2026-03-10 08:00:05+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
4,2026-03-10 08:00:06+01:00,2026-03-10 08:00:07+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
5,2026-03-10 08:00:08+01:00,2026-03-10 08:00:09+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
6,2026-03-10 08:00:10+01:00,2026-03-10 08:00:10+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
7,2026-03-10 08:00:11+01:00,2026-03-10 08:00:20+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,10,10
8,2026-03-10 08:00:21+01:00,2026-03-10 08:00:23+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
9,2026-03-10 08:00:24+01:00,2026-03-10 08:00:27+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
10,2026-03-10 08:00:28+01:00,2026-03-10 08:00:28+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
11,2026-03-10 08:00:29+01:00,2026-03-10 08:00:38+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,10,10
12,2026-03-10 08:00:39+01:00,2026-03-10 08:00:41+01:00,2026-03-10,2,3,4,2,2,2-3-4-2-2,4,3,3,3
13,2026-03-10 08:00:42+01:00,2026-03-10 08:00:44+01:00,2026-03-10,2,2,3,2,2,2-2-3-2-2,4,3,3,3
14,2026-03-10 08:00:45+01:00,2026-03-10 08:00:45+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,1,1
15,2026-03-10 08:00:46+01:00,2026-03-10 08:00:46+01:00,2026-03-10,2,2,2,5,2,2-2-2-5-2,4,3,1,1
16,2026-03-10 08:00:47+01:00,2026-03-10 08:00:47+01:00,2026-03-10,5,2,2,4,2,5-2-2-4-2,4,3,1,1
17,2026-03-10 08:00:48+01:00,2026-03-10 08:01:32+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,4,3,45,45
18,2026-03-10 08:01:33+01:00,2026-03-10 08:01:34+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
19,2026-03-10 08:01:35+01:00,2026-03-10 08:01:35+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
20,2026-03-10 08:01:36+01:00,2026-03-10 08:01:37+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
21,2026-03-10 08:01:38+01:00,2026-03-10 08:01:39+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
22,2026-03-10 08:01:40+01:00,2026-03-10 08:01:40+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
23,2026-03-10 08:01:41+01:00,2026-03-10 08:01:50+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,10,10
24,2026-03-10 08:01:51+01:00,2026-03-10 08:01:53+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
25,2026-03-10 08:01:54+01:00,2026-03-10 08:01:57+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
26,2026-03-10 08:01:58+01:00,2026-03-10 08:01:58+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
27,2026-03-10 08:01:59+01:00,2026-03-10 08:02:10+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,12,12
28,2026-03-10 08:02:11+01:00,2026-03-10 08:02:11+01:00,2026-03-10,2,4,3,2,2,2-4-3-2-2,4,3,1,1
29,2026-03-10 08:02:12+01:00,2026-03-10 08:02:13+01:00,2026-03-10,2,3,3,2,2,2-3-3-2-2,4,3,2,2
30,2026-03-10 08:02:14+01:00,2026-03-10 08:02:14+01:00,2026-03-10,2,3,2,2,2,2-3-2-2-2,4,3,1,1
31,2026-03-10 08:02:15+01:00,2026-03-10 08:02:18+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,4,3,4,4
32,2026-03-10 08:02:19+01:00,2026-03-10 08:02:19+01:00,2026-03-10,5,2,2,2,2,5-2-2-2-2,4,3,1,1
33,2026-03-10 08:02:20+01:00,2026-03-10 08:02:39+01:00,2026-03-10,4,2,2,2,2,4-2-2-2-2,4,3,20,20
34,2026-03-10 08:02:40+01:00,2026-03-10 08:02:40+01:00,2026-03-10,4,2,2,5,2,4-2-2-5-2,3,3,1,1
35,2026-03-10 08:02:41+01:00,2026-03-10 08:03:02+01:00,2026-03-10,4,2,2,4,2,4-2-2-4-2,3,3,22,22
36,2026-03-10 08:03:03+01:00,2026-03-10 08:03:04+01:00,2026-03-10,3,2,2,4,2,3-2-2-4-2,1,3,2,2
37,2026-03-10 08:03:05+01:00,2026-03-10 08:03:05+01:00,2026-03-10,3,2,2,3,2,3-2-2-3-2,1,3,1,1
38,2026-03-10 08:03:06+01:00,2026-03-10 08:03:07+01:00,2026-03-10,2,2,2,3,2,2-2-2-3-2,1,3,2,2
39,2026-03-10 08:03:08+01:00,2026-03-10 08:03:09+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,1,3,2,2
40,2026-03-10 08:03:10+01:00,2026-03-10 08:03:10+01:00,2026-03-10,2,2,2,2,5,2-2-2-2-5,1,3,1,1
41,2026-03-10 08:03:11+01:00,2026-03-10 08:03:18+01:00,2026-03-10,2,2,2,2,4,2-2-2-2-4,1,3,8,8
42,2026-03-10 08:03:19+01:00,2026-03-10 08:03:21+01:00,2026-03-10,2,2,2,2,3,2-2-2-2-3,2,3,3,3
43,2026-03-10 08:03:22+01:00,2026-03-10 08:03:25+01:00,2026-03-10,2,2,2,2,2,2-2-2-2-2,2,3,4,4
44,2026-03-10 08:03:26+01:00,2026-03-10 08:03:26+01:00,2026-03-10,2,5,5,2,2,2-5-5-2-2,2,3,1,1
45,2026-03-10 08:03:27+01:00,2026-03-10 08:03:40+01:00,2026-03-10,2,4,4,2,2,2-4-4-2-2,2,3,14,14
46,2026-03-10 08:03:41+01:00,2026-03-10 08:03:41+01:00,2026-03-10,2,4,3,2,2,2-4-3-2-2,4,3,1,1
