scenario,date,window_start,window_end,approach,signal_group,signal_id,observed_seconds,green_seconds,cycle_count,green_minutes,green_share_percent,avg_cycle_time_s,avg_green_per_cycle_s
weekday_evening,2026-03-23,16:00:00,17:00:00,East,K4,4,3601,2068,89,34.46666666666667,57.4284920855318,40.46067415730337,23.235955056179776
weekday_evening,2026-03-23,16:00:00,17:00:00,North,K3,3,3601,893,89,14.883333333333333,24.798667036934184,40.46067415730337,10.03370786516854
weekday_evening,2026-03-23,16:00:00,17:00:00,South,K1,1,3601,893,89,14.883333333333333,24.798667036934184,40.46067415730337,10.03370786516854
weekday_evening,2026-03-23,16:00:00,17:00:00,West,K2,2,3601,949,89,15.816666666666666,26.353790613718413,40.46067415730337,10.662921348314606
weekday_morning,2026-03-10,08:00:00,09:00:00,East,K4,4,3600,2059,89,34.31666666666667,57.19444444444445,40.449438202247194,23.134831460674157
weekday_morning,2026-03-10,08:00:00,09:00:00,North,K3,3,3600,901,89,15.016666666666667,25.027777777777775,40.449438202247194,10.123595505617978
weekday_morning,2026-03-10,08:00:00,09:00:00,South,K1,1,3600,901,89,15.016666666666667,25.027777777777775,40.449438202247194,10.123595505617978
weekday_morning,2026-03-10,08:00:00,09:00:00,West,K2,2,3600,1069,89,17.816666666666666,29.694444444444446,40.449438202247194,12.01123595505618
weekend_evening,2026-03-22,16:00:00,17:00:00,East,K4,4,3601,1834,89,30.566666666666666,50.930297139683425,40.46067415730337,20.60674157303371
weekend_evening,2026-03-22,16:00:00,17:00:00,North,K3,3,3601,1127,89,18.783333333333335,31.29686198278256,40.46067415730337,12.662921348314606
weekend_evening,2026-03-22,16:00:00,17:00:00,South,K1,1,3601,1127,89,18.783333333333335,31.29686198278256,40.46067415730337,12.662921348314606
weekend_evening,2026-03-22,16:00:00,17:00:00,West,K2,2,3601,1008,89,16.8,27.992224382116078,40.46067415730337,11.325842696629213
weekend_morning,2026-03-14,08:00:00,09:00:00,East,K4,4,3600,1629,89,27.15,45.25,40.449438202247194,18.303370786516854
weekend_morning,2026-03-14,08:00:00,09:00:00,North,K3,3,3600,1327,89,22.116666666666667,36.861111111111114,40.449438202247194,14.910112359550562
weekend_morning,2026-03-14,08:00:00,09:00:00,South,K1,1,3600,1327,89,22.116666666666667,36.861111111111114,40.449438202247194,14.910112359550562
weekend_morning,2026-03-14,08:00:00,09:00:00,West,K2,2,3600,999,89,16.65,27.750000000000004,40.449438202247194,11.224719101123595
