scenario,date,window_start,window_end,movement,detector_ids,demand_veh_per_hour,n_detector_measurements
weekday_evening,2026-03-23,16:00:00,17:00:00,East_Left,26,221,4
weekday_evening,2026-03-23,16:00:00,17:00:00,East_Right,27,409,4
weekday_evening,2026-03-23,16:00:00,17:00:00,East_StraightRight,13+23,712,8
weekday_evening,2026-03-23,16:00:00,17:00:00,North_Right,40,167,4
weekday_evening,2026-03-23,16:00:00,17:00:00,North_Straight,28+30,425,8
weekday_evening,2026-03-23,16:00:00,17:00:00,South_StraightRight,11,0,4
weekday_evening,2026-03-23,16:00:00,17:00:00,West_Left,7,260,4
weekday_evening,2026-03-23,16:00:00,17:00:00,West_StraightRight,9,624,4
weekday_morning,2026-03-10,08:00:00,09:00:00,East_Left,26,197,4
weekday_morning,2026-03-10,08:00:00,09:00:00,East_Right,27,266,4
weekday_morning,2026-03-10,08:00:00,09:00:00,East_StraightRight,13+23,501,8
weekday_morning,2026-03-10,08:00:00,09:00:00,North_Right,40,105,4
weekday_morning,2026-03-10,08:00:00,09:00:00,North_Straight,28+30,383,8
weekday_morning,2026-03-10,08:00:00,09:00:00,South_StraightRight,11,0,4
weekday_morning,2026-03-10,08:00:00,09:00:00,West_Left,7,206,4
weekday_morning,2026-03-10,08:00:00,09:00:00,West_StraightRight,9,649,4
weekend_evening,2026-03-22,16:00:00,17:00:00,East_Left,26,92,4
weekend_evening,2026-03-22,16:00:00,17:00:00,East_Right,27,140,4
weekend_evening,2026-03-22,16:00:00,17:00:00,East_StraightRight,13+23,312,8
weekend_evening,2026-03-22,16:00:00,17:00:00,North_Right,40,103,4
weekend_evening,2026-03-22,16:00:00,17:00:00,North_Straight,28+30,221,8
weekend_evening,2026-03-22,16:00:00,17:00:00,South_StraightRight,11,0,4
weekend_evening,2026-03-22,16:00:00,17:00:00,West_Left,7,157,4
weekend_evening,2026-03-22,16:00:00,17:00:00,West_StraightRight,9,400,4
weekend_morning,2026-03-14,08:00:00,09:00:00,East_Left,26,54,4
weekend_morning,2026-03-14,08:00:00,09:00:00,East_Right,27,131,4
weekend_morning,2026-03-14,08:00:00,09:00:00,East_StraightRight,13+23,179,8
weekend_morning,2026-03-14,08:00:00,09:00:00,North_Right,40,139,4
weekend_morning,2026-03-14,08:00:00,09:00:00,North_Straight,28+30,156,8
weekend_morning,2026-03-14,08:00:00,09:00:00,South_StraightRight,11,0,4
weekend_morning,2026-03-14,08:00:00,09:00:00,West_Left,7,110,4
weekend_morning,2026-03-14,08:00:00,09:00:00,West_StraightRight,9,258,4
