block_id,start_time,end_time,date,K1,K2,K3,K4,K5,K6,K7,K8,pattern,stage,program,n_seconds,duration_s
1,2026-04-07 08:00:00+02:00,2026-04-07 08:00:03+02:00,2026-04-07,2,2,2,2,2,4,4,4,2-2-2-2-2-4-4-4,5,13,5,5
2,2026-04-07 08:00:04+02:00,2026-04-07 08:00:05+02:00,2026-04-07,2,2,2,2,2,4,3,4,2-2-2-2-2-4-3-4,5,13,2,2
3,2026-04-07 08:00:06+02:00,2026-04-07 08:00:06+02:00,2026-04-07,2,2,2,2,2,4,3,3,2-2-2-2-2-4-3-3,5,13,1,1
4,2026-04-07 08:00:07+02:00,2026-04-07 08:00:08+02:00,2026-04-07,2,2,2,2,2,4,2,3,2-2-2-2-2-4-2-3,5,13,2,2
5,2026-04-07 08:00:09+02:00,2026-04-07 08:00:09+02:00,2026-04-07,2,2,2,2,2,4,2,2,2-2-2-2-2-4-2-2,5,13,1,1
6,2026-04-07 08:00:10+02:00,2026-04-07 08:00:10+02:00,2026-04-07,2,5,2,5,2,4,2,2,2-5-2-5-2-4-2-2,5,13,1,1
7,2026-04-07 08:00:11+02:00,2026-04-07 08:00:44+02:00,2026-04-07,2,4,2,4,2,4,2,2,2-4-2-4-2-4-2-2,5,13,34,34
8,2026-04-07 08:00:45+02:00,2026-04-07 08:00:47+02:00,2026-04-07,2,3,2,3,2,3,2,2,2-3-2-3-2-3-2-2,6,13,3,3
9,2026-04-07 08:00:48+02:00,2026-04-07 08:00:48+02:00,2026-04-07,2,2,2,2,2,2,2,2,2-2-2-2-2-2-2-2,6,13,1,1
10,2026-04-07 08:00:49+02:00,2026-04-07 08:00:49+02:00,2026-04-07,5,2,2,2,5,2,2,2,5-2-2-2-5-2-2-2,6,13,1,1
11,2026-04-07 08:00:50+02:00,2026-04-07 08:00:52+02:00,2026-04-07,4,2,2,2,4,2,2,2,4-2-2-2-4-2-2-2,6,13,3,3
12,2026-04-07 08:00:53+02:00,2026-04-07 08:00:53+02:00,2026-04-07,4,2,2,2,4,2,2,5,4-2-2-2-4-2-2-5,6,13,1,1
13,2026-04-07 08:00:54+02:00,2026-04-07 08:01:04+02:00,2026-04-07,4,2,2,2,4,2,2,4,4-2-2-2-4-2-2-4,6,13,11,11
14,2026-04-07 08:01:05+02:00,2026-04-07 08:01:07+02:00,2026-04-07,3,2,2,2,3,2,2,4,3-2-2-2-3-2-2-4,2,13,3,3
15,2026-04-07 08:01:08+02:00,2026-04-07 08:01:09+02:00,2026-04-07,2,2,2,2,2,2,2,4,2-2-2-2-2-2-2-4,2,13,2,2
16,2026-04-07 08:01:10+02:00,2026-04-07 08:01:10+02:00,2026-04-07,2,2,2,2,2,2,5,4,2-2-2-2-2-2-5-4,2,13,1,1
17,2026-04-07 08:01:11+02:00,2026-04-07 08:01:12+02:00,2026-04-07,2,2,2,2,2,2,4,4,2-2-2-2-2-2-4-4,2,13,2,2
18,2026-04-07 08:01:13+02:00,2026-04-07 08:01:13+02:00,2026-04-07,2,2,2,2,2,5,4,4,2-2-2-2-2-5-4-4,2,13,1,1
19,2026-04-07 08:01:14+02:00,2026-04-07 08:01:33+02:00,2026-04-07,2,2,2,2,2,4,4,4,2-2-2-2-2-4-4-4,2,13,20,20
20,2026-04-07 08:01:34+02:00,2026-04-07 08:01:35+02:00,2026-04-07,2,2,2,2,2,4,3,4,2-2-2-2-2-4-3-4,5,13,2,2
