block_id,start_time,end_time,date,K1,K2,K3,K4,K5,K6,pattern,stage,program,n_seconds,duration_s
1,2026-03-10 08:00:00+01:00,2026-03-10 08:00:03+01:00,2026-03-10,4,2,2,2,2,4,4-2-2-2-2-4,5,3,4,4
2,2026-03-10 08:00:04+01:00,2026-03-10 08:00:06+01:00,2026-03-10,3,2,2,2,2,4,3-2-2-2-2-4,5,3,3,3
3,2026-03-10 08:00:07+01:00,2026-03-10 08:00:09+01:00,2026-03-10,2,2,2,2,2,3,2-2-2-2-2-3,5,3,3,3
4,2026-03-10 08:00:10+01:00,2026-03-10 08:00:10+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,5,3,1,1
5,2026-03-10 08:00:11+01:00,2026-03-10 08:00:29+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,5,3,19,19
6,2026-03-10 08:00:30+01:00,2026-03-10 08:00:32+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
7,2026-03-10 08:00:33+01:00,2026-03-10 08:00:35+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
8,2026-03-10 08:00:36+01:00,2026-03-10 08:00:36+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
9,2026-03-10 08:00:37+01:00,2026-03-10 08:00:46+01:00,2026-03-10,2,2,4,4,2,2,2-2-4-4-2-2,6,3,10,10
10,2026-03-10 08:00:47+01:00,2026-03-10 08:00:49+01:00,2026-03-10,2,2,4,3,2,2,2-2-4-3-2-2,6,3,3,3
11,2026-03-10 08:00:50+01:00,2026-03-10 08:00:52+01:00,2026-03-10,2,2,4,2,2,2,2-2-4-2-2-2,6,3,3,3
12,2026-03-10 08:00:53+01:00,2026-03-10 08:00:53+01:00,2026-03-10,5,2,4,2,2,2,5-2-4-2-2-2,6,3,1,1
13,2026-03-10 08:00:54+01:00,2026-03-10 08:01:20+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,27,27
14,2026-03-10 08:01:21+01:00,2026-03-10 08:01:23+01:00,2026-03-10,4,2,3,2,2,2,4-2-3-2-2-2,2,3,3,3
15,2026-03-10 08:01:24+01:00,2026-03-10 08:01:24+01:00,2026-03-10,4,2,2,2,2,5,4-2-2-2-2-5,2,3,1,1
16,2026-03-10 08:01:25+01:00,2026-03-10 08:01:34+01:00,2026-03-10,4,2,2,2,2,4,4-2-2-2-2-4,5,3,10,10
17,2026-03-10 08:01:35+01:00,2026-03-10 08:01:37+01:00,2026-03-10,3,2,2,2,2,4,3-2-2-2-2-4,5,3,3,3
18,2026-03-10 08:01:38+01:00,2026-03-10 08:01:40+01:00,2026-03-10,2,2,2,2,2,3,2-2-2-2-2-3,5,3,3,3
19,2026-03-10 08:01:41+01:00,2026-03-10 08:01:41+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,5,3,1,1
20,2026-03-10 08:01:42+01:00,2026-03-10 08:02:01+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,5,3,20,20
21,2026-03-10 08:02:02+01:00,2026-03-10 08:02:02+01:00,2026-03-10,2,3,2,2,4,2,2-3-2-2-4-2,4,3,1,1
22,2026-03-10 08:02:03+01:00,2026-03-10 08:02:04+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,2,2
23,2026-03-10 08:02:05+01:00,2026-03-10 08:02:05+01:00,2026-03-10,2,2,2,2,3,2,2-2-2-2-3-2,4,3,1,1
24,2026-03-10 08:02:06+01:00,2026-03-10 08:02:08+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
25,2026-03-10 08:02:09+01:00,2026-03-10 08:02:09+01:00,2026-03-10,5,2,2,2,2,2,5-2-2-2-2-2,4,3,1,1
26,2026-03-10 08:02:10+01:00,2026-03-10 08:02:10+01:00,2026-03-10,4,2,5,2,2,2,4-2-5-2-2-2,4,3,1,1
27,2026-03-10 08:02:11+01:00,2026-03-10 08:03:02+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,52,52
28,2026-03-10 08:03:03+01:00,2026-03-10 08:03:05+01:00,2026-03-10,3,2,3,2,2,2,3-2-3-2-2-2,2,3,3,3
29,2026-03-10 08:03:06+01:00,2026-03-10 08:03:08+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,2,3,3,3
30,2026-03-10 08:03:09+01:00,2026-03-10 08:03:09+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,2,3,1,1
31,2026-03-10 08:03:10+01:00,2026-03-10 08:03:29+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,3,3,20,20
32,2026-03-10 08:03:30+01:00,2026-03-10 08:03:32+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
33,2026-03-10 08:03:33+01:00,2026-03-10 08:03:35+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
34,2026-03-10 08:03:36+01:00,2026-03-10 08:03:36+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
35,2026-03-10 08:03:37+01:00,2026-03-10 08:03:50+01:00,2026-03-10,2,2,4,4,2,2,2-2-4-4-2-2,6,3,14,14
36,2026-03-10 08:03:51+01:00,2026-03-10 08:03:53+01:00,2026-03-10,2,2,4,3,2,2,2-2-4-3-2-2,6,3,3,3
37,2026-03-10 08:03:54+01:00,2026-03-10 08:03:56+01:00,2026-03-10,2,2,4,2,2,2,2-2-4-2-2-2,6,3,3,3
38,2026-03-10 08:03:57+01:00,2026-03-10 08:03:57+01:00,2026-03-10,5,2,4,2,2,2,5-2-4-2-2-2,6,3,1,1
39,2026-03-10 08:03:58+01:00,2026-03-10 08:04:32+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,35,35
40,2026-03-10 08:04:33+01:00,2026-03-10 08:04:35+01:00,2026-03-10,3,2,3,2,2,2,3-2-3-2-2-2,2,3,3,3
41,2026-03-10 08:04:36+01:00,2026-03-10 08:04:38+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,2,3,3,3
42,2026-03-10 08:04:39+01:00,2026-03-10 08:04:39+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,2,3,1,1
43,2026-03-10 08:04:40+01:00,2026-03-10 08:05:10+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,3,3,31,31
44,2026-03-10 08:05:11+01:00,2026-03-10 08:05:13+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
45,2026-03-10 08:05:14+01:00,2026-03-10 08:05:16+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
46,2026-03-10 08:05:17+01:00,2026-03-10 08:05:17+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
47,2026-03-10 08:05:18+01:00,2026-03-10 08:05:22+01:00,2026-03-10,2,2,4,4,2,2,2-2-4-4-2-2,6,3,5,5
48,2026-03-10 08:05:23+01:00,2026-03-10 08:05:25+01:00,2026-03-10,2,2,4,3,2,2,2-2-4-3-2-2,6,3,3,3
49,2026-03-10 08:05:26+01:00,2026-03-10 08:05:28+01:00,2026-03-10,2,2,4,2,2,2,2-2-4-2-2-2,6,3,3,3
50,2026-03-10 08:05:29+01:00,2026-03-10 08:05:29+01:00,2026-03-10,5,2,4,2,2,2,5-2-4-2-2-2,6,3,1,1
51,2026-03-10 08:05:30+01:00,2026-03-10 08:05:50+01:00,2026-03-10,4,2,4,2,2,2,4-2-4-2-2-2,1,3,21,21
52,2026-03-10 08:05:51+01:00,2026-03-10 08:05:53+01:00,2026-03-10,4,2,3,2,2,2,4-2-3-2-2-2,2,3,3,3
53,2026-03-10 08:05:54+01:00,2026-03-10 08:05:54+01:00,2026-03-10,4,2,2,2,2,5,4-2-2-2-2-5,2,3,1,1
54,2026-03-10 08:05:55+01:00,2026-03-10 08:06:05+01:00,2026-03-10,4,2,2,2,2,4,4-2-2-2-2-4,5,3,11,11
55,2026-03-10 08:06:06+01:00,2026-03-10 08:06:08+01:00,2026-03-10,3,2,2,2,2,4,3-2-2-2-2-4,5,3,3,3
56,2026-03-10 08:06:09+01:00,2026-03-10 08:06:11+01:00,2026-03-10,2,2,2,2,2,3,2-2-2-2-2-3,5,3,3,3
57,2026-03-10 08:06:12+01:00,2026-03-10 08:06:12+01:00,2026-03-10,2,5,2,2,5,2,2-5-2-2-5-2,5,3,1,1
58,2026-03-10 08:06:13+01:00,2026-03-10 08:06:40+01:00,2026-03-10,2,4,2,2,4,2,2-4-2-2-4-2,5,3,28,28
59,2026-03-10 08:06:41+01:00,2026-03-10 08:06:43+01:00,2026-03-10,2,3,2,2,3,2,2-3-2-2-3-2,4,3,3,3
60,2026-03-10 08:06:44+01:00,2026-03-10 08:06:46+01:00,2026-03-10,2,2,2,2,2,2,2-2-2-2-2-2,4,3,3,3
61,2026-03-10 08:06:47+01:00,2026-03-10 08:06:47+01:00,2026-03-10,2,2,5,5,2,2,2-2-5-5-2-2,4,3,1,1
