phase,pattern_K1_K2_K3_K4_K5_K6,K1,K2,K3,K4,K5,K6,duration_s,sumo_state,description
1,4-2-4-2-2-2,4,2,4,2,2,2,32,GrrrGrrr,K1 + K3 release
2,4-2-3-2-2-2,4,2,3,2,2,2,3,yrrrGrrr,Transition
3,2-2-2-2-2-2,2,2,2,2,2,2,3,rrrrrrrr,All-red / clearance
4,2-4-2-2-4-2,2,4,2,2,4,2,23,rrGGrrGG,K2 + K5 release
5,2-3-2-2-3-2,2,3,2,2,3,2,3,rryyrryy,Transition
6,2-5-2-2-5-2,2,5,2,2,5,2,1,rryyrryy,Transition
7,2-2-2-2-2-2,2,2,2,2,2,2,3,rrrrrrrr,All-red / clearance
8,2-2-4-4-2-2,2,2,4,4,2,2,9,GGrrrrrr,K3 + K4 release
9,2-2-4-3-2-2,2,2,4,3,2,2,3,Gyrrrrrr,Transition
10,2-2-5-5-2-2,2,2,5,5,2,2,1,yyrrrrrr,Transition
11,2-2-2-2-2-2,2,2,2,2,2,2,3,rrrrrrrr,All-red / clearance
12,4-2-2-2-2-4,4,2,2,2,2,4,9,rrrrGGrr,K1 + K6 release
13,3-2-2-2-2-4,3,2,2,2,2,4,3,rrrryGrr,Transition
14,2-2-2-2-2-3,2,2,2,2,2,3,3,rrrrryrr,Transition
15,4-2-2-2-2-5,4,2,2,2,2,5,1,rrrrGyrr,Transition
16,2-2-2-2-2-2,2,2,2,2,2,2,3,rrrrrrrr,All-red / clearance
